"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"그대를 사랑합니다","alst****","2013.07.28. 20:27","10","지금까지영화보면서처음부터끝까지계속울어본적은처음이네요..너무슬퍼요ㅜㅜ","475","21"
"그대를 사랑합니다","hanp****","2013.06.07. 12:41","10","웹툰은 영화화할 때마다 거의 혹평을 받는데 이것은 오히려 더 잘 만든게 신기하네요.","415","16"
"그대를 사랑합니다","yjfj****","2013.06.26. 01:52","10","정말감동적입니다·· 최고네요 마음이따뜻해지는영화♡","332","10"
"그대를 사랑합니다","elfs****","2013.07.17. 01:13","10","아 우리할아버지할머니 생각나서 눈물폭발 ㅠㅠㅜ","313","13"
"그대를 사랑합니다","naeh****","2013.09.30. 00:59","10","원작을 영화화시킨게 역부족이었다고?내가볼땐 원작못지않게 최고인데 . 미치도록 감동적이고 ... 따뜻했다","269","8"
"그대를 사랑합니다","wlst****","2013.07.08. 01:05","10","지금까지 봤던 영화중에 가장슬펐음7번방의 선물처럼 억지로 눈물쥐어짜내려는것도 없었음.그리고 배우들이 다들 베테랑이셔서 그런지 연기력도 최고였음.","255","10"
"그대를 사랑합니다","momo****","2013.07.13. 03:14","10","내 생에 최고의 영화....어찌나 눈물이 나던지...이순재 선생님의 연기는 정말.... 최고입니다..진심으로 사랑합니다..","205","6"
"그대를 사랑합니다","y156****","2013.06.25. 03:22","10","눈물없이는 볼수없는 영화 원작도 그랬고 영화도 그렇다 나도 그들처럼 사랑하고 그렇게 늙고싶다...","158","5"
"그대를 사랑합니다","ascd****","2013.06.25. 00:23","10","가슴이 따뜻해지는 영화 사랑에는 나이가 없는 것 같다 추운 겨울과 같이 쓸쓸하고 외로운 어르신들이 서로 사랑하고 인간적인 정으로 추운 겨울을 이겨내 나가시는.. 영화 보고 난 후 가장 생각을 많이 하게 된 영화 였다 최고^^","136","6"
"그대를 사랑합니다","loha****","2013.07.27. 07:31","10","가슴이 아프다고 느껴지먄 나도 인생황혼이 생각드는 나이일까? 아침내  울었다..내 보는내내피할수 없이 맞게되는 늙음..나도 젊었던 나도 이젠....참  세월. 빠르다..ㄴ어릴적 사진을 본다.  1963년쯤 되나보다..아버지가 그립다.","107","5"
"그대를 사랑합니다","gour****","2013.11.26. 20:19","8","현재까지 웹툰을 원작으로 한 영화중에서  가장  잘 만든 작품. 제발 스릴러 작품이나, 어설픈 북괴 만화를 영화화하는건 그만 만들고, 이런 소소한 이야기나 영화화 해라. 자극적인건만 선호하지좀 말고","96","10"
"그대를 사랑합니다","su97****","2013.11.24. 01:10","10","영화보면서 대성통곡한건 처음...","76","1"
"그대를 사랑합니다","zing****","2013.02.03. 04:27","9","김수미 자식들을보면서 가슴이먹먹해져왔습니다. 현실의우리를보는거같아부끄럽기도하고 죄송스럽기도하고  씁쓸합니다. .","70","2"
"그대를 사랑합니다","shan****","2013.07.05. 22:47","10","정말 감동입니다 영화관에서 보고 오래 지나 다시 생각나 검색하다가 평점 남기고 갑니다 최고의 영화 ㅠㅠ","62","2"
"그대를 사랑합니다","ehdg****","2013.11.20. 21:38","10","와 진짜슬프다. 웹툰과는 또다른 느낌이네요","58","2"
"그대를 사랑합니다","wija****","2013.11.24. 03:44","10","기자 평론가들의 점수는 날이 갈수록 믿을수가 없어지네요...  점수가 중요치 않은 영화 ~~","52","1"
"그대를 사랑합니다","lkyl****","2013.11.16. 13:25","10","정말 아름다운 영화였다","53","2"
"그대를 사랑합니다","dlrk****","2013.06.01. 17:39","10","ㅜㅜ보는내내 꺼이꺼이울었다","54","4"
"그대를 사랑합니다","kj47****","2014.03.18. 20:36","10","이런 영화가 좀 많이 나오면 좋겠다.","45","0"
"그대를 사랑합니다","babz****","2013.05.04. 00:00","10","십점으로는 모자라다태어나서 본 영화중에 가장 많이 울면서 본듯진짜.....뭐라고 설명하기 복잡할정도로 보면서 여러 생각이 들었던거같다배경, 연기, ost 다 ,,최고였다,,","46","3"
"그대를 사랑합니다","plto****","2014.03.01. 23:10","10","강력 추천할만한 몇 안되는 한국영화임. 노년의 사랑이 이리도 아름다울 수 있구나.","44","2"
"그대를 사랑합니다","sssy****","2013.07.06. 11:38","10","너무예쁜데 한편으론 씁쓸하다","42","1"
"그대를 사랑합니다","gogo****","2013.11.16. 09:29","10","난 오랫동안 우울증을 겪고 잇고, 인생의 덧없음과 메마른 감정때문에,. 그 어떤 영화나 음악, 기타 등등 세상의 그 어떤 것들도 제 마음을 울리지 못했었는데,.,","42","2"
"그대를 사랑합니다","june****","2013.09.13. 21:28","10","어르신들의 얘기가 아니라 인생의 얘기입니다. 안 봤으면 안 될 최고의 영화","34","1"
"그대를 사랑합니다","yk66****","2014.02.25. 21:29","10","이순재선생님감사합니다","32","1"
"그대를 사랑합니다","red6****","2014.02.13. 01:42","10","태어나서 본 영화중 최고..보고 또 보고 너무 좋습니다..","32","1"
"그대를 사랑합니다","ghjs****","2014.03.06. 17:38","10","이 영화를 볼 수 있게 해주신 감독님, 그 외 관계자들, 배우진분들과 원작을 그려주신 강풀 작가님께 다시한번 감사드립니다. 엄청난 대작..","30","1"
"그대를 사랑합니다","coca****","2013.11.12. 02:50","10","밤에보다가 눈물콧물다쏟아서ㅠㅠㅜ꼭 행복하시겟죠 가슴따뜻한영화 잘봤습니다 최고에요","30","1"
"그대를 사랑합니다","thdd****","2014.05.03. 01:35","10","미루고미루다 본 영화. 그리고 내 생애 최고의 영화.   원작못보신분들은 원작보는것도 추천. 죽음에 대해그리고 사랑에 대해 담담하게 그리고 따뜻하게 이야기해주고 있다.","28","1"
"그대를 사랑합니다","sho1****","2014.01.22. 12:27","10","사랑은 우리 인생의 전부다","22","1"
"그대를 사랑합니다","7240****","2014.02.27. 03:25","10","너무감동적이고..보는동안 눈물이 계속해서 흐르네요.왜 이제서야 이영화를보게되었는지..꼭한번보지않으신분들보시기를..","21","2"
"그대를 사랑합니다","tpdy****","2014.02.19. 11:57","10","완벽한원작에이은완벽한영화","18","1"
