"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","ldy2****","2023.10.24. 12:16","8","혼자 결정하고 혼자 감당하고 이 대사 너무 슬프다 ㅠㅠ","59","0"
"내일의 기억","redg****","2021.04.22. 14:29","1","서예지-역할에 전혀 안어울림. 서예지와 김강우 안어울림.  요즘 논란때문에 더욱 집중안됨. 스토리 개연성 없음. 개봉첫날인데 극장에 사람 없음. 저녁시간에 8명인가. 제일 늦게 나왔거든.  평점 한번도 안 올려봤는데 10점 주는 사람들때문에 이건 아니다 싶어서 굳이 올림. 내시간 내돈 돌리도. 10점으로 평점 조작하면 안되지. 3점은 주려다 10점 준 사람들때문에 1점.","49","25"
"내일의 기억","csw_****","2021.04.22. 01:49","1","억지로 짜낸 스토리에 반전에서 풍기는 불편한 관계, 서툰 연출과 연기, 영화 자체가 망작인데 주연배우의 논란으로 억울하게 망했다고 생각할까 걱정입니다","50","26"
"내일의 기억","bb_0****","2021.04.21. 10:43","10","영화는 무슨 죄냐... 스탭들만 불쌍 ㅠ 김강우 좋아하는데 안쓰러워ㅠㅠ","54","32"
"내일의 기억","didi****","2021.04.22. 19:28","1","쿠폰 알바들 엄청 풀어놨네. 내 글에 비추한 자식들아.. 공짜 쿠폰에 눈멀고 고작 푼돈에 영화 평점 조작하고 싶냐? 딱 니들 인생은 이 영화에 별10점 줄 수준이다.","30","14"
"내일의 기억","kkkm****","2021.04.22. 15:53","1","진짜 너무 노잼... 스토리 너무 뻔하고 ㄱ이렇게 예상대로 흘러간 영화 처음임","31","16"
"내일의 기억","gwp1****","2021.04.27. 12:19","1","보지 마셈. 시간 낭비임. 돈도 아까움","16","4"
"내일의 기억","xxxw****","2021.04.24. 23:50","1","피곤하신분들 가서 보시길바래요. 네이버평점 이제 못믿겠네요.... 스토리가 영...","17","5"
"내일의 기억","kenz****","2021.04.29. 12:14","1","진심으로 재밌냐 이게?ㅋㅋ한국관객들 수준 참","18","6"
"내일의 기억","kjy0****","2021.04.27. 09:49","2","딱 그배우에 그 감독이라니,  인터뷰 하는꼴보니 세트로들 똑같구만","18","6"
"내일의 기억","co28****","2021.04.22. 12:25","1","정보 없음","23","11"
"내일의 기억","seon****","2021.04.22. 11:57","1","김강우 팬들만 평점줫나보네 ㅎㅎ","23","11"
"내일의 기억","king****","2021.04.22. 14:36","1","서예지 몰입감 떨어진다. 이게 영화인지 실사인지 헤깔린다 안보는게 나은듯","26","14"
"내일의 기억","71ge****","2021.04.21. 10:23","10","코로나로 힘든 시기 제작진들 화이팅 입니다!","30","18"
"내일의 기억","bbok****","2021.04.21. 10:42","10","영화만 놓고 봤을때는 나쁘지 않았습니다.미스터리 스릴러 좋아하시는 분들은 매우 만족하실거 같아요.","44","32"
"내일의 기억","0106****","2021.04.29. 21:46","1","설정+개연성에 무리수, 어거지가 많음. 다음 장면 예상되는 부분 많음. 후반 감동씬에서 웃음 나옴. 평점 단 사람들 거짓말쟁이 같음.","14","4"
"내일의 기억","youy****","2021.04.22. 22:49","5","내용이 솔직히 이해가 잘안갔다...뭔가 억지로 짜 맞추려는 느낌이 강했다하지만 배우들 연기는 좋음","14","4"
"내일의 기억","chch****","2021.04.28. 22:28","1","가스라이팅. 그리고 평점알바 ㄱㅎ","16","6"
"내일의 기억","layo****","2021.04.27. 19:54","1","서예지가 문제가 아니라 노잼","16","6"
