"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","kims****","2021.04.21. 12:09","10","김강우 흥해라ㅠㅠ 연기 진짜 잘하더라","884","187"
"내일의 기억","chun****","2021.04.21. 20:28","8","서예지는 영화속에서도 남자들 잡아먹네 영화는 볼만하다 서예지인성 스캔들만 아녔어도 150만정도는 갔을거같은데 안타깝네 손해배상청구해라 서예지한테,,","787","446"
"내일의 기억","gsqo****","2021.04.22. 20:00","10","남자배우 연기력 때문에 영화가 살아난듯ㅎㅎ","408","99"
"내일의 기억","fkss****","2021.04.21. 12:33","10","오랜만에 스릴러 영화라 넘 재밌게 봄ㅋㅋㅋ 김강우 화이팅!!!","371","155"
"내일의 기억","musy****","2021.04.21. 12:58","10","정신없이 추리하다보면 어느새 끝나있다. 놀라운 스토리와 반전이 있는 스릴러. 강추한다.","305","137"
"내일의 기억","park****","2021.04.21. 17:13","9","반전에 반전이 있는 영화~","271","136"
"내일의 기억","nmkj****","2021.04.21. 16:03","10","스릴러의 특징을 다 갖고 있는 영화였어요 스릴러 좋아하면 추천","235","130"
"내일의 기억","elli****","2021.05.15. 18:42","4","어디서 많이 본듯한 영화들을 잘이어붙인 어이없는 작품.배우 연기가 빛났다","130","36"
"내일의 기억","rout****","2021.04.24. 22:52","7","반전에 목숨 걸다 길 잃고 헤매는 여느 영화들과는 달리 끝에 가서 퍼즐을 죄다 맞춰주는 친절한 연출기법이 오히려 신선한 반전이었다는 ㅎㅎ","57","17"
"내일의 기억","heb0****","2021.05.02. 23:20","6","기대보다는 ㅠ그저구랬어용","60","22"
"내일의 기억","gksa****","2021.04.26. 00:50","10","서예지 때문에 안보려다가 감독이랑 김강우가 불쌍해서 봤는데 기대한것보다 꽤 재밌게봐서 만족....","78","45"
"내일의 기억","urnv****","2021.04.23. 18:05","8","김강우 넘 멋지당ㅠㅠㅠ","46","14"
"내일의 기억","xgiz****","2021.04.24. 11:57","10","마음 아픈 스릴러물. 넘 재밌게 봄.","51","19"
"내일의 기억","fata****","2021.04.21. 19:40","10","김강우 배우님의 눈빛과 연기는 잊을 수가 없네여ㅠㅠ 스토리도 연출도 기대이상이였고 오랜만에 재밌는 한국 영화를 본 것 같습니다","67","35"
"내일의 기억","tlub****","2021.04.25. 01:21","10","러닝타임내내 집중해서 보게 만드는 힘이 대단했던 영화.. 마지막엔 눈물 또르르...","49","18"
"내일의 기억","jc7d****","2021.04.24. 23:49","10","김강우배우 너무 멋있어요ㅠㅠ","48","18"
"내일의 기억","tnak****","2021.05.26. 09:01","6","흠.. 애매합니다. 하하","39","11"
"내일의 기억","odyb****","2021.04.23. 20:27","10","김강우 배우 너무 좋아요~~~","41","13"
"내일의 기억","ev1i****","2021.04.23. 17:31","9","김강우 배우의 연기력 때문에 끝까지 긴장하며 볼 수 있었다","42","14"
"내일의 기억","bvwu****","2021.04.22. 21:40","10","몰입감있게 잘 만들어진 스릴러물, 괜히 언론 시사회 후기가 좋았던게 아니였다 ㅋㅋ","61","34"
"내일의 기억","lk13****","2021.04.23. 12:16","10","끝까지 지루하지 않게 반전과 몰입감이 장난 아니였어요~~ 김강우님 연기 너무 좋았습니다^^","42","17"
"내일의 기억","ghib****","2021.04.23. 13:52","10","영화는 역시 스릴러ㅎㅎㅎ 처음부터 끝까지 몰입도도 높고 끝까지 재미있게 봤어요. 마지막에 모든 퍼즐 조각이 다 맞춰지는 영화였군요. 서예지 김강우 둘 다 연기도 너무 잘하고 두 분 연기합도 좋네요. 염혜란 배우도 반가웠습니다!","46","21"
"내일의 기억","znha****","2021.04.24. 14:04","10","김강우 배우님 영화라서 선택했는데 기대를 져버리지 않는...","47","22"
"내일의 기억","kitt****","2021.11.09. 11:15","10","김강우 배우가 이렇게 연기를 잘하는지 몰랐습니다. 몰입도가 장난이 아니에요. 한번보면 계속 다음내용이 궁금해서 빠져듭니다. 꼭 보시길 강추드립니다!","30","6"
"내일의 기억","sens****","2021.06.12. 18:01","10","스토리가 좋음 추천","36","12"
"내일의 기억","sink****","2021.05.18. 18:14","5","마지막 반전을 위해 달려가지만 그동안 지루하고 허점투성이라 몰입방해","49","25"
"내일의 기억","knt3****","2021.04.25. 12:54","2","미스터리를 어거지로 감동으로 둔갑시키려는 미련함","69","45"
"내일의 기억","dydr****","2021.04.25. 22:04","6","나쁘지는않지만 좋지도않죠","38","15"
"내일의 기억","dudr****","2021.04.24. 20:45","8","김강우 멋져요^^스토리도~재미있게봤어요","39","17"
"내일의 기억","kjhy****","2021.05.08. 16:53","8","믿고보는 김강우... 영화는 몰입감있고 재미있었어요!","35","14"
"내일의 기억","sang****","2021.05.20. 20:34","10","기대 이상의 스토리에요. 연기도 좋지만, 일단 반전이 있는 스토리가 너무 재밌었어요.ㅎㅎ","37","17"
"내일의 기억","uz3z****","2021.04.23. 16:35","9","중반부 부터 반전이;; 여운이 긴 영화네요...","55","35"
"내일의 기억","jnch****","2021.04.21. 14:59","10","연기 굿 스토리 굿 연출 굿","74","54"
"내일의 기억","ksjt****","2021.11.10. 23:40","8","내일의기억 연기 내용 좋았습니다 반전을 기대하세요","21","3"
"내일의 기억","noto****","2021.04.25. 10:02","10","생각보다 더 짜임새있는 영화였어요","38","21"
"내일의 기억","shyl****","2023.04.01. 04:27","9","적당한 스토리에 지루하지 않은 내용이 영화를 집중하게 해줬음. 심지어 여운까지 남았던 영화.","17","1"
