"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"더 파더","oyep****","2021.04.12. 15:35","8","85세 안소니 홉킨스의 연기를 볼 수 있다는 것만으로 그저 감사할뿐. 어찌 연기력을 논하랴","151","3"
"더 파더","luna****","2021.04.12. 15:09","10","환자가 느끼는 고통이란게 어떤것인지 현실적 혹은 환상적으로 보여준다","80","1"
"더 파더","bhy1****","2021.04.25. 14:13","8","97분 동안 알츠하이머 환자의 공포와 혼란을 체험.","80","3"
"더 파더","skry****","2021.04.13. 19:35","8","공포와 스릴러로 장막을 치고 있지만 그 속에는 지극히 현실적인 내용이 들어있다.","58","4"
"더 파더","geni****","2021.04.15. 15:05","10","정말 좋은 영화네요. 알츠하이머를 간접 체험할수있었습니다...","49","1"
"더 파더","kidi****","2021.04.08. 16:29","10","신파 없는 진짜 감동을 느낄려면 꼭 보시길...","40","1"
"더 파더","asqw****","2021.04.22. 23:26","9","재미를 떠나서, 올해 본 영화중에서 가장 인상깊었던 영화.","39","1"
"더 파더","inny****","2021.05.02. 15:34","10","치매에 걸린 어르신들을 보면 '왜저러시지...'가 다였던 저에게 큰 전환점이 된 영화였습니다. 이해한다는건 단순히 알고 마는 게 아니라는걸 감독은 말하고 싶었던 게 아닐까 생각이 들었습니다.","37","1"
"더 파더","kby4****","2021.06.23. 20:57","8","내가 누구인지  조차 잊는다면  생의 마지막이 너무 슬픈거 아닌가. 내가 나일때 죽고 싶다는 소망을 갖게 만드는 영화.","37","2"
"더 파더","dxom****","2021.04.15. 22:29","10","하필 주인공 이름이 안소니에다가 생일도 똑같아서...이건 반칙이지...","34","1"
"더 파더","0715****","2021.04.11. 09:18","7","안소니 홉킨스의 인상적인 연기","26","0"
"더 파더","jin7****","2021.04.16. 20:47","8","마지막까지 몰입감 좋아요","18","0"
"더 파더","kans****","2021.11.25. 18:23","10","늙어간다는건 뭘까? 안소니 홉킨스의 연기는 단연 최고","16","0"
"더 파더","dyyu****","2021.05.16. 20:22","8","영화가 아니었으면 못했을 경험을 했네요. 안소니홉킨스의 놀라운 연기력에도 감탄했습니다","15","0"
"더 파더","ll11****","2021.12.18. 01:03","10","슬프고 무섭다","16","1"
"더 파더","gnlw****","2021.04.28. 15:34","9","연기를 정말 잘하고 너무 묘사가 사실적이어서 먹먹함","15","1"
"더 파더","f5go****","2021.10.30. 01:43","9","치매걸린 노인의 모습을 미스터리하게 풀어내는 방식이 매우 멋있다. 주인공의 혼란스러운 마음을 기가 막힌 편집기술로 구현해냈고 안소니 홉킨스의 연기는 완벽했다.","13","0"
"더 파더","mart****","2021.06.19. 13:43","10","그를 두고와 마음이 너무 아프다…","13","0"
"더 파더","foro****","2021.04.29. 13:07","9","너무 슬프고 먹먹한 느낌이 시작부터 마지막까지... 그리고 계속 슬픔.","13","0"
"더 파더","purp****","2021.11.11. 17:36","9","이토록 슬픈 현실 ㅠㅠ","12","0"
"더 파더","beca****","2021.11.24. 22:00","10","이보다 더한 공포가 있을까. 연출도 좋았고 연기는 정말 최고였습니다.","13","1"
"더 파더","tjdd****","2021.04.26. 21:10","8","사라져가는 나의 잎사귀를 향한 외침","12","1"
"더 파더","pjhj****","2021.11.19. 23:56","8","주인공들의 연기가 인상적입니다. 아버지와 딸의 슬프지만 현실적인 이야기가 좋았습니다.","10","0"
"더 파더","amer****","2021.05.02. 13:45","8","그 어떤 영화와도 다른 인생의 슬픔과 복잡함을 담아냈다 기억이라는게 인생에서 얼마나 중요한지를 알려준다 여운은 조커만큼 길다","10","0"
"더 파더","stay****","2021.04.18. 12:36","10","딸이 떠난 것을 인지하자 아이가 되어버리는... 자신을 나무에 비유한 그 대사가 너무 슬퍼서 오열하다가 왔네요 근데 옆에 분은 주무셔서 어느정도 취향은 타는거 같습니다","10","0"
"더 파더","nine****","2021.04.20. 00:33","8","나이가 들어감에 따르는 두려움","11","1"
"더 파더","ojh9****","2021.05.04. 10:33","8","현실적인 공포 영화이다. 언제든지 누구든 겪을 수 있는.","9","0"
"더 파더","blac****","2021.04.28. 22:03","10","이렇게까지 여운이 남다니... 꼭 보세요. 정말 많은 생각을 남기네요...","9","0"
"더 파더","lhg0****","2021.05.07. 23:42","8","드라마인 줄 알았는데 엄청난 서스펜스","10","1"
"더 파더","dije****","2021.11.09. 06:57","10","누구나 이런 삶의 끝이 기다리고 있다...","11","2"
"더 파더","tnal****","2022.01.16. 18:04","10","영화로만 남았으면 하는 이야기.. ㅠ","8","0"
"더 파더","blac****","2021.04.29. 21:15","9","안소니 홉킨스에게 감정이입 될 줄이야..남의 일이 아니다.","8","0"
"더 파더","bepi****","2021.04.28. 18:23","8","콜맨과 안소니 홉킨스가 나와서 보게 된 영화였는데역시 연기는 말할 것도 없고 스토리를 잘 만든 거 같아요~내 자신이 안소니가 된 것처럼 느껴질 정도로 섬뜩하고 슬펐요","9","1"
"더 파더","seoh****","2021.04.27. 23:31","10","할아버지 연기에 눈물흘리고 갑니다","9","1"
"더 파더","cpla****","2021.06.24. 10:50","10","배우들의 연기에 감동하며 너무 잘 봤습니다.","7","0"
"더 파더","elli****","2021.05.15. 18:43","10","올리비아 콜맨과 안소니 홉킨스의 연기 앙상블눈물이 멈추지 않아","7","0"
"더 파더","jsxo****","2021.05.07. 12:46","9","한편의 연극을 보는듯했다. 연기력과 세련된 연출의 만남","7","0"
"더 파더","avoo****","2021.05.03. 16:54","10","연출, 무대, 연기 모두 너무 좋았습니다. 치매 환자의 시선을 보여준 좋은 영화.","7","0"
"더 파더","djlo****","2021.04.18. 19:18","8","그나이에 맞는 연기의 극점이 어떤 모습인지 잘봤습니다. 홉킨스 브라보 ㅎㅎ","7","0"
"더 파더","chun****","2021.11.12. 20:36","10","완벽한 연기와 사실적인 이야기","8","1"
"더 파더","wjy2****","2021.11.30. 13:49","9","올해 최고의 스릴러","12","5"
"더 파더","chzt****","2021.11.10. 08:38","8","배우들의 연기력이 뛰어났다","6","0"
"더 파더","jaim****","2021.05.03. 15:35","9","배우들의 연기와 시나리오가 좋은 영화에요 많은 걸 생각해보게 했습니다","6","0"
"더 파더","yjma****","2021.04.28. 19:50","8","안소니 홉킨스의 명연기!","6","0"
"더 파더","kelo****","2021.04.11. 15:02","8","이번주에 본거중엔 가장 좋았음","6","0"
"더 파더","lime****","2021.11.08. 19:01","10","영화라는 예술이 가진 미덕의 최경지에 오른 작품 이래서 내가 극장을 찾는다.안소니옹의 연기는 명불허전.","7","1"
"더 파더","full****","2021.04.08. 13:20","10","인생을 먼저 살아가는 선배가 들려주는 삶의 끄트머리 이야기. 안소니 홉킨스의 내면이 드러나는 표정이 인상깊었어요.","7","1"
"더 파더","rbgn****","2023.02.14. 12:32","9","너무 뛰어난 체험적 영화라 홉킨스가 느꼈을 혼란과 공포가 그대로 느껴졌다","5","0"
"더 파더","lemo****","2023.02.04. 00:43","10","안소니홉킨스의 시각으로 바라본 치매환자의 모습..,뭐라고 말을 할 수없을정도로 먹먹하다","5","0"
"더 파더","cice****","2022.07.15. 16:02","10","안소니 홉킨스와 올리비아 콜먼 연기가 정말 인상적이었습니다. 주인공의 심리를 반영한 세트와 연출 또한, 이것이 연극과는 다른 영화만의 매력이구나 확실히 보여주고 있었고요. 끝나고도 한참을 먹먹한 마음이 계속 되었습니다.","5","0"
"더 파더","eunj****","2021.04.29. 15:30","8","앤소니 홉킨스의 연기가 영화의 몰입감을 한층 높여주었다","5","0"
"더 파더","keje****","2021.04.08. 05:33","9","흡인력 있는 연출과 어마어마한 홉킨스의 연기! 영화로 진정한 체험을 하다","5","0"
"더 파더","babs****","2021.04.27. 10:51","9","안소니홉킨스의 엄청난 연기력겸허히 감상했습니다.","6","1"
"더 파더","g643****","2022.04.01. 13:43","8","연출, 연기 모두 최고","4","0"
"더 파더","flus****","2021.10.27. 20:22","9","사실적인 연기","4","0"
"더 파더","1121****","2021.04.19. 00:30","10","영화가 할 수 있는 멋진 일. 아버지와 딸의 시간을 담다.","4","0"
"더 파더","sukk****","2021.10.28. 10:41","8","그의 연기에 찬사를 보낸다","5","1"
"더 파더","gree****","2021.10.27. 22:56","9","우리 모두의 미래가 될 수 있기에 이 영화는 공포영화이다.","5","1"
