"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"사랑의 기적","lees****","2012.06.12. 00:33","10","최고로치는 영화 중 한편...같이본여자가재미없다해서그여자를접었다","230","21"
"사랑의 기적","movi****","2009.08.10. 02:55","8","식당에서 춤추는 장면에서 울컥","79","4"
"사랑의 기적","pbjc****","2016.08.13. 00:00","10","이렇게 연기하면 배우도 인류에 상당히 기여하는 셈이다. 로버트 드 니로 .","60","4"
"사랑의 기적","kjsj****","2014.03.31. 20:40","10","익숙함에 모든걸 잊고사는 사람들에게 보여줘야할영화다..","56","3"
"사랑의 기적","igel****","2014.05.21. 20:06","10","로버트드니로는 어떤 장애인 연기 보다 제일 잘함. 그리고 이 영화 속에 메세지가 꽤 인상깊다.","40","0"
"사랑의 기적","ljho****","2013.09.21. 00:25","10","이건 미친 영화다. 두 배우의 연기력 미쳤다. 보는 내내 울었다. 별 1억개도 모자란다. 내 생에 최고의 영화다. ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ","40","0"
"사랑의 기적","dw40****","2009.04.18. 00:45","10","보면서 3번 울엇어요 식당에서의 춤장면은 잊혀지지않네요","37","0"
"사랑의 기적","zene****","2016.06.04. 22:00","10","실패마저도 이토록 아름다울 수 있을까. 어쩌면, 익숙한 것의 소중함을 잠깐이나마 느꼈던 그들의 생이야말로 진정한 성공이 아닐까.","26","1"
"사랑의 기적","qodu****","2014.02.13. 13:01","10","배우들의 연기력 작품성 감동 재미지다","23","0"
"사랑의 기적","happ****","2014.01.27. 19:17","10","감동과 슬픔이 교차하는 멋진 영화.","19","0"
"사랑의 기적","crom****","2014.06.07. 01:25","10","아 진짜 남자 나이 서른 다섯에 영화 보면서 울기가 참 쉽지 않은데... 펑펑 울었다 간만에. 로버트 드니로 연기가 사람을 미치게 한다.","18","1"
"사랑의 기적","shki****","2015.03.14. 22:50","9","로버트 드니로와 이제는 고인이된 로빈 윌리엄스의 연기를 볼수있었음에 감사를. 비록 안타까운 결말이었지만 오히려 평범한 현실에 감사해야함을 자각시켜준것 같아 고맙기도하다","14","0"
