"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"스틸 앨리스","uju_****","2015.05.02. 16:48","9","순간을 소중히 살아야겠다는 생각이 드는, 지나가는 장면과 음악이 아름다운, 여운이 남는 영화","104","3"
"스틸 앨리스","xogo****","2015.05.01. 22:19","9","It makes me think a lot of things about how I should live my life without wasting valuable time.","85","15"
"스틸 앨리스","snow****","2015.06.07. 20:54","10","주인공의 마지막 대사 ""love..""가 큰 감동을 주었다..","59","5"
"스틸 앨리스","suns****","2015.05.03. 20:18","10","한사람의 삶을 가로막을것 같던 알츠하이머라는 지독한 병은 결코 영혼까지는 집어 삼킬수없는 병.","49","2"
"스틸 앨리스","yush****","2015.05.05. 10:27","10","I am not suffering, I am struggling.나로 남아 있기 위한, 사랑을 담은 영화.","38","2"
"스틸 앨리스","sesl****","2015.05.01. 23:07","9","풍경과 음악때문에 더 여운이 남는 영화. 결말이 맘에 안들수도 있지만 되새겨볼수록 그 결말이 맞았단 생각이 들어요...","34","1"
"스틸 앨리스","djki****","2015.05.04. 20:24","8","인간이 살면서 이뤄놓은 것들을 차츰 잃어가는 과정을 너무 담담히 그려내서 슬펐다.. 소중히 여겼던 가족도, 명예도, 기억 조차도 상황에 따라 잊혀지고 멀어질 수 있는거구나..","35","3"
"스틸 앨리스","spea****","2015.05.05. 21:11","9","따뜻한 이야기.  영화처럼 모든 환자들이 희망을 잃지않았으면 좋겠다","27","2"
"스틸 앨리스","05ox****","2015.08.03. 19:45","8","가족이 알츠하이머...감정이입이 바로 된 영화.","24","1"
"스틸 앨리스","moon****","2015.05.01. 22:10","9","줄리안 무어! 그녀는 언제나 최고","25","2"
"스틸 앨리스","jaeh****","2016.06.27. 23:18","10","진하게 밀려오는 인생의 무거움","13","0"
"스틸 앨리스","rlat****","2015.09.22. 16:35","8","나이를 먹는다는것, 아프다는것, 그것만큼 제일 슬픈일이 어딨을까","13","1"
