"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"어웨이 프롬 허","kmog****","2014.01.19. 00:57","10","사랑이 무엇인지 이렇게 절절히 표현해낼수있을까. 난 누구를 진실로 사랑했는가 돌이켜본다","19","0"
"어웨이 프롬 허","alsd****","2013.06.03. 15:44","7","마지막 장면은 감독의 욕심이었다. 끝까지 담담하게 갔다면.. 라스트씬은 그저 남편의 짧은 환상정도로 믿고 싶다. 삶은 뒤에도 계속 이어지는 것이기에. 그랜트의 눈빛, 그 자체가 이 영화다. 한마디 대사보다 더욱. 그 눈에 삶이 있었다.","22","9"
"어웨이 프롬 허","alsl****","2010.01.18. 20:28","10","숨겨진 수작","10","1"
"어웨이 프롬 허","gang****","2010.09.21. 17:59","10","지루했다고한 사람들은 .. 사랑을 안해봤는가 ?","9","1"
"어웨이 프롬 허","jopo****","2010.04.17. 09:58","10","정말 심금을 울린다. 결혼하면 아내랑 같이 봐야지. 서로가 지칠때","6","0"
"어웨이 프롬 허","sua4****","2013.11.30. 05:52","10","니는 모습. 정말 시간 가는 줄 모르고 봤다. 어느새 화면이 하얘지고 엔딩 크리딧 올라가는데.... 정말 오랜만에 엔딩 크리딧의  영어들 한 자 한 자 끝까지 다 읽게되는 영화를 보게 된 것 같다. Away from her! 강추!","5","0"
"어웨이 프롬 허","xkrw****","2010.10.23. 12:57","10","많은 대화와 설정이 없어도 지나온 긴~삶과 연륜이 깊이 느껴져 마음속 심금을 울린다","4","0"
"어웨이 프롬 허","mygr****","2012.03.18. 02:47","7","따지고 보면 기억이란 그저 뇌의 산물이지만, 어떤 기억은 누군가의 전부일지도..","5","1"
"어웨이 프롬 허","ctes****","2020.11.29. 17:32","9","너무 우아하신 저 할머니 배우 누구냐 싶었더니 닥터 지바고의 그녀였습니다. 부부가 손잡고 봐야 할 깊이있는 영화입니다.","3","0"
"어웨이 프롬 허","luck****","2019.05.18. 17:33","10","늙어 병들면 가야하지만 보내야하는 마음이 너무아프다.내내 마음이 너무아파하며 감상했네요.","3","0"
"어웨이 프롬 허","balc****","2014.01.19. 12:15","10","아름다운 음악으로 흘러가는 생의 마지막 시간들...살아 있거라, 누구든지.","3","0"
"어웨이 프롬 허","yama****","2014.01.19. 01:25","10","...잔잔해서 더욱 슬픈","3","0"
"어웨이 프롬 허","focu****","2009.03.02. 03:32","8","그녀를 보내주지만 그렌트도 결국은 다른 여자를 찾는다. 아름답고도 현실적인 영화","3","0"
"어웨이 프롬 허","ssoz****","2009.02.07. 06:47","10","당신 이기에... 가슴이 찢어질것 같이 아프고 멍이들어도 참아내리다...","3","0"
"어웨이 프롬 허","yett****","2011.11.17. 21:45","9","남편과 함께 본 영화 나와남편의 황혼을 생각하게 한다.그때는 지금보다 더남편을 사랑하고싶다.","4","1"
