"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"이터널 메모리","nsyn****","2024.02.16. 01:50","9","영원한 기억은 있을까? 기억할 수 있는 순간의 감사함을 담았다. 그리고 자연스레 잊혀지는 방법도.","1","0"
"이터널 메모리","darw****","2023.10.23. 11:47","10","재밋게 봣습니다 좋은하루되세요","1","0"
"이터널 메모리","nulj****","2024.06.11. 14:02","9","잊고싶지 않은데 잊어간다 ㅠㅠ","0","0"
"이터널 메모리","mibj****","2024.03.21. 22:36","10","구우웃구우웃구우우웃","0","0"
"이터널 메모리","sun1****","2024.03.19. 21:24","7","재미있게 잘 봤습니다 재미있게 잘 봤습니다","0","0"
"이터널 메모리","wing****","2024.03.08. 10:38","6","모든 것들이 희미해졌더라도 우리는","0","0"
"이터널 메모리","jsjc****","2024.03.04. 16:33","6","살며시 스며드는, 기억을 기억하는 것의 숭고함","0","0"
"이터널 메모리","your****","2024.03.04. 12:47","6","잔잔하니 기록물로는 좋을 듯..","0","0"
"이터널 메모리","emer****","2024.03.04. 08:30","6","사랑의 기억만큼은 영원했으면 좋겠다.","0","0"
"이터널 메모리","hote****","2024.03.02. 07:54","8","잊혀지지않으면 안되는 이야기.","0","0"
"이터널 메모리","ghos****","2024.02.29. 16:18","10","함께했던 오랜 추억들을 잃어가더라도, 남긴 기록을 통해 그들의 영원한 사랑을 유지하다! 감동의 눈물..","0","0"
"이터널 메모리","wu20****","2024.02.21. 09:49","8","칠레라는 나라를 생각하게 되고, 더불어 결국에 찾아오는 죽음을 생각하게 된다.","0","0"
"이터널 메모리","soul****","2024.02.20. 16:41","8","기록이 삶에서 가장 중요하던 사람이 그걸 잃게 되는건 참 가혹한 일이다","0","0"
"이터널 메모리","pixo****","2023.09.28. 23:12","7","저항과 사랑의 목소리, 그리고 그 기록.","0","0"
"이터널 메모리","hyj0****","2023.09.25. 17:03","10","우리는 또 그들을 보며 내일을 상상해본다.","0","0"
