,전체주중주말,주운행선,운행년월,일수,주말수,주중수,공휴일수,명절수,공급차량수,공급좌석합계수,승차수입금액,승차인원수,승차연인거리,좌석거리,1인당수입율,공급대비승차율,운행대비고객이동,사망자수,접종시작자수,격리된자수,정부대응정도,확진자수,접종완료자수,코로나진행정도,국가이동제한정도,관광,일반,일반/관광,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수
0,전체,경부선,2015-01-01,31,14,17,1,0,2237.8064516129034,114303.06451612903,4130618661.290323,118299.96774193548,314453180.9032258,478137485.9354839,34856.173780553414,1.032296962773062,1.5334568701273055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.32258064516129,0.06451612903225806,0.0,0.3225806451612903,15.064516129032258,6.0,6.0,11.0,130.16129032258064
1,전체,경부선,2015-02-01,28,12,16,3,3,2259.6428571428573,115898.64285714286,4334351217.857142,122230.53571428571,327313392.3214286,485026759.25,35360.03508892128,1.0535119020373709,1.512278350909998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.428571428571429,0.10714285714285714,3.25,0.42857142857142855,11.857142857142858,6.0,6.0,11.0,132.14285714285714
2,전체,경부선,2015-03-01,31,13,18,1,0,2209.4193548387098,113191.32258064517,3901565890.322581,114985.06451612903,294251866.1935484,473306450.2580645,33778.736828633184,1.009231349756236,1.6440412251818783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.12903225806451613,0.0,0.0,15.129032258064516,6.0,6.0,11.0,129.0
3,전체,경부선,2015-04-01,30,12,18,0,0,2204.866666666667,113265.76666666666,4020472980.0,117478.0,303216747.73333335,470043226.03333336,34058.15263527998,1.030582364191366,1.5833937743120325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.966666666666667,0.3,0.0,0.0,16.266666666666666,6.0,6.0,11.0,127.0
4,전체,경부선,2015-05-01,31,15,16,3,0,2253.483870967742,115901.80645161291,4357291654.83871,125628.58064516129,331347662.2903226,481446531.9677419,34545.05789383625,1.0777002973000276,1.4885240076786763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.612903225806452,0.3225806451612903,0.0,0.6774193548387096,16.258064516129032,6.0,6.0,11.0,129.74193548387098
5,전체,경부선,2015-06-01,30,12,18,1,0,2207.4666666666667,112856.2,2931815276.6666665,85131.13333333333,217084570.7,468156761.5,34357.592106927514,0.754003592639964,2.190978981409246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.066666666666666,0.13333333333333333,0.0,0.06666666666666667,16.133333333333333,6.0,6.0,11.0,127.16666666666667
6,전체,경부선,2015-07-01,31,13,18,0,0,2211.1612903225805,113318.16129032258,3726473312.903226,105368.09677419355,277053213.6451613,469843089.87096775,35289.104483238494,0.927387084317841,1.7300134629658601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.064516129032258,6.161290322580645,0.0,0.0,19.225806451612904,6.0,6.0,11.0,127.35483870967742
7,전체,경부선,2015-08-01,31,14,17,1,0,2160.451612903226,109725.35483870968,4221714322.580645,114646.32258064517,305227813.16129035,448957825.0,36780.081566265064,1.0437975552490566,1.4854133335564872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3870967741935485,15.870967741935484,0.0,0.03225806451612903,18.225806451612904,6.0,6.0,11.0,127.93548387096774
8,전체,경부선,2015-09-01,30,12,18,3,3,2179.2,111377.93333333333,4029274650.0,112882.3,286703651.6,455835791.76666665,35530.74619843789,1.0054984537221587,1.633731668379462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.266666666666667,13.166666666666666,2.8333333333333335,0.5666666666666667,16.133333333333333,6.0,6.0,11.0,129.3
9,전체,경부선,2015-10-01,31,14,17,2,0,2155.6774193548385,110162.7741935484,4280952248.387097,119367.06451612903,305523765.41935486,450428822.9677419,35750.696671806094,1.0773085517494694,1.5064949856208079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.096774193548387,15.741935483870968,0.0,0.0967741935483871,18.741935483870968,6.0,6.0,11.0,128.19354838709677
10,전체,경부선,2015-11-01,30,13,17,0,0,2147.2,110138.26666666666,4290830840.733333,120314.2,306173125.46666664,450204060.7,35470.68778915499,1.0830062951373611,1.519057900160006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.033333333333333,15.766666666666667,0.0,0.0,18.8,6.0,6.0,11.0,127.7
11,전체,경부선,2015-12-01,31,12,19,1,0,2131.548387096774,109256.25806451614,4067326116.903226,114735.58064516129,292832284.61290324,446592154.9354839,35349.62326767908,1.046311022556047,1.555690531308766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.225806451612903,15.903225806451612,0.0,0.25806451612903225,18.870967741935484,6.0,6.0,11.0,127.19354838709677
12,전체,경부선,2016-01-01,31,15,16,1,0,2169.548387096774,111208.87096774194,3954953333.322581,109746.51612903226,289668140.7419355,454696428.2580645,36084.59421851813,0.9825873964301958,1.5863159753672627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3548387096774195,15.483870967741936,0.0,0.1935483870967742,18.64516129032258,6.0,6.0,11.0,128.51612903225808
