,전체주중주말,주운행선,운행년월,일수,주말수,주중수,공휴일수,명절수,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원,접종시작자수,사망자수,코로나진행정도,확진자수,접종완료자수,정부대응정도,격리된자수,국가이동제한정도,ITX-마음,ITX-새마을,누리로,무궁화호,새마을호
0,전체,경부선,2015-01-01,31,15,16,1,0,2237.806452,114303.0645,118299.9677,34856.17378,2653.886146,35994.24992,1.032296963,13.13589193,0.655046671,0,15.38709677,0,0.322580645,15.06451613,6,6,11,130.1612903,906.6512316,0,0,0,0,0,0,0,0,0,11087.58065,5461.225806,71326.93548,2281.806452
1,전체,경부선,2015-02-01,28,14,14,3,3,2259.642857,115898.6429,122230.5357,35360.03509,2670.969758,37267.64861,1.053511902,13.23910141,0.672807856,0,15.53571429,3.25,0.428571429,11.85714286,6,6,11,132.1428571,924.6009299,0,0,0,0,0,0,0,0,0,12042.82143,5728.357143,74085.89286,2667.357143
2,전체,경부선,2015-03-01,31,13,18,1,0,2209.419355,113191.3226,114985.0645,33778.73683,2549.425973,34165.23994,1.00923135,13.24880885,0.616368102,0,15.12903226,0,0,15.12903226,6,6,11,129,885.6758967,0,0,0,0,0,0,0,0,0,10985.45161,6255.193548,77375.87097,2203.096774
3,전체,경부선,2015-04-01,30,12,18,0,0,2204.866667,113265.7667,117478,34058.15264,2571.47348,35185.17065,1.030582364,13.24241941,0.639755184,0,16.26666667,0,0,16.26666667,6,6,11,127,919.469078,0,0,0,0,0,0,0,0,0,11383.06667,6357.266667,77846.9,823.5
4,전체,경부선,2015-05-01,31,17,14,2,0,2253.483871,115901.8065,125628.5806,34545.05789,2625.032776,37306.437,1.077700297,13.16537309,0.682808862,0,16.93548387,0,0.677419355,16.25806452,6,6,11,129.7419355,962.9056759,0,0,0,0,0,0,0,0,0,13055.16129,6534.064516,82697.3871,539.1290323
5,전체,경부선,2015-06-01,30,12,18,1,0,2207.466667,112856.2,85131.13333,34357.59211,2543.981887,25879.13808,0.754003593,13.50335336,0.462277591,0,16.2,0,0.066666667,16.13333333,6,6,11,127.1666667,668.8083594,0,0,0,0,0,0,0,0,0,8341.166667,5213.666667,60455.56667,120.2666667
6,전체,경부선,2015-07-01,31,13,18,0,0,2211.16129,113318.1613,105368.0968,35289.10448,2620.194737,32750.5097,0.927387084,13.47368217,0.587232392,0,19.22580645,0,0,19.22580645,6,6,11,127.3548387,825.0180431,0,0,0,0,0,0,0,0,0,10534.09677,5841.83871,67136.74194,418.2580645
7,전체,경부선,2015-08-01,31,14,17,1,0,2160.451613,109725.3548,114646.3226,36780.08157,2656.478879,38398.50795,1.043797555,13.8515638,0.678372805,0,18.25806452,0,0.032258065,18.22580645,6,6,11,127.9354839,894.6378043,0,0,0,0,0,0,0,0,0,12231.22581,6318.83871,70552.41935,557.8387097
8,전체,경부선,2015-09-01,30,13,17,3,3,2179.2,111377.9333,112882.3,35530.7462,2523.999087,35798.52794,1.005498454,14.08412976,0.621781555,0.1,19.43333333,2.833333333,0.566666667,16.13333333,6,6,11,129.3,866.2849561,0,0,0,0,0,0,0,0,0,12323.13333,6829.9,75763.33333,893.1333333
9,전체,경부선,2015-10-01,31,14,17,2,0,2155.677419,110162.7742,119367.0645,35750.69667,2548.727056,38562.9287,1.077308552,14.03209818,0.67265109,0,18.83870968,0,0.096774194,18.74193548,6,6,11,128.1935484,925.8344763,0,0,0,0,0,0,0,0,0,12432.74194,6347.193548,77012.93548,1003.064516
