,전체주중주말,주운행선,운행년월,일수,주말수,주중수,공휴일수,명절수,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,일반/관광,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원,격리된자수,확진자수,접종시작자수,코로나진행정도,정부대응정도,사망자수,접종완료자수,국가이동제한정도,ITX-마음,ITX-새마을,누리로,무궁화호,새마을호
0,전체,경부선,2015-01-01,31,15,16,1,0,69372.0,3543395.0,3667299.0,1080541.3871971557,82270.4705231291,1115821.7475205685,32.001205845964925,407.2126499548924,20.306446804919037,0.0,475.0,2.0,0.0,10.0,467.0,186.0,186.0,341.0,4035.0,28106.188180471076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343715.0,169298.0,2211135.0,70736.0
1,전체,경부선,2015-02-01,28,14,14,3,3,63270.0,3245162.0,3422455.0,990080.9824897958,74787.15323573277,1043494.161128089,29.498333257046387,370.6948394035328,18.838619965760618,0.0,432.0,3.0,91.0,12.0,332.0,168.0,168.0,308.0,3700.0,25888.826037535462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337199.0,160394.0,2074405.0,74686.0
2,전체,경부선,2015-03-01,31,13,18,1,0,68492.0,3508931.0,3564537.0,1047140.8416876288,79032.20515642533,1059122.43816158,31.286171842443313,410.7130744661317,19.107411156832505,0.0,465.0,4.0,0.0,0.0,469.0,186.0,186.0,341.0,3999.0,27455.952798257433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340549.0,193911.0,2398652.0,68296.0
3,전체,경부선,2015-04-01,30,12,18,0,0,66146.0,3397973.0,3524340.0,1021744.5790583994,77144.20439048117,1055555.1195939085,30.917470925740982,397.2725821760757,19.192655526366124,0.0,479.0,9.0,0.0,0.0,488.0,180.0,180.0,330.0,3810.0,27584.072341159455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341492.0,190718.0,2335407.0,24705.0
4,전체,경부선,2015-05-01,31,17,14,3,0,69858.0,3592956.0,3894486.0,1070896.794708924,81376.01606047453,1156499.5471048574,33.408709216300856,408.12656569376816,21.167074714682542,0.0,515.0,10.0,0.0,21.0,504.0,186.0,186.0,341.0,4022.0,29850.075954101616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404710.0,202556.0,2563619.0,16713.0
5,전체,경부선,2015-06-01,30,12,18,1,0,66224.0,3385686.0,2553934.0,1030727.7632078255,76319.45662402878,776374.1424172828,22.620107779198918,405.1006007133383,13.868327738560092,0.0,482.0,4.0,0.0,2.0,484.0,180.0,180.0,330.0,3815.0,20064.250781285486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250235.0,156410.0,1813667.0,3608.0
6,전체,경부선,2015-07-01,31,13,18,0,0,68546.0,3512863.0,3266411.0,1093962.2389803934,81226.03683331779,1015265.8006821547,28.748999613853073,417.68414719329417,18.20420415678823,0.0,405.0,191.0,0.0,0.0,596.0,186.0,186.0,341.0,3948.0,25575.55933672066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326557.0,181097.0,2081239.0,12966.0
7,전체,경부선,2015-08-01,31,14,17,1,0,66974.0,3401486.0,3554036.0,1140182.528554217,82350.84525343041,1190353.7465566965,32.357724212720754,429.3984778054534,21.02955696037266,0.0,74.0,492.0,0.0,1.0,565.0,186.0,186.0,341.0,3966.0,27733.771933364045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379168.0,195884.0,2187125.0,17293.0
8,전체,경부선,2015-09-01,30,13,17,3,3,65376.0,3341338.0,3386469.0,1065922.3859531367,75719.9726249492,1073955.838302431,30.164953611664764,422.52389271815014,18.653446636075845,3.0,188.0,395.0,85.0,17.0,484.0,180.0,180.0,330.0,3879.0,25988.548682131484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369694.0,204897.0,2272900.0,26794.0
9,전체,경부선,2015-10-01,31,14,17,2,0,66826.0,3415046.0,3700379.0,1108271.596825989,79010.5387333135,1195450.789751884,33.39656510423355,434.99504357744627,20.852183792603434,0.0,96.0,488.0,0.0,3.0,581.0,186.0,186.0,341.0,3974.0,28700.86876500409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385415.0,196763.0,2387401.0,31095.0
10,전체,경부선,2015-11-01,30,13,17,0,0,64416.0,3304148.0,3609426.0,1064120.6336746498,75852.61759455463,1155995.1055306245,32.49018885412083,420.98217771630857,20.16510589198202,0.0,91.0,473.0,0.0,0.0,564.0,180.0,180.0,330.0,3831.0,28033.830539286842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361208.0,196359.0,2302970.0,13675.0
11,전체,경부선,2015-12-01,31,12,19,1,0,66078.0,3386944.0,3556803.0,1095838.3212980516,78816.44655253062,1147830.015216165,32.43564169923746,431.2509184884769,20.21182620943136,0.0,100.0,493.0,0.0,8.0,585.0,186.0,186.0,341.0,3943.0,27850.188713252846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386965.0,187642.0,2290325.0,15519.0
12,전체,경부선,2016-01-01,31,15,16,1,0,67256.0,3447475.0,3402142.0,1118622.420774062,81817.69975537356,1098596.979316844,30.46020928933607,423.9086149580448,19.663574944207564,0.0,104.0,480.0,0.0,6.0,578.0,186.0,186.0,341.0,3984.0,26354.23546528919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374808.0,189217.0,1982956.0,15967.0
13,전체,경부선,2016-02-01,29,14,15,3,3,63772.0,3267746.0,3368729.0,1056055.8368677245,76865.6161224644,1084496.684867706,29.807430816739654,398.50983282993195,19.313218004307327,0.0,197.0,359.0,102.0,18.0,436.0,174.0,174.0,319.0,3786.0,25717.229363856797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379502.0,196105.0,2054756.0,25881.0
14,전체,경부선,2016-03-01,31,13,18,1,0,66210.0,3392424.0,3262111.0,1089389.0579264425,78335.7323892931,1037212.2450414328,29.571206270664494,431.1093757133796,18.28161562294615,0.0,339.0,442.0,0.0,0.0,781.0,186.0,186.0,341.0,3927.0,25551.657308371574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342568.0,206396.0,2100671.0,32796.0
