"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"메멘토","mist****","2014.11.27. 22:24","10","흑백화면이 컬러화면으로 바뀔때의 그 짜릿함.","524","38"
"메멘토","yoel****","2014.11.26. 18:08","9","중간에 살짝 지루한 감이 없잖아 있지만 영화보는 내내 퍼즐을 맞추는 혹은 탐정이 된듯한 느낌을 받을 수 있다. 지적스릴러란 말이 과언이아님.","176","25"
"메멘토","ssun****","2014.11.20. 11:37","10","다시봐도명작 상상력이 남다르다","147","14"
"메멘토","tomt****","2014.11.25. 23:27","10","최고의 데뷔작임 동시에 최고의 수작","114","21"
"메멘토","lamu****","2014.11.20. 11:04","8","쉽지 않은 영화네요. 내용을 좀 더 곱씹어 봐야 할 듯 합니다.","104","13"
"메멘토","wgdi****","2014.11.20. 23:21","10","오늘 리마스터링 보러갔다왔는데 정말 다시 봐도 걸작","96","9"
"메멘토","yosa****","2015.06.25. 22:59","10","지루함을 이겨낸다면 온몸에 소름이 찾아옴","55","7"
"메멘토","xkap****","2014.11.23. 17:14","10","무슨말이 필요하겠나 재개봉은 언제나 반갑다 메멘토라 더욱 신난다","53","6"
"메멘토","be_d****","2015.10.13. 00:50","10","과거에서 현재로 향하는 흑백영상/ 현재에서 과거로 거슬러가는 컬러영상/ 주인공의 상태처럼 조각내어 나열된 전개방식과 이 색다른 전개방식에 최적화된 스토리라인/ 그래서 몇번이나 더 보게되는 영화","54","7"
"메멘토","game****","2014.11.22. 10:28","10","내용이 완전히 이해는 안되지만 마지막을 보니 허탈했다. 무엇이 진실이고 무엇이 진실이라고 믿는 거짓인지 모호하고 혼란스러웠다.","49","3"
"메멘토","kuen****","2015.07.26. 23:43","10","쉴새없이 생각하게 만들고 기억하게 만들고 의심하게 만드는 영화","31","5"
"메멘토","khr2****","2020.08.28. 18:04","9","집중해서 한번 더 다시봐야겠어요크리스토퍼 놀란 감독 대단하네여","24","5"
"메멘토","tomm****","2014.11.22. 16:59","10","명작을 큰스크린으로봐서 좋앗음","24","5"
"메멘토","pkm_****","2016.04.29. 00:29","10","이거 진짜 재개봉해서 영화관에서 다시봤는데 진짜 대박이에요... 어떻게 이렇게 영화를 만들수가잇지... 너무 재밋어요!!","22","7"
"메멘토","jjoo****","2016.02.21. 04:27","10","최소한다섯번은봐야진정한재미","21","7"
"메멘토","baye****","2020.09.05. 12:04","9","시간순서였다면... 평범한 스릴러영화였겠지요... 하지만 이런 연출의 영화 정말 좋아합니다. 색다른 스토리전개, 뭔가 의미부여된 하나 하나의 씬들...90년대의 데이빗핀처감독같은, 영화속 장치들을 찾아보면 놀라게 되는 그런 영화들 너무 좋아합니다...","27","13"
"메멘토","mean****","2014.11.23. 23:57","9","인간의 기억은 불확실하며 얼마든지 조작이 가능하다는 것을 보여주는 영화.반복되는 장면으로 설명을 해주는 방식이 독특하지만 지루하거나 집중하지못하면 내용을 따라갈 수 없다는 단점도 있다.","14","3"
"메멘토","lks8****","2015.02.03. 15:55","10","맨 처음에는 이 영화 뭐지 도대체 뭘까 하다가 마지막 부분에 멘붕이 옴","11","2"
"메멘토","hjw6****","2014.12.03. 10:08","9","영화너무 어려워~~~","13","4"
"메멘토","jyan****","2014.11.21. 19:11","10","세련된 연출력에 감탄!","8","1"
"메멘토","gksw****","2015.06.01. 18:56","10","크리스토퍼 놀란은 정말 천재다","12","5"
"메멘토","xiah****","2015.09.21. 22:50","10","신선하다. 인터스텔라보다 더 좋은듯..","19","12"
"메멘토","magi****","2016.07.23. 11:10","8","재밌었음.  사실, 이토록 신선하고 기발한 영화에 이질감보다 재미를 먼저 느끼는게 대단한듯.","15","9"
"메멘토","sy03****","2014.11.23. 13:48","10","잠깐이라도 멍을 때릴 수 없는 영화!!","8","3"
"메멘토","1013****","2016.04.26. 11:49","9","놀란이형...재개봉했을때 이영화를 본게 정말 신의 한수였다.. 6번은 봐야 이해되는 영화, 하지만 몇 번을 봐도 안지루함","17","12"
"메멘토","craz****","2014.11.26. 17:06","10","세번이나 본 영화를 다시 극장에서 볼 가치 있는 영화","7","3"
"메멘토","tnwl****","2015.06.18. 12:50","10","어려웠지만 많이 생각하게되는 영화였던거같아요ㅠㅠ 야러번봐도 재밌을거같아요!","9","5"
"메멘토","rhkr****","2015.10.26. 15:11","10","그냥 놀란은 개인정 생각하는 것 부터가 다르다","11","7"
"메멘토","viol****","2014.11.24. 17:38","8","15년 전 영화라고는 믿어지지 않는 세련미","7","4"
"메멘토","124q****","2023.09.28. 12:38","9","연출 GOAT. 이 때랑 요즘이랑 스타일 다르다고 들었는데 그래도 오펜하이머 보면서 느낀 걸 여기에서도 약간 느꼈음","3","1"
"메멘토","baby****","2014.11.25. 20:31","9","정신없이 기억의 진실과 거짓을 조합해가는 영상들 ??","6","4"
"메멘토","heej****","2015.08.25. 09:48","7","스토리는 다시봐도 대박","8","6"
"메멘토","sios****","2014.12.17. 16:28","6","정신 없..(네요) @_@","9","7"
"메멘토","xoxo****","2014.12.18. 14:52","9","주인공 잘생겼다 시간의 흐름이 색다르다","10","8"
"메멘토","seac****","2016.01.27. 18:16","10","미친영화를 보고 미친배우를 보고 미친 나를 보고","12","10"
"메멘토","chuc****","2014.12.03. 01:25","9","그때 당시 센세이션을 일으킬만한 놀라운 연출과 말그대로 메멘토!!","2","1"
"메멘토","larc****","2014.12.18. 23:02","9","사람이없어서 더 보기 좋앗다","3","2"
"메멘토","shkw****","2014.11.30. 13:10","9","다시 봐도 만족스러운.","4","3"
"메멘토","ds35****","2014.11.22. 17:14","10","역시 놀란. 믿고 보는 놀란 ㅠㅠㅠ","4","3"
"메멘토","gree****","2015.07.30. 15:51","10","놀란의 천재성이 가장 여실히 드러난 작품아닐까?","10","9"
