"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내 머리속의 지우개","chos****","2013.06.24. 06:10","10","울고싶어서 오랜만에 봤댜막판에 폭풍눈물쏟다가 머리아파서타이레놀먹고 누움","1,675","80"
"내 머리속의 지우개","soha****","2013.06.27. 13:02","10","영화채널에서 하는거 보고있는데 진짜 다섯번은 더봤는데 볼때마다 눈물..8년도 더된 영환데 이건 지금 개봉해도 대박날거다","876","48"
"내 머리속의 지우개","grat****","2013.06.27. 13:44","10","마지막 자동차씬에서 정우성의 ""사랑해""는 정말 대박..","757","43"
"내 머리속의 지우개","lees****","2013.07.11. 23:36","8","이게 벌서 9년전 영화군. 개봉 당시 극장에서 봤는데 지금 생각하면 흔하디 흔한 소재를 잘 풀어냈다. 개인적으로 한국영화 중 탑5안에 꼽음.","655","43"
"내 머리속의 지우개","jhwh****","2016.03.25. 01:02","10","손예진 리즈시절을 보고 싶다면 이걸 보세요. 건축학 개론 수지 그냥 발라 버립니다.","636","47"
"내 머리속의 지우개","nowh****","2013.07.12. 01:33","10","정말 거짓말 하지않고 이영화를 15번째 봤습니다. 볼 때 마다 눈시울을 붉게 만들어주는 영화입니다. 가슴이 아려오고 저릿해오는 영화! 아직까지 못보신분들있으시다면 꼭 보세요 후회안하실거예요! 더해서 눈도 즐거워요~ 선남선녀!","528","44"
"내 머리속의 지우개","ophe****","2013.12.26. 18:47","10","영민씨 사랑해 응 그래 일찍올게 아 진짜 가슴이 미어진다","464","26"
"내 머리속의 지우개","wlsx****","2013.07.11. 00:32","10","'영화보면서 우는사람들 이해가 안되...' 라 했었던 날 완전히 뒤바꾼영화영활보면서 이렇게 질질 짜본건 처음이었다 정말 재미있고 너무 슬프며 미칠듯이 사랑스러운 영화 손예진짱짱 ㅠㅠㅠ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥","465","76"
"내 머리속의 지우개","park****","2013.06.27. 13:49","10","오늘 cgv에서 시청한것까지 8번 봤는데 8번 다 울었다..마지막 편의점장면에서 눈물을 참을수없다..","382","27"
"내 머리속의 지우개","hjs7****","2013.05.28. 21:01","10","예진 누나 너무 예뻐서 만점","370","40"
"내 머리속의 지우개","hehe****","2013.06.27. 14:03","10","오늘 처음봤는데 눈물 펑펑 쏟았네요 특히 기억이 돌아온 수진이 급하게 편지를 쓰는 장면이...ㅠㅠ마지막 장면까지 오랫동안 기억하게 될 영화네요","319","16"
"내 머리속의 지우개","host****","2013.10.04. 14:09","10","오직그대만보다 이게 평점이 더 안좋은게 이해가 안간다 이작품이 훨씬좋다","292","33"
"내 머리속의 지우개","godd****","2013.01.03. 16:05","10","손예진의 뒤를 이을 배우가 아직 안나오고 있다..","280","28"
"내 머리속의 지우개","ysmi****","2014.09.15. 00:22","8","대한민국여배우중에이렇게우는모습도예쁜여자가또있을까?","258","22"
"내 머리속의 지우개","shin****","2013.04.21. 03:52","10","두 남녀의 사랑이 훌륭한 건축가를 만들고 집을 짓는 꿈을 꾸게하며 날 버린 어머니를 용서하게하고 궁국적으로는 성숙한 사랑으로 거듭난다... 다시보니 명작이었네...","230","13"
"내 머리속의 지우개","alsc****","2013.02.08. 19:21","10","솔찍히 너무슬프고 애절한이야기인데  이만큼평점이낮은거에 안타갑다 평점만보고영화보시는분들  일단한번보고이야기하시죠?","233","17"
"내 머리속의 지우개","cjhc****","2014.01.11. 05:41","10","이 영화에서 나는 배우 정우성의 연기가 좋다. 그 만의 느낌....그가 표현해 내는 철수는 누가해도 따라오지 못할듯. 정우성의 재발견!","207","10"
"내 머리속의 지우개","jinw****","2016.05.10. 16:44","10","재개봉 원합니다.원하시면 좋아요 눌러주세요","187","7"
"내 머리속의 지우개","ahun****","2014.09.14. 23:40","8","10년 전이면 손예진 23살때....대단해요!","193","19"
"내 머리속의 지우개","no1w****","2013.10.06. 03:30","10","댓글처음써봅니다.요새멜로영화 몰아서 보는중인데 감히 최고라 말합니다.정우성이야 원래 최고지만 손예진 연기도 정말 굿인 영화입니다.손예진 잠시 기억돌아왔을때 편지쓴거 정우성이 읽을때 줄줄줄","187","18"
"내 머리속의 지우개","plug****","2013.10.18. 06:18","9","손예진 너무 사랑스럽다. ㅠㅠ","170","22"
"내 머리속의 지우개","shai****","2013.10.16. 18:17","10","최고입니다 진정 이런영화가 또나올까","151","13"
"내 머리속의 지우개","eorw****","2014.02.03. 15:53","10","말이필요할까...내사람이 저렇게 아프다면 내기억을 조금씩 잃고있다면..난 저렇게 아낌없이 주기만 하는 사랑을 할수있을까 보면서 여러생각을 깨닫게 해주고 자신의소중한 사람을 다시 되돌아 보게해주는 아름다운 영화","136","9"
"내 머리속의 지우개","boo6****","2018.01.12. 04:35","10","14년 후 겨울..나는 그들의 콜라가 700원에서 1400원이 되었음에 눈물흘렸다..","127","9"
"내 머리속의 지우개","qkrt****","2019.03.17. 23:37","10","지금 EBS에서 이거보는사람... 2019년 3월 17일 저녁 11시35분","106","3"
"내 머리속의 지우개","call****","2013.12.29. 12:24","10","손예진이 너무 좋다...영화도 너무 슬프고 여운이많이 남어ㅠ","118","21"
"내 머리속의 지우개","cast****","2013.08.17. 02:48","10","요새 영화들은 슬픈걸억지로 짜내는데 이건 정말 슬프고 감동적이뉴ㅠㅠㅠㅠ 정말 명작입니당","90","13"
"내 머리속의 지우개","slzl****","2014.02.04. 18:51","10","하ㅠㅠㅠ진짜 제가 제일 좋아하는 영화입니다ㅠㅠㅠ정우성 별로 안좋아하던 배우엿는데 이거 보고 홀딱반햇다는ㅜㅜ진짜 열번이고봐도 안질릴 영화입니다!!","88","14"
"내 머리속의 지우개","wlgm****","2013.07.05. 21:23","10","첨에볼땐 그저그랬는데 다시보니 왜케 슬픈지...손예진 진짜 예쁘고 정우성 완전 멋있다...저런게 사랑이지...","91","18"
"내 머리속의 지우개","skss****","2014.01.02. 06:12","10","이걸 이제서야 보다니..","78","8"
"내 머리속의 지우개","thwj****","2013.05.04. 23:08","10","이영화 열번도 넘게봤는데 볼때마다 항상 최고였네요. 안보신분들 꼭보세요!","67","7"
