"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"노트북","hydu****","2013.11.09. 02:32","10","그때 영화 노트북을 같이본 애인이 지금은 남편이 되어서 같은집에 같은공간에서 같은곳을 바라보며 다시보는 이느낌...말로 표현할수 없이 가슴이 뜨거워지네요","5,079","327"
"노트북","agsu****","2013.07.11. 20:18","10","노아 같은 놈도 없다","3,582","97"
"노트북","ange****","2013.07.11. 02:30","10","어릴적 봤던 기억으로 다시 보았지만 역시 명작중에 대명작 작품","2,101","116"
"노트북","nola****","2014.04.16. 01:31","5","입장차가 분명한 영화.  약혼남의 입장이였던 사람이라면 너무나 화가나는 영화겠지.","2,199","250"
"노트북","pete****","2013.07.27. 00:21","10","'사랑을 한다면 이렇게' 라고 말해주는 한편의 메세지 같다..  ㅠㅠ","1,726","78"
"노트북","rami****","2013.10.02. 21:43","10","이런 연인을 만난다는건 축복중에 축복이다....","1,493","50"
"노트북","wdh7****","2013.07.03. 02:35","10","아름다운 영화 다시봐도 정말 재밌네요","1,364","77"
"노트북","gree****","2013.06.05. 10:15","10","머릿속에 자꾸생각나는영화   최고다..","1,245","66"
"노트북","shin****","2014.06.27. 21:09","7","감동적으로 보긴했지만 약혼남과 관계를 좀 더 깔끔하게 정리 해줬으면 좋았을거 같다. 둘의 사랑으로 감동 받았다가도 약혼남을 생각하니 감동으로만 볼수는 없을듯...","1,168","68"
"노트북","eble****","2013.07.02. 21:36","10","내 생애 최고의 영화라 자부하는 영화! 너무 연기좋았어요~ 눈물샘도 자극하고~","948","61"
"노트북","yell****","2013.06.30. 00:19","10","왜 이걸 이제서야 봤을까.. 하아.. 마지막 장면과 그 대사의 여운이 너무 짙다.","927","47"
"노트북","suo9****","2013.07.04. 18:57","10","ㅎ ㅏ.. 이렇게 사랑할수있을까?","799","24"
"노트북","mong****","2013.11.09. 02:17","10","사랑은 이렇듯 문득 다가오는건데.. 모든걸 갖추고 사랑을 찾는 사람들.. 조건때문에 머리로 생각하고 사랑하는 사람들.. 나도 순수한 사랑을 할수있다는 안타까움 혹은 그시절에 대한 사무침, 동경이 눈물샘을 자극하는건 아닐까.","804","31"
"노트북","lktk****","2016.01.27. 04:37","10","책임감 없어 보일순있겠지만 난 과정을 보았기 때문에 엘리 선택이 충분히 이해가 가는대 이해 못하겠다는 사람은 30년후 론보다 함께 하고싶은사람 놔두고 책임감때매 약혼자랑 결혼하겠다는거? 다른사람 마음에 두고 결혼하는건 약혼자한테 할짓일까요?","769","54"
"노트북","hwiw****","2014.04.16. 05:41","8","둘은결혼에성공했고,노년까지함께했으며,같은날한침대에서숨을거두었다.해피앤딩이다.그런데왜가슴이아플까..아픔의의미는모르겠고,통증만뚜렷하다..","750","43"
"노트북","oneu****","2014.01.18. 21:12","8","레이첼 맥아덤즈가 이 영화를 살렸다.여주인공의 몸짓, 대사, 표정, 말투가 정말 사랑에 빠진 사람같아보여보는 내내 같이 설레였고, 두 주인공 모두 다 자신의 있는 그대로를 보여준것같은 그런 영화 ^^ 캐스팅만으로도 평점은 8점 이상","643","19"
"노트북","junt****","2013.05.31. 19:10","6","고슬링과 레이첼 조합은 충분히 멋졌다.","658","83"
"노트북","gmlw****","2013.03.16. 21:59","10","아예 폰에 넣어다니면서 대사까지 다외움 아진짜 나한테 있어서는 최고의 영화임","548","40"
"노트북","maru****","2013.07.24. 02:19","9","왜 울었는지는 모르겠지만 무튼 너무 울었네 뭣모르는 꼬맹이들이랑은 관계없이 올만에 감성돋는 영화 본것 같아 좋다","494","38"
"노트북","dkrl****","2013.03.16. 14:18","10","뭘 적어야 하는데..아무 생각이 나지 않아.. 난 좋은 영화를 보면 멍 하는데 지금이 그래.. 멍..","468","28"
"노트북","plmk****","2013.12.20. 17:24","10","마지막에 진짜 눈물이....슬퍼서 나는게 아니라 너무 감동받고 아름다워 눈물이나요..","457","19"
