"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"메멘토","xim1****","2013.07.13. 20:45","10","크리스토퍼 놀란은 천재다","1,406","87"
"메멘토","2034****","2013.07.14. 18:23","10","내용을 이해했다면 재미있었을 것이고, 이해하지 못했다면 지루할 뿐이다...","1,008","122"
"메멘토","tjdt****","2013.07.20. 07:18","9","나만그런거아니죠?처음인셉션후 크리스토퍼놀란영화에 관심이가져서,찾아본결과, 메멘토추천하에 보게됐음, 처음시작하고약10분동안 이거뭐지?뭘말하려는거지?젠장 이해가안돼네?이러다가 마지막10분쯤에, 이야~대박!이리간단한걸 이렇게해석해놓다니,대단하다 ㅋ","935","123"
"메멘토","tang****","2013.05.12. 00:16","9","참신한 전개 구조와 놀란 감독의 천재성이 드러나는 연출력이 물씬 담긴 웰메이드 스릴러.","680","43"
"메멘토","ajik****","2013.08.10. 16:06","9","전개만 보자면 산만하지만, 결국 이야기는 주인공이 그토록 신용하지 않았던 기억의 재구성이 된다.","606","53"
"메멘토","emil****","2013.06.17. 18:26","9","진실은 찾기 어렵고 받아들이긴 더 어렵다. 기억은 그 사이의 합리화다.","573","23"
"메멘토","sist****","2013.06.04. 00:18","10","천재적이다. 처음보는 전개방식이 너무나 흥미로웠음","406","22"
"메멘토","ang5****","2013.06.08. 18:17","9","편집이란 무엇인가의 진수를 보여준 영화. 반전은 더 끔찍하다.","379","11"
"메멘토","keep****","2013.09.29. 21:48","10","크리스토퍼 놀란 감독의 영화 중 단연 최고의 작품이라 봐도 무방.영화의 전개 방식,각본,연출 등 모두 훌륭하다.인간의 기억에 관해 이렇게 풀어낼 수 있다니 놀라울 뿐.","330","26"
"메멘토","chla****","2014.10.12. 05:15","10","보다가 딴거틀지마라 이해못허니께","255","9"
"메멘토","bjh1****","2013.11.26. 01:38","10","기를쓰고 기억하려 했던 앞에 주어진 단서들이 영화 결말을 이해하는 순간 아무것도 아닌게 되더라","250","8"
"메멘토","osea****","2013.08.01. 13:58","8","기억의 순환에 갇혀버린 남자. 기억이 있을 뿐, 사실은 없었다.","224","8"
"메멘토","easy****","2014.05.26. 20:59","8","앞으로도 무수히 반복될 10분짜리 삶의 의미를 위해서, 허무한 진실을 불태워버리는 주인공의 모습과 우리의 모습에는 아무런 차이가 없다. 주인공이 세계를 왜곡한 원인은 기억의 차이도, 정신병에서 비롯된 망상도 아니다. 그것은 인간 본성의 공통이다.","206","11"
"메멘토","hybi****","2013.07.29. 14:04","8","놀란 감독의 메세지도 좋았고, 스토리 전개도 매우 흥미로웠으나 조금 지루하지 않았나 생각해본다. 아님 단지 내가 제대로 이해를 못한건가?","247","85"
"메멘토","7min****","2013.05.16. 23:40","10","내가 놀란을 좋아하는 이유다. 보고나면 거기서 끝이 아니라 항상 또 생각에 잠기게 만든다. 같은 내용을 두고 볼때마다 여러가지 해석이 나온다. 최고다.","160","6"
"메멘토","rc_m****","2015.03.23. 03:42","10","후기 중에 레너드는 정신 이상자. 라는 후기가 맞는 것 같다. 사고를 당한 직후가 마지막 기억이면 도대체 어떻게 자신이 10분 뒤에 기억을 잃는다는 것을 아는 것일까?","158","7"
"메멘토","dnls****","2013.07.19. 00:25","9","생각하고, 다시 생각하고, 또 생각하고","138","7"
"메멘토","hdso****","2013.08.05. 21:14","9","기억은 때론 우리를 배신하고 때론 우리를 구원한다..","129","4"
"메멘토","jjis****","2013.06.29. 22:46","10","다시 봐도 보기 드문 스릴러.. 가이 피어스와 놀란에 박수를","124","8"
"메멘토","rein****","2013.06.16. 22:34","10","내평점 지금까지 네이버 평점높은 영화 안 본게 없었는데 이 영화는 정말 그 중에서도 갑. 2번 이상은 필수로 봐야하는 영화","105","10"
"메멘토","kgh3****","2013.11.28. 19:49","10","인간은 선택적으로 기억할 수밖에 없다는 사실을 극적으로 보여준 영화","95","1"
"메멘토","kjms****","2014.11.26. 04:41","10","데뷔작이라니..믿기지가않는다.최고의영화","88","7"
"메멘토","anwl****","2013.06.17. 18:22","9","이해하기어렵다 ..다시한번 봐야만하게만드네.. 암튼 잘만들어진영화 단순반전영화는 아니다","69","8"
"메멘토","cute****","2013.06.13. 20:10","8","새로운 전개방식이 무척 신선했던 영화","57","3"
"메멘토","ts51****","2013.11.17. 12:33","9","자신을 찾는 10분간의 숨죽임.","50","5"
"메멘토","ksun****","2013.12.12. 03:46","10","역순행으로 느껴지는 주인공의 심정이 있다","44","4"
"메멘토","hyhy****","2014.11.10. 00:41","10","기억을믿지않는 기억손실증환자의 자기합리화","38","0"
"메멘토","gree****","2014.11.26. 01:28","10","시간섞기는 정말 혁신적입니다 ㅎㄷㄷ","37","0"
"메멘토","kang****","2014.01.23. 17:36","10","영화를 보는게 아니다  레너드의 시점의 현실을 보는거다","37","2"
"메멘토","rkz2****","2013.08.11. 06:41","10","한번봐서는안되겠다 두번더봐야지","34","1"
"메멘토","joy9****","2014.12.01. 09:01","10","끊임없이 반복되는 기억의 합리화. 이것은 레니 뿐만 아니라 우리 모두에게도 해당되는 것이다.","30","0"
"메멘토","ymin****","2014.11.21. 00:04","10","영화가 끝나고 극장은 토론장이 되었다.","30","2"
"메멘토","dnjs****","2013.07.25. 01:41","10","해석하기 힘든 영화가 무조건 좋은 영화라고 할순없지만 놀란감독의 영화는 그냥 다른말필요없이 '좋은 영화'다 . 그리고 또한 놀라운 영화","24","1"
"메멘토","ogr5****","2013.10.11. 01:34","9","기억의 단편에 의존했을때 두 눈으로 믿기힘든 영화.","23","1"
"메멘토","leoz****","2018.06.07. 20:22","10","영화의 결말은 초반에 나왔다. 하지만 반전을 만들어냈다.","21","1"
"메멘토","hhji****","2015.06.06. 14:35","8","전반적으로 훌륭한 영화라는 느낌은 들지만,아주 재밋는 영화는 아니라고 느꼇다.","25","5"
"메멘토","fash****","2014.01.10. 12:29","10","다행이다. 천재감독의 천재적 영화를 내가 이해했다는 것이..","27","7"
"메멘토","khgy****","2016.03.29. 14:34","9","이영화는 19세를 해야했다 수위가아니라수준이높아서이다..","21","3"
"메멘토","jjaj****","2014.11.27. 00:56","9","그냥 b급 반전 영화 정도로 만들수 있는 내용을 예술작품으로 만들었다..","21","3"
"메멘토","ajtw****","2013.06.30. 03:30","10","편집이 참...","18","1"
"메멘토","ngup****","2015.05.16. 04:46","10","팩트를 원하는게 아니다. 내가 원하는 방식 내가 보고싶은 기억, 그것이 충족되면 그것이 법이다.","17","2"
"메멘토","jdr4****","2014.02.14. 23:19","10","와나 진심 어떻게 10년도 전에 이런 영화를 만들 수 있는거지? 극장 재상영 했으면 좋겠다","15","1"
"메멘토","juno****","2015.01.09. 22:49","7","내 타입은 아니다. 참신한 전개구조지만 역행적구성이 영화에 몰입하는데 방해를준다. 마지막 5분만 재밌고, 나머지 1시간 45분은 그저 흥미로웠던 정도???","18","4"
"메멘토","3771****","2014.11.23. 00:37","8","초반엔 이게 뭔 내용인가 싶지만 2시간을 버티다보면 결말에서 '아!' 하는 탄성과 함께 정말 뛰어난 영화라는 사실을 알게 된다. 그러나 매 반복되는 과정이 나는 왜 그렇게 지루한지...","19","5"
"메멘토","wjse****","2013.07.29. 15:12","10","소름끼치는는 반전","13","2"
"메멘토","gofl****","2015.08.29. 03:34","10","기억은 조작된다. 무의식적으로 자기가 원하는대로. 짧은 단서들과 함께.","10","0"
