"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"오리우메","miss****","2018.07.26. 03:52","10","감동적이기도 현실적이기도하고 ...진짜 현실에서도 저렇게 아름다울까요...?","3","0"
"오리우메","egyp****","2018.04.09. 18:29","7","있는 그대로 받아들여줘야...살아갈 수가 있다토모에는 치매 증세가 날로 심각해지던 노년기 마사코에게 며느리이자...엄마에 대한 그리움을 떠올리게하는...그리고 때론 친구/자식같은 존재가 아니였을까...란 생각이...","2","0"
"오리우메","yulo****","2016.05.04. 23:57","10","참. 잔잔하고 현실적이네요. 일본영화를 처음부터 끝까지 제대로 본 건 처음이예요","2","0"
"오리우메","kimw****","2011.11.02. 13:10","10","부모님에 대한 생각을 했습니다.","2","0"
"오리우메","dosk****","2011.10.15. 18:34","10","처음으로 평점을 10점 줘보는것 같네요정말 가슴따뜻하고 감동적인 영화였습니다^^","2","0"
"오리우메","yank****","2019.08.13. 13:28","10","좋은영화감사드립니다","1","0"
"오리우메","odjs****","2014.12.21. 21:48","10","정말 감동깊고 재밌는 영화입니다.치매환자들에게 따뜻하게 잘 대해줘야겠다는 것을 깨닫게 해줬어요.","1","0"
"오리우메","hotd****","2011.10.11. 22:43","10","치매에 대한 생각을 다시 일깨워주는영화","1","0"
"오리우메","pigl****","2011.10.07. 15:21","10","엄마라고 할때 ,, 참았던 눈물이 왈칵","1","0"
"오리우메","forn****","2011.10.04. 10:49","9","매화 같이 아름다운 영화","1","0"
"오리우메","ssww****","2011.10.01. 19:14","9","현실적인 치매와 그 가족들을 다룬 영화! 손수건 필수~","1","0"
"오리우메","hanm****","2024.01.28. 11:37","8","212。여성감독 특유의 섬세한 연출이 좋았고, 뭔가 깊게 생각하게 하는 것이 있는 좋은 작품이라고 생각합니다! 그리고, 하라다 미에코 씨와 요시유키 카즈코 씨의 훌륭한 연기도 무척 인상적이었어요! -잇쇼켄메-","0","0"
"오리우메","obed****","2021.10.14. 22:42","10","감동 그자체 입니다·휼륭한 영화감사합니다·","0","0"
"오리우메","ahfo****","2012.12.07. 15:25","9","평점9점이상 준 영화가 없는데..볼만한 영화","0","0"
"오리우메","lami****","2011.10.05. 21:10","8","그들에게는 치매라는 병보다는 뜨거운 가족이라는 심장이 있었습니다","0","0"
"오리우메","kts5****","2011.09.29. 23:01","10","치매에 대한 생각이많이 바뀌는 계기가 되었네요. 나름 좋은시간이였습니다","0","0"
"오리우메","dale****","2011.09.29. 22:53","10","엄마랑 같이 보고 왔어요, 더빙판이라 엄마는 편하게 봤다네요","0","0"
"오리우메","yesi****","2011.09.29. 17:52","8","불행을 행복으로 바꾸는 기적","0","0"
"오리우메","jeej****","2011.09.27. 08:31","10","오...이런영화좋음","0","0"
"오리우메","spik****","2011.09.25. 00:25","8","나는 내게 소중한 사람들에게 소중한 사람인가_꺾인가지에도 다시피는 매화처럼!","0","0"
"오리우메","a277****","2011.09.23. 21:43","10","치매때문에 운동 많이 해야겠네요","0","0"
"오리우메","nevl****","2011.09.23. 18:09","9","당신에게도 있습니까?","0","0"
"오리우메","yj09****","2011.09.23. 15:41","10","엄마랑 같이 봤어요 감동적이에요.","0","0"
"오리우메","amai****","2011.09.23. 12:46","8","가슴찡하고 다시 한번 가족애를 돌아보게한 좋은 영화...","0","0"
"오리우메","eota****","2011.09.23. 09:26","10","치매에 대한 악연한 두려움과 편견이 사라지는 순간을 경험했습니다.","0","0"
"오리우메","spri****","2011.09.22. 16:51","9","가족의사랑이 사람이 평생을 살아가는데 얼마나 중요한지 깨달은 영화였습니다.","0","0"
"오리우메","char****","2011.09.22. 15:27","9","마음이 따뜻해지는 영화입니다. 보고 나서도 가슴에 한참 여운이 남네요.","0","0"
"오리우메","liss****","2011.09.22. 14:20","9","요즘 같은 가을에 딱 맞는 영화.. 오랜만에 따스함을 느낀 작품이에요.","0","0"
