"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"첫키스만 50번째","jack****","2013.07.25. 03:36","10","아름답고 여운이 많이 남음 저렇게 사랑할수 있을까","538","14"
"첫키스만 50번째","vic4****","2013.05.12. 13:25","10","로맨틱 코메디 영화중 당연 최고의 영화.연출 각본 연기 심지어 제목까지 완벽한 영화.한국에서 수입한 외국 영화중에  그 여자 작사 그 남자 작곡과 함께 가장 제목을 잘지은 영화같다.","462","17"
"첫키스만 50번째","phsd****","2013.07.04. 07:17","8","뻔하디 뻔한 결말로 끝날줄알았는데 그게 아니라 좋았음","402","20"
"첫키스만 50번째","llkc****","2014.06.08. 23:34","10","이건 안본사람은잇어도 한번본사람은 없다.","394","43"
"첫키스만 50번째","ldy2****","2018.10.24. 00:08","7","Wouldn’t It Be Nice","322","3"
"첫키스만 50번째","pjwl****","2013.12.10. 18:49","10","기억을 잃었지만  한남자에게 매번 사랑에 빠지다니 아름답도다","285","11"
"첫키스만 50번째","sdad****","2013.08.10. 01:35","10","개봉할 때 부터 보고 싶었는데 이제 봄.벌써 10년이 다 되어가네.","228","15"
"첫키스만 50번째","dudd****","2013.12.24. 17:50","10","정말아름다운영화 진짜보는내내기억을못하는여주가안타까우면서도 그런여주를진심으로사랑해주는남주가너무너무멋있었음 저런남자는현실에없을듯 진짜영화같은스토리 진정한사랑의의미를 깨닫게해주는좋은영화인듯 ^^ 누구나한번쯤보면좋은영화","221","9"
"첫키스만 50번째","cano****","2013.12.07. 11:34","10","그냥  저 들이 행복했으면 좋겠다 라는 생각만  하게되는 영화","174","8"
"첫키스만 50번째","maxa****","2013.08.11. 11:28","10","드류베리모어 매력터진다","164","5"
"첫키스만 50번째","sage****","2013.08.07. 23:23","9","아 즐겁고 즐겁다! 너무 예쁘고ㅠㅠㅠ 아담 샌들러 멋지다ㅠㅠㅠ 아 중간에 반절 뚝잘라서 이제야 본게 후회되네ㅠㅠ 나중에 꼭 다시봐야지","169","15"
"첫키스만 50번째","quar****","2018.05.09. 23:56","10","보기 전에 식스센스를 꼭 봐야되는 영화 ㅋㅋㅋ","117","0"
"첫키스만 50번째","ljon****","2012.12.05. 04:17","10","스토리도 캐스팅도 너무좋습니다 이건진짜 재밌다고 장담합니다 보면진짜 빠져들게됩니다 로맨틱코미디중에서는 세손가락안에든다고 자부합니다","95","3"
"첫키스만 50번째","plas****","2013.01.10. 01:53","10","한시도 지루할 틈이 없었던 영화입니다 볼때마다 뒷부분에서 울컥하게 만드네요 노래선정도 잘했고 연기도 맛깔납니다","89","4"
"첫키스만 50번째","562s****","2014.06.02. 21:40","10","한 장면, 한 장면이 다 남는 영화.","80","4"
"첫키스만 50번째","ych8****","2014.09.09. 22:29","10","태어나서 처음달아보는  평점이고  정말  내인생  최고의 영화다","59","2"
"첫키스만 50번째","mc07****","2013.08.10. 23:34","10","어딘지 모르게  짜안한 영화이네요두 남녀...","59","2"
"첫키스만 50번째","ssp1****","2012.11.03. 16:38","10","너무아름답고 드류베리모어의 매력이 풀풀나오는영화네요","59","2"
