"writer","date","comment"
"웰시코오기","2024.05.16","잘봤습니가 즐겁습니다 ㅎ ㅎ ㅎ"
"gu**mulkin","2023.07.27","전체적으로 내용이 좋았어요"
"so**j0163","2023.06.05","완전 감동적인 영화
다시 보고 싶어요ㅎㅎ.."
"나","2023.03.30","재밌었어요. 최고에요 굿"
"양 조위","2022.08.21","넵ㅎ 쉬세요 쉬세요 오케"
"js**604","2021.01.19","이순재 할아버지 연기 너무 잘하세요. ㅜㅜ"
"he**ung377","2020.11.18","너무 감동적이예요 ㅠㅠ"
"in**3456","2020.02.28","정말 따뜻한 영화였어요"
"ch**rapjy","2019.12.10","엄청슬프고 감동적이었어요"
"moon!!!","2019.10.13","디지털그대를사랑합니디"
"pd**yss","2019.08.18","좋아하는영화입니다좋아하는"
"go**will0311","2019.07.17","감동적인영화입니다."
"자유로운  영혼","2019.06.24","좋아요 참 재미있게 보았네요"
"예미지현우","2019.06.14","치매에 대해서 생각해 보게 뎌는 영화"
"bm**337","2019.05.07","간만에 너무너무 재밌게 봤어요!"
"도로롱","2019.05.01","소소하지만 큰감동이 오는"
"ok**7979","2019.04.02","너무 감동적이였어요~!!"
"와뿡","2019.03.29","감동적이구 여윤이 남는 영화에요"
"극장가쟈","2019.03.10","(디지털) 그대를사랑합니다"
"yi**yingyi49","2019.02.25","감동적이고 마음이 따뜻해지는 영화예요^^"
"외로운핫초코","2019.02.14","재밌는 영화입니다. 추천합니다."
"al**iarhee","2019.02.09","너무 좋았던 영화 배우 모두 최고"
"li**unyan27","2018.12.30","만화 잼있게 봐서 엄청 기대했는데 조금 부족한 부분이 있어요"
"동율무율맘","2018.12.26","감동적으로 잘봤어요~^^"
"adieu~*","2018.11.07","너무 감동적이예요..."
"REEE","2018.10.02","원작도 리메이크도 이정도면 성공적"
"72**oki","2018.08.08","잔잔함이 묻어나는..."
"빵근빵근","2018.07.25","완벽.. 행복에 대해 다시 생각하게 한 영화."
"sj**rj","2018.07.02","꼭봐야하는영화이다추천합니다"
"si**nooni","2018.06.17","강추합니다. 현재와 미래에대한 생을 생각해보게 되네요"
"de**remix","2018.06.01","연기만 봐도 흐뭇했던 있는"
"포도쥬스내놔","2018.03.15","원작의 장점도 잘 살려서 좋다."
"kh**2aa","2018.02.25","가족들이 보기 좋은영화!"
"qu**nyhy","2018.02.03","이거 너무 감동적이예요
웹툰과는 또 다른 매력"
"sumin0619","2018.01.04","연극으로 봤는데 잼있습니다."
"ql**sl0048","2017.11.04","엄청 슬프고 지금 다시 봐도 슬픈 영화 매력넘치는 영화"
"쿵","2017.09.28","잊을수없이 마음이 따뜻해지는 영화예요"
"혜련님","2017.09.23","강풀님은 천재다. 이거 웹툰으로 보고 한번 울고, 엄마 보여주려고 책으로 사서 먼저 보고 또 울고, 이제 안울겠지 했는데 마지막으로 영화 보고 또 울었다. 부모님과 같이 보면 좋은 영화, 눈물콧물 쏙빼고 싶을때 두번보세요~"
"펭체이탈","2017.08.18","너무 슬프지만 좋은 영화입니다....."
"란까까","2017.08.16","할머니 생신선물로 온가족이울면서 본영화"
"꼬꼬마사모님","2017.04.05","아 너무 슬퍼 넘 잼나써용"
"미녕몬","2017.01.29","너뮤 슬픔.  ㅜㅡㅜㅜㅜ"
"리틀-데몬","2017.01.14","너무 울어서 ...
부모님의 소중함을 다시 느끼게 해 주는 영화"
"대박황","2016.11.23","우리나라 현실을 직시하는 영화였습니다"
"13함대 사령관","2016.11.07","가슴찡한 감동..노배우들 연기는 연기의 교본이다"
"60**on","2016.10.05","만화너무좋아서봤네용 슬픔ㅜㅜ"
"령화인","2016.09.22","웹툰원작중 그나마 나은"
"ww**ve12","2016.08.27","진짜 감동 넘치는 영화..!!"
"ze**2580","2016.08.24","강풀 만화 원작영화도 충분히 좋을 수 있다"
"ji**1219","2016.08.17","나이가 들어도 사랑이라는 단어는 변치 않는 것 같네요"
"piaoliangde","2016.08.05","좋은영화. 눈가가 촉촉해짐..."
"벼리1004","2016.07.20","감동도있고재미도있고지루하지않고잼있네요"
"극장귀신","2016.05.28","웹툰도 슬프고.... 영화도...감동.."
"상큼샘물","2016.04.02","노년의 로맨스도 예쁘다"
"Chloe_sshim","2016.03.29","강풀 원작을 나름 잘 살린!! 어르신들의 감동적인 러브스토리"
"야옹아멍멍해47","2016.03.23","아....슬퍼요~ㅠㅠ"
"별라짱","2016.03.21","원작보단 못했지만 그래도 슬퍼서 울었음 ㅠㅠ"
"dd**g1188gud","2016.03.18","원작의 구현도 좋고, 배우들의 열연이나 몰입도 마음에 듭니다. 물론 특별히 뛰어나다고 말하긴 힘들지만, 꽤 잘만들었다 정도는 되겠네요."
"제야아","2016.03.14","감동적이고 재밌어요`"
"안은똥","2016.03.13","나이가 든다는것은.."
"황소히메","2016.03.12","잘보았습니다 영화계의 발전을 기원합니다."
"하나선물","2016.03.06","사랑이 새록새록 돋아나고 솟아나는 멋진 영화입니다"
"아류미이잉","2016.03.05","책으로도 보면서 울엇는데 너무 잼씀"
"lovingyou","2016.03.05","웹툰에 이어 영화까지.. 감동 그 자체~ 눈물 한 바가지 쏟고 나왔다는..ㅜㅜ"
"khy87","2016.03.02","너무재미있게봤어요♡"
"은애요","2016.03.02","웹툰보다 별로인 영화가 많은데 이 영화도 좋고 웹툰도 좋았습니다.
다들 연기도 잘하시고 감동적임"
