username,date,rating,review,likes,dislikes
ycg2****,2017.09.06. 10:44,10,진짜 설경구 연기는 말할것도 없고 김남길 눈빛이 다했다....,"3,660",639
drea****,2017.09.06. 13:33,10,최근 한국 스릴러 중에서 제일 돋보입니다. 원작이 영화화하기엔 너무 문학적이라 어려웠을텐데 이정도면 만족. 미장센이 눈부신 장면들이 있어요. 어둡기만 한게 아니고 유머도 터지고 설경구가 연기를 미친듯이 잘합니다. 설현도 기대이상이고 김남길 섹시해요.,"2,945",552
jong****,2017.09.06. 11:26,10,"설경구, 김남길 연기대결... 시원해지는 날씨에 어울리는 스릴러입니다! 설현 연기도 좋았구요. 아이돌 겹쳐보이거나 하지 않았습니다.","1,590",369
blue****,2017.09.06. 10:34,10,"원작소설 너무 좋아해서 기대했는데 그 이상 ㄷㄷ 연기와 스토리 모두 좋은 한국영화는 간만인듯  대박날것같다,,","1,292",383
haha****,2017.09.06. 10:50,10,올해 본 스릴러 중 최고!! 끝까지 숨죽였어요. 설현도  이번 영화로 배우로서 성장한 게 보이네요!,"1,085",321
barh****,2017.09.06. 10:31,10,"와 진짜 너무너무 재밌었어요 설경구, 김남길은 뭐 말할 것도 없고 설현이 의외였네요.. 주말에도 예매해놨어요","1,003",302
ko_m****,2017.09.06. 10:43,10,배우들의 엄청난 연기에 몰입도 최강 특히 설경구 연기는 진짜 미쳤다고 생각했다 유머도 있고 올해 본 영화 중 제일 돈 아깝지 않았다,829,193
hoho****,2017.09.06. 11:56,10,"설경구의 미친 연기덕에 영화 보는 내내 지루하지가 않음. 예상외로 배역에 잘녹아든 설현의 자연스러운 연기력도 아주 좋아서 몰입감이 배가 된다. 특히, 갓경구와 더불어 김남길의 연기까지 만족스럽다.  조여오는 서늘함에 대비해 꼭 겉옷 챙겨가세요!!",793,205
chio****,2017.09.06. 10:45,10,"설경구, 김남일 연기력 소름....  소설로 상상했던 그 이상!!",721,200
boba****,2017.09.06. 14:35,10,분명 포스터에 설경구 이름 적힌 거 보고 들어 갔는데 영화에 설경구는 없고 병수만 존재했다. 오래도록 봐온 배우가 완전히 새롭고 낯설게 다가 오는 경험. 오아시스 홍종두를 처음 만났을 때 처럼 짜릿했다.,611,102
rkdg****,2017.09.06. 11:05,8,설경구의 연기 기억법...그간의 정체되었단 평가를받던 그의 연기를 관객들에게 다시한번 왜설경구가 탑 클래스 배우인지 각인시켜 주는영화,520,114
skyr****,2017.09.06. 12:22,9,원작은 모르겠고 돈값했다,504,121
wldn****,2017.09.06. 14:51,10,허임과 태주라니 역시 김남길,419,76
pino****,2017.09.06. 10:30,10,갓경구 연기 진짜 레알임.. 내내 몰입하면서 봄 ㄷㄷ,391,102
rlaw****,2017.09.06. 13:13,10,설경구의 연기력은 말할 것도 없었고 김남길의 눈빛 연기도 인상 깊었다. 영화의 몰입감도 대단했는데 2시간이 순식간에 지나갔다.,351,80
ssg8****,2017.09.06. 10:30,10,"연출력, 배우들의 연기, 스토리 뭐 하나 빠지는 것 없이 완벽했다 소릅소름! 강추합니다!",374,116
nong****,2017.09.06. 14:41,10,민태주가 살아있다.. 병수형님 살인자의기억법2 기대해봅니다..,378,127
rlat****,2017.09.06. 20:26,10,오랜만에 되게 재밌는 영화 나왔음~!!ㅋㅋㅋ 김남길 힘뺀연기 빈틈 없더라 무뢰한에서부터 잘 닦아온듯!! 설경구 연기두 너무 좋았고.. 설경구아니면 누가했을까 싶음 두사람다 자주 보고싶어요 하트,267,47
aaaa****,2017.09.06. 10:38,10,설경구는 말할것도없고 설현 연기도 기대이상이었다 결말을 소설원작과 다르게한게 신의한수인듯,354,135
park****,2017.09.06. 13:36,10,원작을 엄청 재밌게 봐서 기대가 많았는데... 진짜 기대 이상! 정말 좋았음. 제대로 된 스릴러가 궁금하다면 이 영화를 꼭 봐야 함.,224,72
lixi****,2017.09.06. 13:22,10,진짜 몰입감 대박... 올해 본 스릴러 영화 중에 갑이었음! 설경구 연기 때문에 한 번 더 봐야겠다,207,63
komo****,2017.09.06. 14:19,9,원작소설 안읽고 봤는데 재밌었음! 연기를 너무 잘해서 몰입해서 봤네요,200,59
angr****,2017.09.07. 14:57,10,설경구 연기 무서운데 눈물남.. 본 사람은 알듯. 시간 가는 줄 모르고 봤다.,164,32
podo****,2017.09.06. 12:46,10,역시 대단한 배우들이다. 끝까지 긴장감을 놓지 못하게  한다.,173,48
yuna****,2017.09.06. 13:11,10,설경구 연기 진짜 대박!,189,68
nice****,2017.09.06. 10:56,10,설경구 진짜 미친 연기력ㅠㅠㅠㅠ소설이랑 다른 느낌으로 존잼이었음,181,67
prop****,2017.09.06. 11:59,10,기대 만큼 재밌었음. 그리고 설경구 영화 시상식에서 볼 수 있을듯,178,67
gbml****,2017.09.06. 13:03,10,기대 많이 했는데 기대 이상입니다.소설도 영화도 둘 다 굿입니다.^^,158,48
love****,2017.09.06. 11:51,10,설경구 배우는 매번 연기력 갱신하는 듯. 이번 연기 진짜 대박이다,159,54
sug4****,2017.09.08. 10:30,10,설경구 연기는 미쳤다 김남길 연기도 미쳤다 설현도 제 몫 다 했다,115,21
smar****,2017.09.06. 11:26,10,설경구의 연기는 미쳤다. 진심 최고!,144,51
eogu****,2018.09.28. 00:29,10,김남길 너무 좋습니다.,100,13
oh_f****,2017.09.06. 12:40,10,책으로 재밌게봐서 영화 개봉하기만을 기다렸는데 기다린 보람이 있네요! 설경구 배우 연기력이 숨막힐 정도... 재밌게 봤습니다!!,133,52
kkkk****,2018.05.30. 22:54,10,설경구 연기 진짜 대박이다.,87,8
swee****,2017.09.06. 11:27,10,소설과는 확실히 다른 매력! 오랜만에 긴장감 있고 재밌게 봤네요~,123,45
imra****,2017.09.07. 10:31,10,설경구 연기 무서우리만치 잘하는 듯... 김남길도 좋고 심지어 우려했던 설현도 연기 나쁘지 않았어요 원작의 스토리 연출 캐스팅 삼박자가 잘 맞아 떨어져 볼만한 스릴러인 듯,101,26
taey****,2017.09.07. 12:27,10,알츠하이머는 진짜 생활이 스릴러구나라고 느꼈고..  결말이 주는 혼동은 김병수가 17년동안 매일 느꼈을 혼동을 잠시 준거 아닐까...ㅜㅜ,79,11
hiro****,2017.09.07. 02:49,5,메멘토 박하사탕 테이큰,120,59
dksd****,2017.09.06. 20:27,10,마지막에 정말정말 소름 진짜 영화 완전 재밌음,83,25
