"writer","date","comment"
"yi**21","2024.02.11","대한민국 국민이라면 꼭 보아야할 영화입니다
올바른 진실의역사를 알고건국대통령 이승만의 애국심에 경의와 존경심을 갖게되었습니다"
"Helen.K","2023.12.20","연로배우 노장들의 푹 고아진 뚝심연기
명불허전 윤여정 선생님"
"jc**526","2023.11.14","최고의 배우 최고의 연기"
"니 차두 기아","2023.09.17","치매 치료 연구는 계속되어야 한다."
"sima13579","2023.06.08","장수가 행복이 될 수 있도록..

어른이 존중받을 수 있도록.."
"아샷츄","2023.05.29","슬퍼요 연기들 다잘해서요"
"구르미사이달빛","2023.04.14","출연진부터 연기 스토리까지 말해뭐해"
"sa**z00","2022.08.16","좋은 관람이 되었습니다."
"lo**maner04","2021.09.07","영화 감동적이었어요
노배우들의 연기 좋았네요"
"wj**kehapwn","2020.04.01","감동적으로관람했어요"
"redginseng","2020.02.20","존나재미없었음..망하는덴이유가있음"
"푸바오는CGV영화시청중","2020.02.16","후반에 감동적이였어요"
"ks**622","2020.02.03","정말 재미나고 웃을수 있었네요"
"vm**scm2083","2019.12.31","딱히 기억에 남는 그런건 없어요... ㅠ"
"꿀맛나","2019.12.02","ㅠ 슬퍼유..  하지만 볼만해어용"
"dl**gndl","2019.10.05","굿! 슬펐습니다 오래됐지만 기억남네요"
"김상하스","2019.10.04","너무 예전에 봐서 기억이 잘 안나지만 좋았던것 같아요"
"나마리","2019.10.02","정말 좋은 영화였어요~"
"lo**olic1","2019.09.21","재밌게 잘봤어요~~^^"
"du**541","2019.09.17","이 영화는 너무 재미있고 유익하다."
"ko**suni76","2019.09.03","아 눈물왕창 흘린 영화 사랑합니다"
"pr**tyoung20","2019.08.15","장수상회윤여정최고오오옹"
"j2**hinhwa","2019.08.14","스토리상 반전도 굿
근데 감독이 강제규인게 가장 큰 반전"
"모기백사백사","2019.08.12","웃겨요.엄청 웃었어요"
"ch**stmasae","2019.08.03","감동적이었어요 좋아하는 배우가 출연한거라 재밌게봤습니다"
"자유로운  영혼","2019.06.24","좋아요 참 재미있게 보았네요"
"dulcinea♥","2019.06.22","영화의 반전 때문에 엄청 울면서 봤네요. 부모님께 더 잘해야겠다는 다짐을 새긴 영화였어요ㅠ"
"xhrl456789","2019.05.07","영화 따뜻하고 좋았어요"
"dk**a2726","2019.02.15","가족애,,정말따뜻했던 영화.."
"wj**ls742","2019.01.24","마지막에 슬퍼서 울었던 기억이.."
"so**0934","2019.01.11","감동적입니다. 반전이 있는영화"
"쟈몽쥬","2018.12.12","Good!!!!!!!"
"bo**527","2018.11.10","보면서 마음이 정말 따뜻해지고 나는 어떻게 늙어야할지 생각도 해보게된 영화"
"EXO - L","2018.11.01","너무재밌었고 감동적입니다ㅠㅠ!"
"예지","2018.10.31","기분도 안좋고 감동적인 영화보고 울고 나와야겠다 싶었는데 역시나 펑펑 울고 나왔습니다"
"겐시로","2018.10.21","장수상회(한류스타★영화기획전) 감동적임"
"sd**414","2018.08.21","영화 재미있게 봤습니다"
"사랑스런 아이","2018.08.19","생각을 하게 만든 영화입니다"
"gk**ahxh","2018.08.16","좋았습니다~~~~~~~~"
"진달래임","2018.08.08","침해를 다룬영화 가족 사랑 우리는 무엇을 잊고사는걸까요?"
"baekhyunee0506","2018.08.06","인생과 사랑을 돌아보게 만드는 영화,,,"
"딴니","2018.07.17","잔잔한 그렇지만 먹먹하면서도 울림이 큰 사랑이야기"
"나정집","2018.07.05","신바람 파이팅  재밌었어오"
"쏘잉~♡","2018.06.21","좋아용 좋아용 좋아용 좋앙"
"주희동현","2018.05.27","재미있게 잘봤습니다."
"Doriangray322","2018.05.21","눈물빼는 효도영화네요"
"기록용","2018.04.15","2.5/5
감동도 있고 전체적으론 잘 봤지만
강제로 정보를 줬다뺐다함.
간보다 몰아붙이는거같아 불편했음."
"jennyouth","2018.03.15","그냥그런 따수운 가족영화"
"js**ang7777","2018.03.05","우리도 모르는 배려가 어디든 있을 수 있다는 것."
"정센터장","2018.01.30","슬펐어요 ㅠ
해도 후회 안해도 후회라지만
결혼!  꼭 해야겠다는 생각 들었네요"
"쪼돌이","2018.01.15","가족의 애잔함이 느껴졌어요"
"re**nn71","2017.09.15","고령화시대에 부모님도 공감할수있는 영화 가끔 나오면 좋겠네요^^"
"광영이남편","2017.09.06","ㅠㅠㅜㅠㅠㅜㅠ폭풍눈물"
"하영이다","2017.08.15","현실을 생각하면서 봤는데, 재밌기도 하면서 슬펐어요ㅠㅠ 우리엄마아빠 할머니할아버지 생각하다가 울었어요ㅜㅜ 다시봐도 울거같아요ㅜㅜㅜ"
"달탄양","2017.07.12","가슴찡하네요 가족애가 느껴지는 영화"
"시빌리","2017.07.02","연기 최고! 결말을 알고 갔지만 그래도 먹먹해지네요."
"lu**ryfish1","2017.06.12","나이드신분과 보면 좋을영화 감동이어요"
"zh**lgns","2017.05.22","부모님이 생각나는 영화"
"kh**41004","2017.05.06","가족의 따뜻함과 소중함을 다시 한번 생각하게 하는 영화"
"he**ted1","2017.05.06","해결하지 못할 고민거리"
"no사나no라이프","2017.04.06","몸이 아픈것중 가장 슬픈 아픔은 기억을 잃는 아픔인것 같네"
"du**673","2017.02.28","아이고 ㅠㅠ 할아부지 ㅠㅠ"
"mj**21795","2017.02.17","가슴이 따듯해지는 영화"
"앙꼬여왕","2017.02.16","어떤 스토리로 이어질지  반전이 일어나는
부분을 쉽게 알수있었지만
감동이 잘 전달되는 영화"
