username,date,rating,review,likes,dislikes
belm****,2017.11.16. 22:41,7,그때의 손예진 그때의 정우성,359,18
babo****,2018.04.30. 22:32,10,미친듯이 울고왔다...,249,13
game****,2017.11.09. 08:30,10,내인생 가장 슬픈데 재미있고 영상미에 음악까지 절묘한 최고의 영화....,218,14
blue****,2017.11.12. 12:35,9,스토리는 뻔하지만 정우성과 손예진 연기가 너무 아름다웠던,224,25
dd97****,2017.11.08. 19:15,10,사랑하는 사람에 대한 기억을 잊어가는 슬픈 상황속에서도 그걸 받아들이고 극복하려는 주인공들의 모습이 감동입니다,138,6
gog3****,2017.11.13. 17:10,10,눈물샘 완전 자극..하는 최고의 영화,126,3
eunj****,2017.11.09. 10:22,10,봐도봐도 좋고 눈물나는 영화 티비로만 보다 영화관에서 볼수 있어서 의미있었다,104,6
youn****,2017.11.07. 23:47,8,갓예진ㅠㅠ울때마다 맴찢ㅜㅜㅜㅜ,107,9
kym6****,2017.11.26. 19:08,10,극장에서 기획전으로 상영하였는데 다시봐도 눈물바다되네요,90,9
seoj****,2017.11.03. 03:17,8,별 생각안하고 오랜만에 다시본 작품 눈물콧물...ㅠㅠ,51,1
adia****,2017.11.19. 17:32,8,정우성 너무 깡패같던데.... 맞는 사람 너무 불쌍해요 ㅜㅠ,25,202
