"writer","date","comment"
"무비망고","2024.04.11","참 슬프다. 그 슬픔에 섬뜩함이 비춰 보인다."
"enamorada02","2023.07.20","알츠하이머는 잔인하고 잔인하다..."
"he**e94","2022.12.25","안소니홉킨스의 연기는 대단했어요
추천합니다"
"롱패딩턴","2022.05.19","편집의 미학 그리고 안소니 홉킨스"
"re**67","2022.05.06","보다 개꿀잠 잠 ㅎㅎ 불면증 있었는데 그거의 처방전"
"에이펄","2022.01.15","아빠.
아빠가 보고싶다.
늘 그자리에 계실줄로만 알았던 아빠라는 존재."
"po**1490","2022.01.12","치매에 대한 영화적 체험 그 자체"
"코난과 김전일","2022.01.01","대단하다! 멋지다! 슬프다"
"fo**k2","2021.10.26","나름 잼있는 줄거리  영상입니다"
"11**eunjung","2021.09.14","영화가 아니라 체험기. 무섭다. 시간이."
"오예(ye),","2021.09.02","올해 최고작! 강추합니다"
"Prest2ge","2021.08.21","주제에 대해 흥미로운 연출로 인상깊게 관람함"
"LYN061","2021.08.19","정말 좋았습니다 특히 연기가 너무 인상적이었어요"
"eb**58","2021.08.10","관에서 보고 vod 풀릴 때 바로 샀다. 혼자 보는 걸 추천합니다."
"hanaka","2021.08.03","내 의식도 점점 흐려지는군"
"hs**ng888","2021.08.02","나름 집중해서 보게되는
관점에 따라 달라지는 반전이 키포인트예요"
"SooHan:)","2021.08.01","어지러울만큼 나를 그곳으로. 너무 뛰어나서 힘들어."
"에드가라이트","2021.07.28","나를 믿지 못하는것조차 잊어버리게 될 때"
"펭수 좋아","2021.07.25","안소니 홉킨스의 연기는 언제나 압권입니다"
"dl**sals900","2021.07.22","배우들 연기력이 훌륭합니다"
"ye**mdam4738","2021.07.19","공포영화보다 더 공포스러운 영화… 현실에서도 있을법한 스토리와 몰입감있는 연기, 무엇보다도 관람객의 시선이 캐릭터에 따라 계속바뀌는 연출이 좋았어요"
"빼리뽐","2021.07.14","음악과 효과음을 잘 쓴 영화"
"owntime","2021.07.08","혼란스러웠어요
치매는 주위사람들을 
혼란에 빠지게 하는건가하는"
"ke**a88","2021.07.05","치매의 무서움을 새삼 알게 된 영화"
"go**74","2021.07.04","뒤섞인 기억으로 복잡하긴 했으나 공감가는 이야기네요"
"seojune_0402","2021.07.03","순간 순간이 치매일까 아닐까 생각하게한 영화"
"J’ 포르투나??~*","2021.06.26","연기로 말하는 배우~ 양들의 침묵을 방불케하는 안소니 홉킨스 ~** 최고 입니다*~!"
"0602","2021.06.24","좋았어요 더할수없이 휼룡한영화입니다"
"♥세렌디피티♥","2021.06.20","배우들의 리얼한 명연기~~~"
"SoulGain","2021.06.20","사회에서, 가족에서, 집에서 밀려나 이윽고 자신에게마저 밀려나다."
"이응범","2021.06.10","아.. 우리가 관심없던 노인들의 이야기는 젊은이들의 이야기다"
"호이팅","2021.06.07","가족영화로 보기 좋아요 ㅎㅎ"
"Joshuakkkk","2021.06.06","잼있네요 몰입해서봤어요"
"sh**won0420","2021.06.03","안소니 홉킨스 연기만으로도 이미 10점짜리 영화인데 연출과 스토리가 기가 막힌다. 보다보면 안소니에게 완전히 몰입하게 되어 마지막 장면에서 같이 울음을 터뜨리게 되는 훌륭한 영화."
"ke**s80","2021.06.03","간접 체험하는 듯한 명배우의 연기가 압권"
"수배긴스","2021.06.01","그 어떤 공포영화보다 공포스러웠다.
영화보는동안 내가 직접 치매환자가 되는 경험"
