"writer","date","comment"
"sw**low606","2018.12.06","역시 슬프고 아름다운 영화"
"wo**dqk123","2018.06.12","예전에 본건데 또 보고싶네요"
"5신비","2018.01.03","세상에서 가장 아름다운 이별"
"SF","2016.07.05","엄마 컴퓨터 언제 가르쳐 줄거야? 나중에... 나중에 언제? 엄마 죽고 난 다음에? 에이... 엄마 안죽어..."
"af**5829","2016.03.30","기쁘고도 슬픈 영화였다^^"
"cr**y1247","2016.03.06","어.....기억이 안나"
"뽀삐뽀삐뽀삐뽀","2016.03.02","계속움....3번은 다시봤던영화"
"홍쟤","2016.02.26","세상에서 가장 시리즈중에선 별로였던듯 싶다."
"ke**312","2016.02.21","가족에 대해... 삶과 죽음에 대해 다시 한번 고민하게 만드는 영화~"
"AnHyoSun","2016.02.20","엄청 슬프게봤어요~ 제가 봤다 영화중에 제일 슬픈영화 였습니다."
"jomy","2016.02.19","책만큼은 아니지만 좋네요"
"무비홍","2016.02.19","이영화는제가본것중최고입니다 몇번을다시보고 추천했던최고의영화"
"pb**342","2014.12.25","정말 우리의 일상을 보여주는 영화"
"감기약","2014.12.09","괜찮은 그리고 볼만했어"
"91**swjd","2014.09.11","슬펐구 아름다웠숩니다."
"쏭지♡♡","2014.08.22","내가 슬픈영화들을 좋아했구나?"
"me**y0723","2014.08.16","울며 봤는데. .기억이"
"눈빛","2014.08.13","너무 슬펐어요. 남일 같지 않다라는.. ㅡㅠ"
"kk**lus","2014.08.11","가장 슬프게 본 영화네요"
"ho**es09","2014.08.11","진짜슬퍼서 펑펑 ㅠㅠ 가족의소중함!!"
"yu**ung8335","2014.08.09","""세상에서가장아름다운이별""
영화제목그대로~~아름다운이별^^"
"쩐누","2014.07.28","슬프다 가족한테 잘하자"
"kh**orguard","2014.07.24","역시 원작 소설이 있는 경우는, 소설의 감동을 넘기가 조금 힘든 듯 하다."
"진cine","2014.07.11","엄마 사랑해요, 그 진부한 한마디가 가슴을 짓누른다"
"yolo","2014.06.26","눈물 콧물 주체할수없었던"
"qazx414","2014.06.20","세상에서 가장 아름답다"
"be**ty87522","2014.05.25","너무 너무 좋았던 영화.. 끝난뒤 생각하게하는 영화를 좋아해서인지 만점을 안줄수가 없네요."
"혜우","2014.05.04","가족의 의미를 다시 생각해 보게 하는 영화 감동스런~!"
"na**le1225","2014.03.29","새삼느끼는 엄마의 자리"
"sa**iagarden","2014.03.21","알던 스토리였지만 너무나 감동적이었다. 연기도 대사도 모두 훌륭했다."
"ha**m92","2014.03.17","원작에 충실한 영화. 민규동 감독의 따뜻한 연출이 맘에 듭니다~"
"be**ty0406","2014.03.16","이별은 슬프지만 아름답게 받아들여야"
"아쓰라깃","2014.03.16","뻔하지만가슴아픈영화"
"Kangu","2013.10.19","쓸펴요..잼나게 잘 봤습니다"
"fe**jw","2013.07.22","자세히 보아야 아름답다
오래 보아야 사랑스럽다
너도 그렇다"
"hw**gmiseon","2013.01.22","가족이 생각나는 영화.."
"da**321","2011.10.24","그래도 이정도면 볼 만한듯. 연기 잘하는 배우들이 많이 나오니까요."
