"writer","date","comment"
"jo**ojae724","2024.05.14","펑펑 울었던 영화...휴지챙겨가세요...💧"
"yb**m02226","2024.04.09","보고 정말 많이 울었습니다 애인이랑 가서 보기엔 적합하진 않은데 혼자 울고 싶을 때 보면 딱이에요 좋았습니다"
"sy**02","2023.12.24","너무 감동적이다.. 제목의 의미를 마지막에 되새길 수 있음"
"딘 자린","2023.08.10","처리 중 에러가 발생하였습니다"
"er**3006","2023.06.30","서현진 배우의 연기가 대박이네요ㅠㅜ울컥했습니다.."
"냐냐냥구리","2022.11.17","졸렸음 보다가... 아쉬워요"
"영화보는헷뜨","2022.11.01","서현진 배우의 연기력 정말 최고"
"dd**927","2022.10.30","재미있게 잘 봤어요 배우들 연기 잘 하네요"
"mi**prin02","2022.10.30","재미있게 잘 봤어요 배우들 연기 잘 하네요"
"훈이♥","2022.09.27","부녀지간의 애틋함에 눈물이..."
"eu**ull","2022.09.17","완전 완전 재미있었어요 !"
"하이딸","2022.09.16","아쉬운 부분도 다소 있었지만 대체적으로 잘봤어요"
"gg**ong","2022.09.13","너무 감동적인 스토리
성인이 된 딸로서 아빠와의 관계를 다시금 돌아보게하는 영화
그런데 영화 소개 프로그램에서 스토리를 너무 많이 보여줘서 오히려 아쉬웠어요"
"c1**309","2022.09.11","서현진 안성기 배우님 너무 좋았어요"
"북치는 토끼","2022.08.29","연기는 좋았는데 슬펐습니다
영화로도 실제로도 어디서든 보고싶지 않네요
너무 잔인한 병이예요…ㅠㅠ"
"호랑이","2022.08.25","이제 배우 서현진한테 한계란 없는 듯. 무한한 가능성만 있을 뿐~ 그녀의 미래가 기대된다. 차 안에서 울던 그 장면.. 잊지 못할 거예요. 있을 때 잘해야 된다는 깨달음... 건강이 최고라는 깨달음... 일상의 소중함을 안겨주는 감동적인 영화였네요. 귀여운 주예림 배우의 미래도 응원할게요~ ^^"
"grace81","2022.08.21","집근처 자주 영화 관람해요."
"mg**love","2022.08.19","서현진 연기에 푹 빠졌어요   재미있습니다"
"bo**ekoh","2022.08.08","예상되는 전개이긴하나 좋았어요~"
"34**an","2022.08.04","감동적인 작품이었습니다"
"di**le0625","2022.08.04","연기 너무 잘해서 몰입이 잘 됐어요"
"Tequila sunrise1988","2022.07.24","서현진님 연기ㅠㅠ너무 현실적이고 힘든 이야기를 담은 영화,현실은 더 하겠죠?"
"신비","2022.07.23","서현진의 절절한 연기가 인상깊었던. 근데 진짜 남의 아픔을 이용해서 어떻게든 해보려는 남자배우 너무 현실적이라서 소름돋았네요 ㅡㅡ"
"Kindo","2022.07.23","나는 존재하나 나를 존재하지 않게 한다."
"또로롱아이A","2022.07.22","안성기배우님
서현진배우님
카시오페아♡"
"ha**somin","2022.07.19","<카시오페아> 잘 봤습니다."
"lo**lus","2022.07.19","주변에서 겪어보지 못한 일이긴 하지만, 뭔가 현실적인 느낌이 들었습니다. 답답하기도 하고, 몰입해서 잘 보았습니다."
"ig**om","2022.07.18","생각보다 좋았어요!♡서현진 배우님"
"Luna J. H","2022.07.17","가족까지 기억에서 사라지는 슬픈 알츠하이머…😭"
"UhleeHan","2022.07.13","생각하게 만드는 영화
우리 사회에 던지는 이야기"
"영화ok!!","2022.07.13","정말 최고네요~~ 잘 봤습니다"
"g8**koo","2022.07.13","많이 생각하게되는 영화."
"gr**ejin16","2022.07.10","위로받았어요. 최고
거기에 믿고 보는 배우들의 연기력까지"
"미소와함께","2022.07.10","한집안에 한사람만 아퍼도 지옥 같아요"
"투스타","2022.07.09","마음이 아팠다. 잊어버리는 것이 얼마나 가슴 아픈지. 지켜야하는 사람. 지키고 싶은 사람. 지켜져야만 하는 사람. 사랑과 배려, 인내가 필요하다."
"디킨스79","2022.07.09","서현진배우에 정말 박수를 보낸다. 아무도 못하는 연기를 제대로 소화를 해낸 배우이기에... 정말 보면서 많이 운 영화였다."
"달그림자바다","2022.07.09","안드로메다
푸른하늘 은하수"
"ak**e1","2022.07.08","배우님들 연기가 너무 좋았음"
"나른한새봄","2022.07.07","서현진 배우 연기 좋았어요"
"라땨뜌이","2022.07.06","..참 애매했네요ㅠㅠ"
"ss_film","2022.07.02","연기 너무 좋아요!!! 영화 잘 봤습니다!!"
"gm**73","2022.07.02","가족애를 다룬 애뜻한 영화"
"키도리","2022.07.01","비오는날 눈물을 흘린다
기억이 나지 않을때는 습관으로 
알츠하이머라는 병이 이렇게 힘든 병인지
알게 되었고 나이에 맞지않게 누구나 걸릴수 있다는것에
주의가 필요하다
배우님들의 연기속에 눈물을 흘렸고 그 밖에 눈시울이 가득해졌다"
"mi**le9728","2022.06.29","카시오페아 서현진이 연기를 잘하네요 몰입감이있네요
잘봤습니다"
"jc**136","2022.06.29","재미있어요 또 보고 싶습니다"
"jj**0302","2022.06.29","재미있게 관람하였습니다 ."
"hd**21","2022.06.28","좋은작품 좋게 봤어요."
"movie_duck","2022.06.27","뻔한이야기 뻔한슬픔인데 좋았다...
오해영 연기잘한다"
"ggongdublue","2022.06.26","서현진 배우 연기 훌륭했습니다. 알츠하이머에 대해 다시 생각하게 되었습니다."
"DAEINBAE","2022.06.26","볼만한 영화~ 연기력 다시 보았음"
"한노란","2022.06.26","관람평 너무 늦게남겻..ㅋ 주위에 스토리 설명해주면서 또 눈물흘렷네여 
현실적인 슬픔 감동 
너무 젛게 본 영화 추천각입니다"
"vi**yjun72","2022.06.25","서현진의 연기
너무 좋습니다
볼만합니다!!"
"ha**m20325","2022.06.25","서현진배우님의 명품연기가 돋보이는 영화예요 스토리도 좋고 여러모로 위로도 받은 영화였어요"
"star-jisoo","2022.06.24","아 먹먹합니다 ㅠㅠ 배우들 연기 너무 좋았어요"
"ag**n1617","2022.06.24","굿 너무좋아요 추천합니다 ㅎㅎ"
"ah**2102","2022.06.23","알츠아이머 환자는 젊은 사람에게 올수있다는걸
알았네요"
"가가메롱","2022.06.23","경험하고 싶지 않은 경험을 간접경험하게 해주는 배우들의 뛰어난 연기력"
