username,date,rating,review,likes,dislikes
alaw****,2014.02.20. 21:50,9,보통은 영화끝날때쯤 오줌마려워서 빨리 화장실 가는데..이 영화는 엔딩크래팃까지 보다가 나왔네요. 화면이 따듯한 영화.,21,2
moro****,2014.02.20. 16:36,10,코엑스에서 보고왔어요.. 나도 저렇게 와이프 사랑하면서 늙어야지..감동감동 정말 따뜻한 영화네요~!  잘 봤습니다.,15,1
cyxl****,2014.02.21. 16:07,9,결혼할 사람 혹은 배우자와 함께보면 좋을 영화,11,0
ddal****,2014.08.16. 01:40,8,세월의 흐름 앞에서도 저렇게 사랑할 수만 있다면... 따뜻한 영화.,10,0
ksd8****,2014.02.20. 08:59,10,마음한편이 찡해오는 영화 추천합니다,10,0
ilov****,2015.02.05. 13:48,10,캐나다의 건축법이 참으로 까다롭다. 미국도 마찬가지고 순전히 업자들 이윤보장에 맞추어져 있는 듯..,9,0
kjs0****,2014.02.21. 14:19,10,너무감동이었습니다.,9,0
mpgo****,2017.02.19. 07:09,10,야간 편의점 알바를 하면서 봤는데 눈물이 펑펑 나서100분짜리가 160분이 된 영화 뒤바뀐 밤낮에 적응 못하고 의미없다고 생각한 하루를 채워준 영화 죽음이라는 것을 생각하고 고민하게 해주는 영화 나에겐 너무 벅찬 영화,10,1
milk****,2016.06.23. 11:59,8,해피엔딩이라 좋았고 후반부에 나오는 음악이 너무 좋았다. 미국 시골 풍경의 여유와 풍요로움이 느껴 졌던 영화,7,0
aper****,2015.03.01. 00:22,10,많은 생각을 하게 만드는진한 여운이 남는 영화,7,0
bboi****,2017.02.27. 22:20,9,삶과 죽음사이에서 정말 사랑하는 사람들에 대한 이야기.,3,0
jdud****,2015.03.15. 00:30,10,61년을 같이 보내는건 어떤 기분일까,3,0
mool****,2014.11.15. 05:44,9,"따뜻한 영화..,,.",3,0
drum****,2014.10.12. 23:21,9,따뜻한 영화...잘 봤어요..,3,0
dfwi****,2016.11.28. 00:58,10,"소도안되고, 딸기도안되고  그리고 새집까지..  그래도 그녈위해 끝끝내 해내는..  잔잔하지만 뜨거웠다.",2,0
ulsc****,2014.06.20. 00:15,10,한마디로 표현할영화가 아니에요사랑이라는 단어에 세월흔적기억 많은것들이 포함된다는걸 깨닫는 시간이였습니다  저리 늙어갈수있단건 인생최고의행운이란것을..최고의영화 !,2,0
fiel****,2014.04.26. 09:41,7,잔잔한 바다 위의 부표처럼... 평화과 평안.,2,0
tnfu****,2014.04.17. 21:25,9,이렇게 늙어 함께 하고 싶다 부부 친구,2,0
phss****,2014.04.04. 18:45,8,"늙은 친구를 떠나 보내는, 미안한 친구의 슬픈 눈물.. 여보! 당신이 있어 고맙소...",2,0
egyp****,2014.04.04. 13:23,7,오직 아내만을 위한 열정 가득한 감동적인 대형 프로젝트...위태롭지만 뚝심있게 새로운 집 짓기에 계속 몰두하던 쥔공 크레이그...정말 내 땅에 집 짓는데 허가받고 승인받을 것들이 그리 많은지...참견하지 말라고 체스터에게 버럭 화냈었던...,2,0
anda****,2017.03.12. 02:05,9,집짓기를 통한 사랑의 완성. 아름다운 화면은 덤.,3,1
pin_****,2016.09.13. 10:32,9,감동실화 황혼로맨스.중증치매상태의 아내를위해 자신이 소유한땅가운데 가장아름다운장소에 예쁜집을 직접지어 얼마남지않은아내에게 선물하려는 그의마음씨에 콧날이시큰거렸다.그나저나 캐나다건축법 엄청 빡빡하다.전문건축가나 기업아니면 개인은 손도대지말라는거지저게뭐냐,3,1
