username,date,rating,review,likes,dislikes
sall****,2019.11.11. 20:26,10,"누군가 겪었고, 누군가 지금 겪고 있고, 언젠가 내가 겪을 수도 있는 일을 담담한 톤으로 잘 표현한 것 같아요. 노년에겐 자신의 삶을 돌아보게 하고, 중년에겐 앞으로 가야 할 길을 내다보며, 청년에게는 내가 아니라 우리라는 가족의 의미를 생각하게 하는 영화입니다.",14,0
rnsd****,2019.11.13. 03:26,10,연출은 유쾌연기는 환상스토리는 가족애어느 한 장면도 어느 대사도 결코 놓칠 수 없다지금이 가장 완벽한 때라는 말많은 것을 떠올리게 하였다,9,0
luna****,2019.11.11. 19:24,10,표현의 차이는 있어도 모두가 사랑하고 위하는 마음은 같다는 걸 보여준 영화,7,0
dhwj****,2019.11.09. 14:27,10,"가족에게 애증의 감정을 느껴본 적 있는 사람이라면 꼭 봐야 한다고 생각함! 가부장제, 세대간 갈등, 여성의 자아 실현, 노인 부양 등의 문제가 한 가족을 통해 여실히 드러나는데도 설정이 과하다거나 억지스럽게 느껴지지 않음. 인물 하나하나가 전부 미우면서도 사랑스럽다. 후반부에 엄청 울면서 봤음... 고민하고 있다면 꼭 보길.",7,0
mylo****,2019.11.11. 19:45,10,감동적인 영화입니다.,6,0
kdss****,2019.11.13. 19:27,10,처음에는 재밌었다가 나중에는 슬프네,5,0
orgs****,2019.11.08. 11:18,8,"배우들이 좋아서 일단 보러갔고, 역시나 연기들이 너무 좋네요. 내 가족을 생각하게 하는 연출도 좋았고요. 역시 사람 사는 거 다 똑같다고, 섬세한 시선으로 풀어내니 알츠하이머라는 조금은 진부한 소재도 담백하게 그려내네요. 추천합니다.",5,0
swle****,2019.11.08. 11:17,10,부모님이 보고 싶어지는 영화? 가족들을 한번쯤 돌아 보게 하는 영화~~! 감동적이었어요~~!!,5,0
bbq2****,2019.12.03. 12:47,4,가족이 있다면 다 가진 것,3,0
h200****,2019.11.18. 20:18,10,이 영화는 가장 감동받은 영화네요앞으로 엄마 아빠하고 사랑하고 존중할게요~,3,0
augu****,2019.11.18. 14:43,8,"여러 갈등구조 중 특히 세대 간의 갈등이 중심인 가족영화. 배우들의 연기가 좋고, 캐릭터의 심리묘사와 갈등도 설득력 있게 잘 묘사했다. 힐러리 스웽크를 참 오랜만에 본 것 같은데 무척 반갑다.",3,0
piby****,2019.11.16. 14:37,10,치매어르신 이해에 도움이 많이 되더라구요.,3,0
nzcl****,2019.11.08. 11:08,10,부모님에게 전화하고 싶은 마음이 들게 되는 영화- 전반적으로 따땃한 느낌도 좋고 배우들의 연기도 무척 좋습니다,3,0
ogr5****,2019.11.08. 16:22,7,"골고루 정량을 맞춘 화술, 뛰어난 연기 앙상블 뒤에 남는 사라지지만 뚜렷한 잔상.",4,1
cs79****,2021.03.18. 06:19,10,때로는 놔주는 것도 필요한,2,0
haha****,2019.11.20. 14:59,8,가족간의 소통이 얼마나 중요한 지 깨닫게 해주는 영화,2,0
cont****,2021.06.07. 13:57,7,한 사람을 둘러싸고 있는 가족이라는 이름의 끈의 소중함,1,0
bimi****,2021.05.29. 15:53,6,"뭔가 극적인 장면이 없어서 약간 지루한 감은 있지만 그래도 한 번쯤은 보면 좋을 영화. 자기가 무조건 옳다고 생각하면서 신처럼 군림하려는 아버지가 보기 싫었지만 영화가 끝날 즈음에는 어느정도 이해가 되기도 했고, 영화 속 남매가 현실 남매같은 모습을 보여줘서 소소한 재미가 있었다.",1,0
sisa****,2021.05.09. 10:34,10,가족을 생각하게 하는무엇보다 부모님을 이해하게 하는감동 있는 영화입니다.,1,0
baks****,2020.07.25. 22:10,8,아버지 역의 로버트 포스터가 연기가 장난 아닌데 아들 니키 역의 마이클 섀넌도 기가 막힘.힐러리 스웽크도 역시 장난 아님...남의 일 같지 않다,1,0
wlsd****,2020.04.30. 01:32,10,누구에게나 일어날 수 있는 상황이라.. 잔잔한 감동이 밀려오네요..,1,0
steg****,2020.01.19. 21:38,8,현실적으로 덤덤하게 풀어낸 가족영화.,1,0
psp2****,2020.01.18. 08:09,8,부모님이 보고 싶어진다.,1,0
youn****,2019.12.09. 15:02,8,서로의 생각을 존중하는 수밖에.. .인생에 정답이 있겠는가!,1,0
mune****,2019.11.20. 21:43,10,정보 없음,1,0
kamj****,2023.10.22. 23:19,8,결혼과 혈연으로 맺어지는 가족... 그 복잡 끈끈한 관계에 대해 곱씹어보게 된다,0,0
slah****,2023.06.22. 09:19,8,어떤 선택도 틀리지않다 얼마나 자신과 가족을 사랑하고 노력하느냐가 중요할뿐.,0,0
doub****,2023.03.26. 16:37,10,너무 우리가족같고 싸워도 아프고 일생기면 제일먼저 달려가고.. 애증의 가족관계.. 마음이 짠해지고 많은 생각이 들어요,0,0
tlsa****,2022.12.14. 06:13,5,판타지면서 현실적인척.,0,1
