"writer","date","comment"
"ROZEL","2024.10.20","너무 좋았습니다!!!"
"물뿌","2024.10.20","서브남이 너무 잘생겼어요..."
"영스엑매니아","2024.10.20","주연배우들 젊은 시절 모습이 흥미롭습니다"
"tntntntntnwl","2024.10.20","역시 ㅠㅠ 너무 슬퍼여 오랜만에 봐도 잼나오"
"cx**inas","2024.10.20","또 다른 나 말고 진짜 나의 모습이 나오는 그런 사람과 결국 이어지네요 ,,"
"dl**tjr1234","2024.10.20","오랜만에 로맨틱한 영화를 봐서 정말 재밌었고 감동적이었다. 나로서는 몇몇 이해 안 가는 장면도 있고 했지만, 정말 즐겁게 관람한것 같다 한번 꼭 보시길👏"
"쪼뿌니","2024.10.20","평범한 집안의 청년과 부잣집 아가씨가 여름날 시골에서 만나 서로 사랑했지만 이별하고선 시간이 흐른 뒤,완벽한 약혼자를 둔 여성이 예전 첫사랑 남성과 재회하면서 벌어지는 이야기를 다룬 영화.배우들의 명연기와 아름다운 영상과 감동적인 스토리가 어우러져 몰입해서 재미있게 봤어요."
"je**i612","2024.10.20","너무너무 좋았습니다.눈물 주루룩"
"ba**ok7","2024.10.20","리미티드티켓 잘 받았어요 ㅎㅎ"
"cinevip","2024.10.19","포스터 소진되어서 다 못받았네요 ㅠㅠ"
"태사녀","2024.10.19","if you are a bird, I am a bird."
"lc**sk","2024.10.19","지금 보기에는 너무나도 진부한"
"hy**20","2024.10.19","재개봉 이유가 확실한!! 인생영화 였습니다~❤"
"쥬디디","2024.10.19","영화 재밌었습니다 두배우의 리즈시절"
"sg15","2024.10.19","노트북  재밌었어요,  .."
"빨강머리앤이야","2024.10.19","재개봉 너무 좋아요~ 로맨스양화 오랜만이에요~^^"
"lys2337","2024.10.19","영화는 역시 클래식한 로맨스의 정수 

근데 제발 영화 보면서 지들끼리 속닥속닥 거리는 개매너는 진짜 어디서 배운거냐 시발 넘들아"
"깜장보리콩","2024.10.19","영화 러닝타임 2시간 중 1시간 반을 울면서 본 영화
명작이라 불리는 이유가 있었다"
"ka**37312","2024.10.19","참 아름다운 영화 많은 사람들이 봤으면 좋겠다"
"성원","2024.10.19","엄청 감명깊게 봤네요 영화관에서 봐서 좋았어요"
"eh**l9926","2024.10.19","명작은 영화관에서 관람해야죠~"
"부락촌","2024.10.19","고전명작 잘보았습니다"
"su**ooke","2024.10.19","dsgdsgdsgsdgsdg"
"pc**036","2024.10.19","asdgsdgsdgsdgsdg"
