"writer","date","comment"
"__sang__","2019.12.22","좋았어요 치매인 엄마를 돌보기위한 가족 각각의 의견 차이는 있었지만 엄마를 위한다는 마음은 하나라는것"
"sooha3171","2019.12.14","늙어가고 병들어가는 특히 치매로 고생하는 주변의 모습들이  남의일이 아니네여"
"천일동안1000","2019.12.08","왓데이해드 왓 두유~~"
"oh**ppyday92","2019.12.07","생각해보게 만드는 영화"
"릴리","2019.12.06","모든 캐릭터가 공감가는 영화"
"ye8282","2019.12.03","누군가를 영영 잃는다는 것이 그렇더라. 차라리 내가 없는게 낫겠다 싶으더라. 그게 가족이라면 더더욱."
"EHEH08","2019.12.02","''적당한 때''의 새로운 의미"
"se**gi7s","2019.11.28","현실감, 각자의 입장.."
"로빈","2019.11.28","현실적이라서 더 아름다운"
"nan3668","2019.11.28","아픈 엄마가 있는 입장에서 많은걸 생각케하는 영화"
"깨돌이2","2019.11.28","하루하루가 뜻 깊읏 영화 다시한번"
"문화천사","2019.11.27","한국판 가족영화가 미국에서."
"영화내꺼니꺼","2019.11.26","''누구의 시선으로 ''
가족
부부
자녀
위임장
옆에 늘 있는
주변에서 항상 돌보는
그리고,
희생
사랑이란??!
누구도 가는 건 순서가 없고
늙는다는 건
병이란~~
언제 갈지 모르는 인생^^
참 많은 생각과 각자의 위치에서의
존재
배려
사랑
경계
찐한 ♡"
"we**nachten1","2019.11.26","내가 가장 지옥이라고 생각하는 사람들에게 건네는 위로."
"dontbea","2019.11.25",".잃어가는 나를 찾아서"
"bear4shm","2019.11.24","굳10자10자10자"
"버찌술","2019.11.24","잔잔하고 생각할 것 많은 가족들의 이야기였어요. 현대문학 같은 울림이 있네요. 가족에 대해서 생각해보게 돼요."
"sanghak","2019.11.24","진한감동 가슴울리는 영화. .
누구한테나 올수있는 현실적인 스토리 보는 내내 마음이 멍멍 ㅠㅠ"
"byeday","2019.11.24","모두 겪을수 있는 이야기였네요 엄마의치매로 다시 모인 가족. 별다른 문제가 없어 보였지만 갈등 다툼이 있었고 서로 인정하고 받아들이는 모습이 좋았어요"
"영화1인칭관찰자시점","2019.11.24","루스가 좋아하는 사진들로 꾸민 크리스마스 트리가 등장한다. 가족의 소중한 순간들이 주렁주렁 매달려 있다. 이 영화의 제목이기도 한 그들이 가졌던 것에 대한 답지이기도 하다. 아픔은 가족을 무너뜨리기도 하고, 다시 일으키기도 한다."
"해맑은영화인","2019.11.24","쉬운 문제가 아니다. 가족의 사랑이 있어 가능한 갈등이다."
"ls**h9411","2019.11.24","20191124 명동씨네라이브러리"
"세렌디피티","2019.11.24","""치매""를 소재로 만든 가족영화이면서도, 치매뿐만이 아닌 공감할수 있는 가족이야기가 들어있다!"
"lo**s590707","2019.11.24","나의 모년을 어떨지 걱정하며 보았네요."
"느낌필","2019.11.23","음  좋았어요 재미굿이네요"
"ts**amori8","2019.11.23","재미도 있고, 괜찮았다."
"SinOf","2019.11.22","크리스마스 시즌에 한번 더 보고싶은 따스함을 지닌 영화다.배급사는 이런 좋은 영활 홍보도 안하고 뭐하고 있는것인지 안타까울정도,어쩌면 바로 옆집의 이야기..혹은 자신의 이야기일지도 모르는 치매 환자와,그 가족들의 유쾌하지만 웃을수 없는 이야기."
"bobee","2019.11.22","''지금이 가장 적당한때야'' 그말이 옳다. 꽃핀 캘리포니아아름답다."
"ma**in2012","2019.11.22","아름다운 스토리와 연기"
"주얼창이","2019.11.22","늘 외로우니 사람이다 그러니 뛰자"
"Noah,","2019.11.21","펑펑 울었어요. 슬펐어요."
"tk**jf0405","2019.11.21","기족이란 서로에게 의지하고 힘이되는 영화내내 울컥 울컥 심장이 따뜻해지는 영화로 강추~"
"hi**witch","2019.11.21","역시 좋은 감독 연출 배우들의 구성이
뛰어나네요~ 가족의 의미를 나를 돌아보게 하는 그런 영화 입니다. 중간 중간 웃음을 자아내면서도 슬픈 또한 미소 짖게하는
그런 그림을 보는 듯 하네요"
"럼플티저","2019.11.21","가족의 사랑과 헌신이 가끔씩은 얼마나 억압적인지"
"냥냥멍뭉","2019.11.21","좋아요 좋았어요 봏만해요"
"SUE7525","2019.11.21","현실가족의 고민과 어려움, 사랑... 담백하게 그렸네요... 부모와의 문제, 자식과의 문제, 남매간의 문제... 세상 사람들 다 똑같구나 느꼈어요"
"티미언니","2019.11.21","많이 좀 아쉽네요.. 반가운 배우들도 좋았고 특히 음악이 좋았는데요.."
"sj**y0629","2019.11.21","완전하지 않고 불안정한 듯한 각자의 가족 속에서 살고 있었지만, 가족 어느 누구에게도 솔직하지 못했던 마음을 숱한 다툼과 충분한 얘기로 풀어내며 엄마를 중심으로 다시 새로운 가족만의 해결방식을 그려낸 것 같은 영화. 결국 그들의 답은, 다시 가족..."
"q1649013","2019.11.21","좋아요!!!...."
"팝콘팝팝팝","2019.11.20","가족에 대해서 많이 생각나게 하는 영화"
"못생긴꼬모","2019.11.20","치매환자  하나 보살피는 게 너무 힘든 현실이네요. 실제로 곀은거라서 더욱더 공감이 간  영화였어요."
"생강초코","2019.11.20","가족이라는 이름의 무게..."
"운이별","2019.11.20","가족이란 결국 이런거다 라는 느낌"
"쭌아랑","2019.11.20","you are a turkey 슬픈 가족 이야기네요"
"sy21cs","2019.11.20","우리 가족 생각이 나서 눈물이 많이 났다. 그들의 앞날에 행복이 가득하길.."
"purmeice","2019.11.20","가족이란 사랑이란 삶이란.. 많은 것을 느끼게 해주는 영화. 너무 좋았네요."
"like_moviee","2019.11.20","잔잔하니 대사가 와닿았어요.."
"cj**v9","2019.11.20","지금이 완벽한 시간이라는 루스의  대사. 생각해 봅니다"
"예니주니","2019.11.19","참 따뜻해서 좋은 영화 웟 데이 해드!"
"yejun0501","2019.11.19","가족의 의미를 생각할 수 있어 좋았어요!"
"daumee","2019.11.19","가족과 인생의 의미를 되돌아보게하는 작품"
"jk**119","2019.11.19","잔잔하게 보기 정말 좋은 영화였던 것 같네요"
"disneylover28","2019.11.19","펑펑 울면서 보고 나왔네요.. 남편의 아내에 대한 무한하고 헌신적인 사랑이 감동적이었어요~"
"jh**gsw","2019.11.19","what they had..."
"Verbal Jint","2019.11.19","shdhsnjqjajs"
"bonny","2019.11.19","왓 데이 해드~누구에게나 있을수 있는 일..."
"hc**cw","2019.11.19","서로뿐인 사랑. 끝까지 끝까지 어떻게해서든 버텨내는 곧은 사랑의 결말. 누구도 범접하기 어려운 결말."
"tr**8080","2019.11.19","참어려운..사랑이죠...온전한정신으론 지켜낼수없는..ㅠ"
"j1c","2019.11.19","왓 데이 해드 잘봤습니다!!"
"na**nada","2019.11.19","잔잔한데 역시 가족영화는 눈물코드네요"
"ehddhe","2019.11.19","빤한 줄거리로 보였지만 공감할 수 있는 전개와 그 사정에 눈물이 난다"
"멋쟁이 울아빠 ^^","2019.11.19","불완전한가족구성원에대한각자의해결법을제시하는영화영화보다는소설그것도대화가많은소설의형태를취하고있고그나름의장점을기반으로 배우들의호연이뒷받침되어인상적이었다함께한다는것만이좋은것인가를다시금생각하게하네요서로다른세계를산다는것을인정해야좋을듯하네요 ㅎㅎ"
"박수건달","2019.11.19","영화속 이야기가 현실로 온다면 과연 이렇게 따뜻하게 느껴질까
싶네요"
"여행여행여행","2019.11.19","사랑은 헌신이라는 말
참 어렵네"
"호롱불23","2019.11.18","최고야 그냥 죽여줘ㅎㅎ"
"hu**com","2019.11.18","★★★☆☆ 우리 모두의 이야기"
"myownprivate","2019.11.18","배우들의 연기는 좋았지만 영화의 설정과 이야기 전개는 너무나 익숙해서 약간 당황했다. 젊은 여성감독이 만든 가족영화라기애 좀 기대했는데 밍밍하고 안이한 느낌이었달까.. 좋다/별로 사이에 ‘보통’이 없어서 별로라고 하겠어요."
"pr**u20","2019.11.18","갈등의 시작에서 봉합까지 격화된 감정을 한층 낮춰서 풀어간다"
"an**go905","2019.11.18","잔잔하면서도 빠져드네요"
"찰스7931","2019.11.18","사랑한다면 헌신하세요"
"7s**dio","2019.11.18","헌신과 절망, 잃어버린 관계, 되찾는 시간 - 아름다운 영화"
"해밀☆","2019.11.18","현실적인 가족의 의미 찾기"
"리뷰맛집","2019.11.18","현실적이라 누구나 자신의 이야기같이 와닿을듯한 영화..."
"구월냥","2019.11.18","겪지 않았다면 감히 이 아픔과 치유의 과정을 이해할 수 있었을까."
"한여름밤엔","2019.11.18","가족이 생각나는 영화예요"
"졍이~","2019.11.18","한번더 보고 싶어요  배우들 모두 최고"
"강훈할미","2019.11.18","가족관계속에서 어쩔수 없는 현실
나이들어 가면서 치매에 대한 두려움이 생긴다"
"Gayeonnn","2019.11.18","''가족''이라는 이름."
"알리타21","2019.11.17","가족관계 속의 어쩔 수 없는 상황, 현실."
"캡틴카리스마","2019.11.17","사랑은 헌신이다!!!"
"pe**ianb0","2019.11.17","신파 없이 자연스럽고 담담하게, 때로는 유머러스하게 풀어낸 치매에 대한 이야기."
"so**am1","2019.11.17","형제  간에  우애를   가져야   한다."
"zk**kxh","2019.11.17","재밌게봤어요 가족내에서 공감할만한 서재를 많이 가져왔다고 생각함 배우들 연기도 좋았어요"
"ji**56","2019.11.17","진실된 사랑으로 극복하는"
"el**lsh","2019.11.17","왓 데이 해드 - 2019.11.07 개봉"
"an**qkd2","2019.11.17","너무좋았고앞으로도뚜부ㅡㄱㄷ"
"jj**film","2019.11.17","쭉 살다보면... 사라지겠죠..."
"플라잉 영","2019.11.17","가족이란 한마디로 정의할 수 없는"
"ba**it26","2019.11.17","가족이라는 번잡스러운 감정들"
"산이","2019.11.17","배우들연기가 너무좋았어요"
"Guldure","2019.11.17","한겹한겹 파고드는 가족의 속내"
"kj**238","2019.11.17","잔잔하고 모두에게 공감가는 영화"
"kblee57","2019.11.17","잔잔하지만 우리에겐 꼭 다가올 이야기네요~~
결국은 마지막을 어떻게~~"
"ni**0412","2019.11.17","부럽다 평생 한사람..."
"natuur12","2019.11.17","가까운 현실일지도 모르기에 대사 하나하나 대공감"
"영화볼까낭","2019.11.17","good good good"
"ch**d1234","2019.11.17","불완전한 가족구성원에 대한 각자의 해결법을 제시하는 영화. 영화보다는 소설, 그것도 대화가 많은 소설의 형태를 취하고 있고 그 나름의 장점을 기반으로 배우들의 호연이 뒷받침되어 인상적이었다."
"gorgeous_yn","2019.11.17","가족이란 공동체 아래 객체로 존재하기란. 무엇을 가졌을까. 그 때문에 무엇을 놓쳤을까."
"항꾸","2019.11.16","기니디비시지이기니디"
"mumu","2019.11.16","매우 사실적인 이야기. 슬프지만 따스한 여운과 생각할 거리를 던져준다."
"빨간너구리","2019.11.16","잊기전에 죽어 다행이라는게
너무 슬프다."
"si**us0830","2019.11.16","아주 좋았습니다
처음엔 지루할 것?? 같다는 생각으로 봤는데 하나도 안지루하고
가족에 대해 생각하게 되는 영화.

몰입감도 좋았고, 멀지않은 우리 가족의 이야기일 수도 있다는 생각에 느낀점도 많고 그랬어요.."
"싸이코버섯돌이","2019.11.16","영화를 보기에 가장 완벽한 때 관람 한 것같다! 완벽한 스토리 완벽한 연기!"
"abdel","2019.11.16","가족이라고 각자의 사정을 다 알지는 못한다. 가까우면서도 먼 듯한 가족."
"스카디","2019.11.16","진정한 가족 영화였다."
"ㅇㅈㅊㄷㅇ","2019.11.16","비티에 특히 이입하면서 봤고 많이 울었다. 아버지가 많이 원망스러운 한편 두 분의 사랑이 경이롭긴 했다
우리 부모님이 치매에 걸리면 난 어떻게 될까"
"쩌수니","2019.11.16","너무 리얼해서 어이가 없는  스토리,
노인,치매,가족의 의미에  대해 반추하게 하는 좋은 작품이다"
"ka**7185","2019.11.16","함께 한다는 것만이 좋은것인가를 다시금 생각하게 하네요 서로 다른 세계를 산다것을 인정해야 해도  좋은듯하네요"
"vi**min1520","2019.11.16","눈물이 펑펑 쏟은 가족드라마영화"
"작은송곳니","2019.11.16","재밌습니다~! 또보고싶네요"
"샌드맨","2019.11.16","필요할때 곁에서 힘이 되어주는 존재  그게 가족이란 의미아닐까"
"로마노프 쑤","2019.11.16","가족은 결국 함께 하는것"
"ia**lion7264","2019.11.16","시사회로 보고 한번 더 봤는데 다시 봤을 때 대사들 하나하나가 더 마음에 와닿았다. 감동이 더 짙었다."
"쿵쿵쿵쿵","2019.11.16","중간 중간 웃음유발하는 씬이 있는데 그 마저 슬프네요ㅜ"
"TG330","2019.11.16","지금이 왓 데이 해드를 관람할 완벽한 때!"
"나나721","2019.11.16","좋았어요 좋아요! !!!"
"stromatolite_o2","2019.11.16","가족이란 무엇인가, 부모의 개입은 어디까지인가, 사랑은 뭐다?"
"우주소년아톰","2019.11.16","모두에게 추천한다 꼭 체험하기를"
"수우미양가가가가","2019.11.16","영화는 어둡고 피곤하고 극장은 춥다. 압구정 1관 너무 추웠다."
"sc**764","2019.11.16","가족이라는 게 무엇인지 생각하다"
"^^★","2019.11.16","힘든결정 어직은 숙제입니다."
"Bluesky21","2019.11.16","인생! 깨달았을땐 아차 싶은"
"말랑콩이","2019.11.16","영화 참 좋네요.. 갑작스런 결말에 맘이 좀 아팠지만 ㅠㅠ"
"겐시로","2019.11.16","왓 데이 해드 소소한재미"
"se**ch01","2019.11.16","생각지도 못 한 슬픔과 감동이 함께 밀려든 영화였어요. ''지금이 완벽한 때야. 늦었다면 완전히 잊었을 거고 빨랐다면 너무 그리웠을거야.'' 란 뉘앙스의 대사가 잊히지 않았어요."
"hs2775","2019.11.16","가족에 대해 진지하게 생각해볼 수 있는 좋은 영화에요.
잘 아는듯 싶다가도 어쩔 땐 정말 모르겠고. 서로 완전히 이해하기 어려운 애정과 애증의 사이랄까:D"
"j2**eong","2019.11.15","현실로 곧 닥칠 일들에 대한 예방주사"
"il**ilkr","2019.11.15","누구에게나 있을수 있는 일 이어서 가슴이 아픈..."
"리에리에","2019.11.15","감동적이였습니다. 좋았어요"
"so**ce","2019.11.15","치매에 걸린 아내를 헌신적으로 보살피는 남편, 그리고 이러한 과정에서 벌어지는 자식과의 갈등을 현실적으로 풀어낸 어느 한 가족 이야기를 다룬 영화"
"ed**10544","2019.11.15","생각했던 것과는 달랐지만, 따뜻하고 현실적인 가족영화"
"박성화여자친구","2019.11.15","넘 좋앗어서 낼 또 본다ㅠㅠㅠㅠ"
"eu**ee1964","2019.11.15","남 얘기같지 않네요. 언젠가는 우리 모두에게 닥칠 현실..."
