username,date,rating,review,likes,dislikes
msl2****,2015.04.09. 12:29,10,오랜만에  정말  좋은 영화였습니다.시골에  계신  부모님이 생각나네요,493,42
smil****,2015.04.10. 12:25,8,. 영화 는  초반에는 풋풋하고 후반에는 조금 슬퍼서 보던관객들도 눈물바다 됬습니다. 근데 중간중간에 exo 남자한명나오는데 게나올때마다 여자중고딩애들이 미친것처럼 날뛰어서 중간중간 영화집중이 풀리더라구요;;  exo좋은건알겟는데혼자보는건아니니자제좀,401,68
reas****,2015.04.09. 12:56,10,어머니와 함께 보고왔습니다 너무 좋네요 여러가지 생각을 많이 하게 만드는 영화인것 같아요,218,15
sehy****,2015.04.09. 23:51,10,재미도있고 감동도있고 잘봤습니다!!!!,195,11
skie****,2015.04.09. 12:52,10,처음엔 웃으면서 보다가 나중엔 눈물이 나더라구요. 감동적인 영화였고 배우분들의 연기가 좋았습니다.,189,11
qkrq****,2015.04.09. 17:18,10,감동적이고 재미있고...  후반부 부터는 눈물뺐어요....  기대를 안하고 봐서그런지 더 볼만했어요,130,8
daon****,2015.04.09. 21:46,10,좋아요.좋아요.아주감동이예요,105,7
magg****,2015.04.12. 16:59,9,치매걸리신어머니랑영화보러갔었어요.보호자입장에서눈물많이났어요.남의얘기같지않았어요.,101,5
hci0****,2015.04.09. 22:06,10,훌륭합니다 감동도 있고 간만에 좋은 영화 감상했습니다ㅎ,97,6
keke****,2015.04.10. 01:03,10,좋은 영화입니다 꼭 보세요,82,6
stor****,2015.04.09. 23:12,9,아주재미있어요ㅎㅎㅎ,50,5
wonh****,2015.04.10. 22:46,9,슬프다 예상밖에 스토리,36,0
hope****,2015.04.13. 11:21,10,반전도 있구 정말. 요즘. 한국영화중에. 최고인듯해요,34,0
tkdg****,2015.04.12. 17:16,10,슬프다슬퍼죽겟다개슬파죽겟다,34,1
este****,2015.04.09. 12:59,8,괜찮은 영화였음50대후반이 볼수있는 영화가 앞으로는많이 나왔으면 합니딘,37,4
okdk****,2015.04.10. 00:13,7,처음엔 웃으면서 봣는데.. 끝에 펑펑 울면서 봣네요 ㅠ,38,5
xxhe****,2015.04.13. 19:18,10,아무생각없이 보러 갔다가 눈물기습공격 받고왔습니다..감동&존잼염bbb,32,1
thes****,2016.10.06. 02:27,8,오늘날 우리 아버지 세대의 슬픔.,28,0
le_m****,2015.04.11. 23:49,10,세상에. 이건 진짜 봐야 될 영화다. 말이 필요없다. 대박나길!,29,1
sub0****,2015.04.10. 11:24,10,진짜예상치못한감동과슬픔 재미있어요,28,1
king****,2015.04.10. 08:34,10,정말 재미있게 본것 같네요  여운이 많이 남아요,28,3
gkav****,2015.04.12. 16:52,8,잠깐이었지만하룡형님모습이아른거린다,24,0
sgba****,2015.04.09. 21:50,8,가족과걑이 보기에 좋은영화입니다,28,4
qaw3****,2015.04.11. 23:15,10,보는내내 너무 기분좋은 영화 !뭉클하고 두분이 풋풋하게 사랑하는 모습도 너무 이쁘고 후반부에 반전도 잇어서 슬프고 ㅠㅠ 짱짱 보세용 다들,20,0
jjan****,2016.09.18. 10:19,8,우리나라 실버세대에 대한 또다른 이해였다,18,0
rabb****,2016.02.05. 16:27,10,"단순 코미디 일줄 알았는데 재밌고, 감동적이고, 정말 생각하지도 못한 대반전 다시봐도 반전은 생각하지 못할 만큼 스토리 연기력 모두 탄탄하다",17,0
kyum****,2015.04.21. 03:47,8,"초반, 거의 중반까지 흐름이 자꾸 끊겨서 보기가 불편했다. 나중에 이야기가 풀어질 때부터는 편하게 집중해서 볼 수 있었다. 박근형, 윤여정 배우님의 호흡이 참 좋았다...",16,0
wjsd****,2015.04.13. 22:35,8,가족이함께보면 좋은~~감동,16,0
haji****,2015.04.12. 00:13,10,오랜만에눈물흘리는영화였네요슬퍼가지고큰일날뻔했네눈물때문에 ㅜㅜ티슈필수행복하게잘삽시다,16,0
rani****,2015.04.13. 22:55,10,마지막반전감동이라니..폭풍눈물흘리고왔네요ㅠ.ㅠ,16,1
