word,score
영화_이,842
영화_를,619
영화_좋은,544
영화_는,476
영화_의,406
영화_본,406
영화_있는,390
영화_가,384
영화_.,380
영화_하는,300
영화_중,300
영화_잘,258
영화_만드는,232
영화_되는,198
영화_없는,194
영화_보는,188
영화_속,176
영화_만든,168
영화_최고의,156
영화_로맨스,146
영화_같은,146
영화_감동적인,142
영화_너무,138
영화_한,138
영화_그런,134
영화_한국,124
영화_보고,120
영화_에,120
영화_이런,112
영화_슬픈,112
영화_인생,110
영화_따뜻한,108
영화_남는,105
영화_내내,102
영화_아름다운,102
영화_좋았던,102
영화_중에,100
영화_싶은,96
영화_보면서,90
영화_볼만한,90
영화_주는,88
영화_된,83
영화_돋보이는,82
영화_로,82
영화_정말,80
영화_재밌게,78
영화_따뜻해지는,78
영화_해주는,77
영화_..,76
영화_보여주는,74
영화_해준,72
영화_자체는,70
영화_에서,68
영화_였다.,68
영화_생각나는,68
영화_보고싶은,68
영화_어려운,64
영화_재밌는,64
영화_진짜,62
영화_있었던,62
영화_보여준,60
영화_않은,60
영화_다.,58
영화_입니다,58
영화_라고,58
영화_!,58
영화_관에서,56
영화_봤던,56
영화_괜찮은,56
영화_스릴러,56
"영화_,",54
영화_재미있게,54
영화_아쉬운,52
영화_느껴지는,52
영화_다,50
영화_나오는,50
영화_잔잔한,50
영화_멜로,50
영화_입니다.,50
영화_나는,48
영화_도,48
영화_가족,48
영화_ㅠㅠ,48
영화_준,48
영화_일본,48
영화_봐야하는,48
영화_하지만,46
영화_끝나고,44
영화_그,44
영화_마지막,44
영화_울었던,44
영화_엄마,44
영화_돋보인,42
영화_였어요,42
영화_살린,40
영화_봐야할,40
영화_놀란,40
영화_궁금해지는,40
영화_자체가,38
영화_위한,38
너무_연기가,646
너무_연기,444
너무_잘,226
너무_좋았어요,218
너무_연기를,218
너무_많이,176
너무_진짜,146
너무_영화,132
너무_연기도,128
너무_기대를,126
너무_재밌게,122
너무_마음이,116
너무_슬프고,110
너무_잘해서,108
너무_좋았고,108
너무_슬퍼서,98
너무_좋았습니다.,98
너무_나,94
너무_내가,92
너무_영화가,92
너무_좋았다.,91
너무_좋은,88
너무_좋아서,82
너무_많은,80
너무_내용이,80
너무_정말,76
너무_좋아요,75
너무_좋았어요.,72
너무_기대가,70
너무_좋았다,70
너무_재미있게,70
너무_결말이,64
너무_좋았습니다,64
너무_재밌고,62
너무_좋고,62
너무_봤는데,60
너무_연기력이,58
너무_다,56
너무_아름다운,56
너무_아름답고,56
너무_슬픈,56
너무_스토리가,54
너무_울어서,54
너무_감동적이고,54
너무_내내,52
너무_모습이,52
너무_가슴이,46
너무_맥아담스가,44
너무_연기는,44
너무_좋았던,44
너무_다들,44
너무_감동적이엇어요ㅠ,42
너무_좋다,42
너무_나도,42
너무_좋다.,42
너무_슬펐다,40
너무_사랑스럽다,40
너무_영화는,40
너무_김남길,38
너무_장면이,38
너무_예쁘고,38
너무_사랑이,38
너무_가슴,36
너무_연출이,36
너무_뻔한,36
너무_생각보다,36
너무_좋았어요!,34
너무_재밌었어요,34
너무_사랑스럽고,34
너무_어려운,32
너무_슬프다,32
너무_잘하셔서,32
너무_많다.,32
너무_예뻐서,32
너무_반전이,30
너무_큰,30
너무_치매는,30
너무_쉽게,30
너무_봐도,30
너무_늦게,30
너무_예쁜,30
너무_보고,28
너무_반전을,28
너무_잘해요,28
너무_자체가,26
너무_좋네요,26
너무_전개가,26
"너무_좋았고,",26
너무_재밌어요,26
너무_마지막에,26
너무_잘하고,24
너무_그냥,24
