word,score
있는_볼,107
있는_감동이,89
있는_할,88
있는_일어날,59
있는_느낄,59
있는_수도,50
있는_반전이,46
있는_앓고,35
있는_사람이,29
있는_살고,28
있는_생각할,27
있는_좋은,26
있는_것이,26
있는_이야기,26
있는_줄,24
있는_데,23
있는_될,22
있는_게,22
있는_그대로,22
있는_사랑할,22
있는_건,20
있는_모든,20
있는_있을,20
있는_겪을,19
있는_나일,19
있는_영화였어요,18
있는_생각해볼,18
있는_울림이,17
있는_사람을,17
있는_가지고,17
있는_옆에,17
있는_느낄수,17
있는_곁에,17
있는_알고,17
있는_살아가고,17
있는_영화네요,16
있는_올,16
있는_것은,16
있는_공감할,16
있는_일어날수,15
있는_가장,14
있는_영화였다,14
있는_말할,14
있는_영화입니다,13
있는_있을수,13
있는_살아,12
있는_마지막,12
있는_지,12
있는_겪고,11
있는_남아,11
있는_닥칠,11
있는_스토리,11
있는_일을,11
있는_보여줄,11
있는_담고,11
있는_작품,11
있는_이해할,10
있는_그대로의,10
있는_쓸,10
있는_것이다,10
있는_사랑,10
있는_드라마,10
있는_사람,10
있는_볼수,10
있는_거,10
있는_가족이,9
있는_내,9
있는_영화를,9
있는_예상할,9
있는_곳이,9
있는_가치가,9
있는_영화였습니다,8
있는_일이라,8
있는_재미가,8
있는_그대로를,8
있는_듯,8
있는_소재를,8
있는_것을,8
있는_찾을,8
있는_하고,8
있는_사람은,8
있는_감동,8
있는_것처럼,8
있는_것인가,8
있는_사랑이,7
있는_같은,7
있는_소중한,7
있는_의미,7
있는_겪을수,7
있는_다가올,7
있는_나를,7
있는_영화가,7
있는_여운이,7
있는_서,7
있는_가,7
있는_힘이,7
있는_유일한,7
있는_가치,7
있는_의미가,7
있는_현실,7
내가_나를,45
내가_본,42
내가_나는,32
내가_젊은,31
내가_나로,27
내가_나일,25
내가_사랑하는,25
내가_기억이고,24
내가_다,23
내가_좋아하는,22
내가_영화를,22
내가_지금,21
내가_늙은,21
내가_가장,19
내가_사랑했는지,16
내가_진짜,16
내가_아는,16
내가_아닌,15
내가_간절히,15
내가_될,13
내가_건,13
내가_보는,12
내가_나로서,12
내가_않기를,12
내가_애틋하거든,11
내가_가진,11
내가_하고,11
내가_하면,11
내가_생각하는,10
내가_들국화까지도,10
내가_원하는,10
내가_난,10
내가_아니게,9
내가_애틋해,9
내가_제일,9
내가_니,9
내가_살아보니까,9
내가_할,8
내가_겪을,8
내가_내,8
내가_치매에,8
내가_꿈꾸는,8
내가_아직,8
내가_나도,7
내가_봐도,7
내가_돌아오도록,7
내가_아니라,7
내가_없다,6
내가_생각한,6
내가_나이가,6
내가_당신을,6
내가_사는,6
내가_살아온,6
내가_속,6
내가_사라져도,6
내가_것은,6
내가_시를,6
내가_쌓아온,6
내가_나일수,6
내가_노아에게,6
내가_울었다,5
내가_있고,5
내가_지금이,5
내가_내내,5
내가_아니다,5
내가_누구인지,5
내가_감히,5
내가_누군지,5
내가_버리면,5
내가_주인공이,5
내가_된다,5
내가_있을까,5
내가_알츠하이머에,5
내가_나임을,5
내가_앞으로,5
내가_이걸,5
내가_이래서,5
내가_꿈을,5
내가_그냥,5
내가_널,5
내가_기억하는,5
내가_나중에,5
내가_돼,4
내가_지금까지,4
내가_다시,4
내가_한다,4
내가_기대한,4
내가_늙으면,4
내가_같은데,4
내가_앨리스가,4
내가_꼭,4
내가_미래의,4
내가_봤다,4
내가_보기엔,4
내가_있는,4
내가_뭘,4
내가_것이다,4
내가_그건,4
내가_더이상,4
내가_안쓰러워,4
진짜_펑펑,23
진짜_이건,17
진짜_연기,17
진짜_내가,16
진짜_사랑이,12
진짜_최고,12
진짜_많이,11
진짜_봤는데,11
진짜_연기가,11
진짜_연기는,11
진짜_꼭,10
진짜_사랑은,10
진짜_눈물이,10
진짜_눈물,9
진짜_이게,9
진짜_사랑,8
진짜_영화는,8
진짜_대박,7
진짜_미쳤다,7
진짜_이런게,6
진짜_손예진,6
진짜_슬프고,6
진짜_감동적이고,6
진짜_완전,6
진짜_넘,6
진짜_사랑하는,6
진짜_그냥,6
진짜_슬퍼요,5
진짜_게,5
진짜_마지막에,5
진짜_내,5
진짜_좋다,5
진짜_치매,5
진짜_감동적인,5
진짜_엄마,5
진짜_슬퍼,5
진짜_무서운,5
진짜_이거,5
진짜_네가,5
진짜_엄청,5
진짜_재밌어요,5
진짜_울었다,4
진짜_아름다운,4
진짜_최고의,4
진짜_좋았다,4
진짜_했는데,4
진짜_오열,4
진짜_예쁘다,4
진짜_연기력이,4
진짜_슬퍼서,4
진짜_잘생겼다,4
진짜_있는,4
진짜_예쁨,4
진짜_계속,4
진짜_보면서,4
진짜_하고,4
진짜_드라마,4
진짜_슬프다,4
진짜_무어,4
진짜_치매는,4
진짜_영화보면서,4
진짜_원하는,4
진짜_가슴,4
진짜_맥아담스,4
진짜_보고,4
진짜_배우님,3
진짜_없다,3
진짜_슬픔,3
진짜_따뜻한,3
