word,score
설경구_연기,682
설경구_김남길,397
설경구_연기는,328
설경구_연기가,322
설경구_역시,279
설경구_연기력,125
설경구_배우의,88
설경구_배우,80
설경구_김남길의,69
설경구_연기에,68
설경구_믿고보는,66
설경구_배우님,60
설경구_배우님의,53
설경구_의,47
설경구_연기력이,47
설경구_진짜,41
설경구_연기력은,41
설경구_연기만,35
설경구_연기도,29
설경구_특히,27
설경구_재밌었어요,26
설경구_가,26
설경구_설현,24
설경구_연기짱,23
설경구_보는,23
설경구_역쉬,22
설경구_좋았어요,22
설경구_봤어요,19
설경구_아저씨,19
설경구_재밌어요,19
설경구_짱,18
설경구_연기력에,18
설경구_연기를,17
설경구_명불허전,17
설경구_는,16
설경구_연기의,15
설경구_김남일,13
설경구_믿고,13
설경구_배우가,12
설경구_오랜만에,12
설경구_씨의,11
설경구_간만에,10
설경구_를,10
설경구_대박,9
설경구_아저씨의,9
설경구_김남길은,9
설경구_씨,9
설경구_배우는,9
설경구_최고,9
설경구_하드캐리,8
설경구_다시,8
설경구_연기대박,8
설경구_입니다,8
설경구_연기력으로,8
설경구_에,8
설경구_미친,8
설경구_봤습니다,8
설경구_연기최고,7
설경구_배우님이,7
설경구_영화는,7
설경구_재미있었어요,7
설경구_연기력만,7
설경구_님,7
설경구_봤는데,7
설경구_연기력짱,6
설경구_배우님은,6
설경구_좋았고,6
설경구_연기야,6
설경구_반전,6
설경구_봤다,6
설경구_그냥,6
설경구_눈,6
설경구_만드는,6
설경구_스토리,6
설경구_연기잘함,6
설경구_연기하나는,6
설경구_굿,5
설경구_김남길씨,5
설경구_표정,5
설경구_김남길이,5
설경구_라는,5
설경구_좋았습니다,5
설경구_김남길과,5
설경구_마지막,5
설경구_연기와,5
설경구_있네요,5
설경구_돌아온,5
설경구_봤네요,5
설경구_연기만으로도,5
설경구_있고,5
설경구_그치만,5
설경구_김남길도,5
설경구_모르겠고,5
설경구_솔직히,5
설경구_김날길,5
설경구_연기만큼은,5
설경구_인생연기,5
설경구_연기빼고는,4
설경구_연기로는,4
설경구_연기때문에,4
연기가_배우들의,560
연기가_설경구의,375
연기가_설경구,322
연기가_좋았어요,288
연기가_배우들,281
연기가_좋았습니다,160
연기가_배우의,157
연기가_좋았다,101
연기가_진짜,89
연기가_설경구씨,80
연기가_김남길의,80
연기가_좋았고,69
연기가_아주,69
연기가_무어의,67
연기가_돋보이는,67
연기가_좋아요,64
연기가_김남길,55
연기가_배우,54
연기가_다,53
연기가_배우분들,49
연기가_설경구님,47
연기가_좋네요,47
연기가_좋아서,41
연기가_영화를,40
연기가_홉킨스의,38
연기가_설현의,38
연기가_설경구님의,37
연기가_좋다,36
연기가_배우님의,35
연기가_역시,34
연기가_설경구씨의,34
연기가_배우분들의,28
연기가_돋보였던,28
연기가_설현,27
연기가_배우님,27
연기가_좋았음,27
연기가_돋보인,25
연기가_넘,25
연기가_매우,25
연기가_대박,24
연기가_압권,24
연기가_영화의,24
연기가_최고,23
연기가_일품,22
연기가_주인공의,22
연기가_빛을,21
연기가_배우님들,21
연기가_인상,21
연기가_좋습니다,20
연기가_소름,19
연기가_줄리안무어의,18
연기가_단연,18
연기가_다들,18
연기가_최고였어요,17
연기가_주연배우들의,17
연기가_인상적,16
연기가_훌륭한,16
연기가_특히,16
연기가_굿,15
연기가_돋보이네요,15
연기가_돋보임,15
연기가_인상적입니다,14
연기가_좋은,14
연기가_대단했다,14
