word,score
연기,15280
영화,12675
배우,6476
마지막,5334
연기력,5247
사람,4458
배우들,4417
재미,4070
김남길,4035
치매,3895
스토리,3487
가슴,2988
내용,2950
설현,2761
결말,2642
가장,2573
시간,2570
현실,2413
처음,2267
작품,2241
알츠하이머,2213
이야기,2063
모습,2040
부모님,2038
드라마,1967
순간,1869
계속,1860
놀란,1844
많이,1726
장면,1724
안소니,1651
그녀,1625
앨리,1617
지금,1599
전개,1547
인생,1527
이렇게,1514
앨리스,1408
우리,1352
대박,1334
여운,1327
소름,1303
홉킨스,1295
살인자,1281
긴장감,1253
부분,1252
중간,1247
한국,1205
줄리안,1185
필요,1172
사실,1163
완전,1162
정도,1149
무어,1139
관객,1128
설경구님,1124
하루,1123
의미,1122
메멘토,1103
인간,1092
아버지,1083
노아,1026
스릴러,1025
근데,1004
진실,990
너무나,972
배우님,969
초반,969
할머니,968
명작,965
과거,962
그렇게,952
로맨스,945
공감,943
사람들,929
그대,883
미래,867
오늘,844
인상,837
누군가,835
서현진,819
설경구씨,815
오랜만,808
매일,799
어머니,793
자체,784
노년,775
여자,773
누구,766
엄청,763
환자,760
후반부,748
레이첼,746
캐릭터,741
엔딩,729
개인적,722
나이,699
슬프고,698
할아버지,691
모두,680
후회,679
몰입감,663
스스로,662
과정,655
첫사랑,654
손예진,652
주변,638
더욱,634
느끼게,633
선택,628
중간중간,624
노트북,610
돋보,607
알게,605
공포,605
제일,603
맥아담스,597
미자,589
매력,586
플롯,579
살짝,574
노력,573
가족들,571
전체적,571
신파,563
좋았음,559
각색,550
인상적,546
자격,542
자꾸,537
진행,532
인물,528
정신,528
이창동,520
한국영화,497
정우성,496
바람,493
실제,487
만족,486
정말,481
아닐까,480
아쉬움,472
일상,470
문제,465
체험,464
분명,461
흐름,461
재개봉,456
관계,456
경험,455
평생,455
영화중,454
언제나,445
마무리,440
캐릭,436
전체,432
왜곡,430
시나리오,429
김혜자,427
배우분들,420
혜자,409
그럭저럭,408
읽어보고,407
장르,407
노트,406
의외,405
읽고,403
올해,399
주연,396
절대,391
병수,389
남편,386
예전,385
전혀,382
남주,381
치매환자,377
자식,373
얘기,366
역할,365
중반,363
충격,363
여성,362
세계,362
음악,361
로맨틱,358
친구,355
것들,355
부성애,355
요즘,351
여주,349
주제,349
알았는데,348
웃음,344
입장,342
줄리안무어,339
라이언,339
최근,338
가족애,335
김영하,334
아쉽네요,334
평점,332
행동,330
간만,324
끊임,316
죽음,316
고슬링,313
작가,313
장난,309
조금씩,308
극장,307
목소리,307
퍼즐,306
받아들,304
개연성,303
예술,303
결혼,302
울림,299
이영화,298
열린결말,293
매력적,292
싶네요,292
다르게,291
슬펐어요,286
새벽,286
공간,284
명연기,281
단어,281
재밌고,280
요소,279
감독님,279
연기잘,278
멜로,277
전형적,277
명불허전,276
연출력,275
수작,274
노래,274
일본,271
볼때,270
일품,270
영화적,268
서사,265
원작소설,261
특유,260
시간가는줄,260
love,260
기대안,258
압권,257
의문,256
있어요,255
냄새,254
카시오페아,254
스크린,253
방법,248
루시,248
영화지만,247
장면들,246
무섭고,244
그대들,243
세월,243
선생님,240
살인마,236
약간,236
명품,235
압도,233
뒤죽박죽,233
분들,231
유머,229
코믹,229
질문,228
변화,228
상영,227
소중함,227
충격적,226
감정이입,226
옛날,225
한지민,225
상태,224
영상미,224
전반적,224
휴지,223
관점,223
지우개,217
기대이상,216
돌아보게,215
김병수,215
배우분,214
별거,214
두려움,210
모르겠지만,209
중반부,208
클리셰,208
축복,207
지루함,207
혼돈,207
비극,206
묘사,206
관객들,205
앤소니,204
영화화,203
뭐지,203
뒤로,203
어이가리,202
안소니홉킨스,202
영화들,202
놀란감독,202
심장,201
몇번,200
그냥저냥,200
약혼자,199
로망,199
기억상실,198
막판,198
코미디,198
각자,198
도대체,197
환상,196
깨닫게,196
기억들,196
캐스팅,195
좋았네요,194
망상,193
거짓,192
잎사귀,192
하루하루,192
공기,191
아카데미,191
배우님들,191
실감,190
새삼,190
10분,190
웹툰,188
소름끼,187
포스터,187
동화,187
극적,185
2시간,184
병을,182
어르신,182
불륜,181
남네요,180
손자,180
흑백,179
줄거리,178
액션,178
의지,178
영화속,177
엘리,177
나레이션,177
조각,176
예측,176
당황,174
피해자,174
평이,173
요양원,172
설경구배우,171
아이러니,171
짱짱,171
워낙,171
폭풍,170
테넷,170
태주,169
희망,169
않아요,169
노부부,168
압도적,168
alice,167
레너드,167
남주혁,167
이순재,166
오달수,166
주연배우,166
언어,165
여러가지,165
감정선,164
무언가,164
한국판,164
착각,163
비현실적,163
출연,163
복선,162
연기짱,161
꿀잼,161
설경구배우님,160
그나마,160
당사자,160
싶을,159
장수,159
연기자,159
상영관,159
기억속,159
장수상회,158
선물,157
cgv,157
간접,156
절망,156
취향,156
200,155
호흡,155
어디서,154
강제,153
괜찮아요,153
연기자들,153
짜임새,152
강제규,152
김남길씨,152
폭력,151
올리비아,151
10화,150
줄줄,150
판타지,149
무서움,149
조합,149
당시,148
낭만,148
메모,147
호불호,147
호빵맨,147
존경,146
뜬금,146
설경구김남길,146
콧물,146
흡입력,146
능력,145
말할것도,144
헨리,144
어렵네요,143
예쁘고,143
갈등,142
눈물샘,142
온몸,142
운명,142
요양,141
그렇다고,141
깜짝,141
연기들,140
할수,140
아네스,139
어땠을까,139
약혼남,139
한순간,139
쏘쏘,139
선생,139
덕출,139
주인공들,138
포장,138
포인트,138
둘다,138
경찰,137
어디까지,137
용서,137
ost,137
사실적,136
로코,136
늙고,136
조연,135
사회적,135
박인환,135
예고편,134
초반부,134
준하,134
우리나라,134
윤정희,134
극중,132
있는지,132
대부분,132
경계,131
철수,131
1인칭,131
복수,130
길게,130
스타일,130
사랑이야기,130
배우연기,129
클래식,129
어딘가,128
박하사탕,128
질질,128
헷갈리게,128
10점,128
상상력,127
흥행,127
줄리앤,127
컬러,127
초중반,126
심정,126
김남길님,126
청춘,125
인물들,125
알츠하이머병,125
하드캐리,125
울었습니다,125
보냅니다,124
인셉션,124
아저씨,124
슬프게,124
만드네요,123
교차,123
현실감,122
아카데,122
윤여정,121
서스펜스,121
범죄,121
태도,121
슬프기도,120
신경,120
포스,120
구조,119
한마디,119
실화,119
책과는,119
국제시장,119
천재적,119
설득력,119
샌들러,118
명배우,118
좋을듯,117
못하게,117
해피엔딩,117
발레,117
본것,116
카메라,116
낭만적,116
보고싶네요,115
멜로영화,115
러닝,115
걸작,114
시사회,114
형태,114
두배우,114
뭐야,114
차이,113
가해자,113
아이돌,113
공포영화,112
경우,111
두분,111
오민애,111
용기,110
여주인공,110
설경규,110
우리네,110
엔딩크레딧,110
새미,110
번째,110
호연,109
