category,word,score
1991,기적,273
1991,사랑,226
1991,로버트,205
1991,로빈,185
1991,감동,173
1991,드니로,144
1991,우리,101
1991,환자,98
1991,감동적,97
1991,레너드,91
1991,배우,91
1991,순간,84
1991,실화,81
1991,장면,62
1991,제목,54
1991,인생,45
1991,작품,35
1991,모습,32
1991,정말,26
1991,가슴,26
1991,치료,26
1991,자체,24
1991,바탕,24
1991,로빈윌리엄스,24
1991,스토리,22
1991,의지,21
1991,존재,20
1991,신경,20
1991,내용,16
1991,약물,12
1991,눈빛,10
1991,마샬,9
1991,좋은영화,9
1991,원작,8
1991,의식,8
1991,과학,7
2000,기억,4039
2000,놀란,3692
2000,감독,1762
2000,시간,1173
2000,재미,1037
2000,반전,917
2000,스토리,745
2000,자신,744
2000,작품,722
2000,해석,712
2000,내용,700
2000,주인공,677
2000,기록,676
2000,시작,673
2000,처음,615
2000,전개,574
2000,플롯,572
2000,진실,568
2000,구성,517
2000,마지막,499
2000,사실,487
2000,결말,478
2000,과거,445
2000,느낌,440
2000,인간,427
2000,재개봉,425
2000,퍼즐,425
2000,놀란감독,409
2000,관객,383
2000,소름,348
2000,이야기,346
2000,흑백,343
2000,테넷,339
2000,계속,334
2000,머리,332
2000,메모,329
2000,역순,318
2000,장면,308
2000,순간,301
2000,한번,296
2000,우리,293
2000,극장에서,284
2000,관람,277
2000,방식,268
2000,무엇,266
2000,레너드,251
2000,컬러,248
2000,많이,245
2000,스스로,244
2000,정신,240
2000,10분,236
2000,새미,222
2000,연출력,219
2000,천재적,218
2000,인셉션,215
2000,예전,212
2000,망각,205
2000,소재,202
2000,테디,199
2000,기억상실,198
2000,흐름,193
2000,반복,192
2000,중간,188
2000,사건,185
2000,부분,179
2000,진행,178
2000,초반,166
2000,단기기억,164
2000,뭔가,163
2000,연기,163
2000,그것,157
2000,역행,154
2000,끊임,152
2000,현실,152
2000,순서,147
2000,몰입감,146
2000,사진,145
2000,어렵네요,141
2000,정도,141
2000,복수,140
2000,엄청,138
2000,기억상실증,136
2000,자체,134
2000,마술,132
2000,거짓,131
2000,긴장,130
2000,아니다,128
2000,20년전,126
2000,듣고,123
2000,대박,123
2000,체험,120
2000,전화,120
2000,볼때,116
2000,명불허전,116
2000,개인적,116
2000,구조,114
2000,옛날,114
2000,각본,113
2000,분명,113
2000,크리스토퍼놀란,111
2000,인생,110
2000,교차,109
2000,상상,107
2000,경험,105
2000,코로나,105
2000,당시,103
2000,남자,103
2000,추리,102
2000,걸작,99
2000,데뷔작,95
2000,타투,94
2000,스크린,93
2000,세계,92
2000,모습,87
2000,감독님,86
2000,배우,84
2000,긴장감,83
2000,엔딩,83
2000,뭐지,83
2000,어렵고,83
2000,피어스,82
2000,능력,81
2000,독창적,81
2000,볼수,80
2000,주관,78
2000,발상,76
2000,주관적,76
2000,예술,74
2000,모두,74
2000,상실,71
2000,때문,70
2000,배치,70
2000,방법,69
2000,느끼게,68
2000,심리,67
2000,선택,65
2000,평점,65
2000,폴라로이드,64
2000,시나리오,64
2000,cgv,64
2000,기억력,64
2000,사람들,62
2000,재관람,62
2000,서사,61
2000,뒤죽박죽,60
2000,매력,60
2000,합리화,58
2000,집중력,57
2000,천재감독,56
2000,놀라게,56
2000,행동,55
2000,순행,54
2000,리마스터,53
2000,잊고,53
2000,기억손실,52
2000,기획전,52
2000,영화중,52
2000,리마스터링,52
2000,덕분,52
2000,소리,51
2000,환자,51
2000,객관적,50
2000,존잼,49
2000,추억,49
2000,의문,48
2000,정말,48
2000,문제,47
2000,의식,47
2000,추적,47
2000,상태,46
2000,등장,46
2000,인터스텔라,46
2000,반전영화,46
2000,역순행적,46
2000,배열,44
2000,효과,44
2000,설정,44
2000,교차편집,43
2000,있어요,43
2000,다크나이트,43
2000,이해못,43
2000,장르,43
2000,논란,43
2000,역주행,42
2000,고전,42
2000,농락,41
2000,워낙,41
2000,레전드,40
2000,목적,40
2000,고찰,39
2000,약간,38
2000,싶지,38
2000,시간순,38
2000,복습,38
2000,기억손실증,38
2000,철학적,38
2000,포스터,37
2000,소름끼,37
2000,얘기,36
2000,중반,36
2000,역순행,36
2000,방향,35
2000,착각,35
2000,메멘토메멘토,35
2000,의지,34
2000,상영,34
2000,마무리,34
2000,모르게,34
2000,게임,34
2000,줄거리,33
2000,lies,33
2000,보기전,32
2000,감탄할,32
2000,무의식,32
2000,두뇌,32
2000,2시간,31
2000,칼라,31
2000,짜임새,31
2000,제목,30
2000,수준,30
2000,장애,30
2000,믿을수,30
2000,십분,29
2000,헷갈리긴,29
2000,팩트,29
2000,필름,29
2000,촬영,28
2000,실험적,28
2000,온몸,27
2000,포스,27
2000,변화,26
2000,진행방식,24
2000,제작,24
2000,최소한,24
2000,혼돈,24
2000,역방향,24
2000,있을것,24
2000,시퀀스,24
2000,체계,23
2000,고민,22
2000,이해할수,22
2000,단편,22
2000,할수,21
2000,완성도,20
2000,비디오,20
2000,다시보고,20
2000,앞뒤,20
2000,곱씹게,20
2000,기대한,20
2000,영상미,19
2000,있는데,19
2000,영화임,19
2000,묘미,19
2000,버전,19
2000,독백,18
2000,변주,18
2000,그자체,18
2000,승리,18
2000,표정,18
2000,오프닝,18
2000,차례,18
2000,종이,18
2000,촌스럽지,17
2000,엔딩크레딧,17
2000,취사선택,16
2000,두시간,16
2000,봉투,16
2000,놀란작품,16
2000,미스테리,16
2000,적응,15
2000,임팩트,15
2000,10년,15
2000,티비,15
2000,파헤,15
2000,변형,14
2000,음악,12
2000,시간순서,12
2000,어렴풋,12
2000,포함,12
2000,리뷰,12
2000,살인자,12
2000,1인칭,12
2000,이해력,12
2000,객관성,11
2000,취소,10
2000,역행순,10
2000,있는것,10
2000,정신줄,10
2000,되풀이,10
2000,퍼즐들,10
2000,스포일러,10
2000,변질,10
2000,순행적,9
2000,동안,9
2000,언급,8
2000,20분,8
2000,시리즈,5
2002,생각,44
2002,감동,41
2002,가족,34
2002,엄마,19
2002,가슴,12
2004,영화,3669
2004,사람,2849
2004,노아,2054
2004,앨리,1722
2004,레이첼,1488
2004,남자,1344
2004,내가,1331
2004,로맨스,1321
2004,눈물,1318
2004,손예진,1297
2004,첫사랑,1239
2004,맥아담스,1189
2004,마음,1175
2004,마지막,1093
2004,인생,1010
2004,매일,997
2004,정우성,996
2004,그냥,938
2004,가슴,931
2004,여자,931
2004,가장,879
2004,당신,877
2004,처음,863
2004,노트북,844
2004,이야기,841
2004,감정,840
2004,장면,786
2004,이렇게,770
2004,라이언,675
2004,배우,669
2004,명작,656
2004,그녀,650
2004,현실,646
2004,고슬링,633
2004,로맨틱,633
2004,모습,625
2004,스토리,591
2004,노트,590
2004,순간,572
2004,느낌,571
2004,결말,541
2004,여주,526
2004,주인공,501
2004,계속,491
2004,재개봉,489
2004,우리,481
2004,멜로,476
2004,선택,472
2004,남주,437
2004,작품,437
2004,재미,435
2004,평생,431
2004,연기,411
2004,감성,409
2004,내용,403
2004,너무나,401
2004,약혼자,398
2004,매력,398
2004,여운,383
2004,정도,382
2004,루시,381
2004,한국,379
2004,시절,371
2004,공감,367
2004,누군가,349
2004,근데,339
2004,부분,339
2004,그들,337
2004,불륜,331
2004,한번,326
2004,필요,314
2004,대사,305
2004,엔딩,302
2004,자체,297
2004,엄마,297
2004,지우개,294
2004,치매,291
2004,헨리,288
2004,연애,283
2004,약혼남,282
2004,노년,281
2004,초반,280
2004,아닐까,275
2004,철수,266
2004,기적,265
2004,여름,263
2004,소재,262
2004,동화,260
2004,엘리,259
2004,코미디,258
2004,로코,258
2004,클리셰,256
2004,볼때,252
2004,오늘,251
2004,배우들,250
2004,낭만,247
2004,하루,244
