"작성자","평점","좋아요","댓글수","리뷰"
"꽁치의맛","5.0","281","1","신기한 일이다. 영화에서 말한 것처럼 영화를 볼 때는 아무렇지 않았던 것들이 영화에 대해 말하려 할 때 울컥 터져나온다."
"이동진 평론가","4.5","234","1","나이를 먹어감에 따라 문득문득 떠오를 어떤 영화."
"홍경숙","4.5","229","0","노인에 관한 영화지만, 노인에게 추천할 수 없는 영화."
"재원","4.5","212","0","슬프지만 함부로 동정할 수 없고,
야속하지만 함부로 비난할 수 없으며,
참담하지만 감히 비극이라 칭할 수 없고,
고통스럽지만 결코 쉽게 외면할 수 없는,
지독하리만큼 현실적인 황혼의 로맨스."
"ouiterant","5.0","193","2","""만약 내가 아직 그 카드를 가지고있었다면 별이 가득한 광경을 보여줄텐데""
그러나 그녀의 마지막은 꽃으로 둘러싼 그의 모습에서
삶은 그렇게나 힘들었으나
당신은 내 삶에 행복이었다고"
"JI","4.5","179","4","죽일 만큼 사랑해. 어물쩍 살아가는 나는 살아도 죽은거야. 하염없이 가라앉아도 사랑은 바닥이 없어. 누구도 위로해 줄 수 없는 밤  그대를 보내고 나는 쓴다."
"이민철","4.5","155","0","죽음은 어느날 자물쇠를 부수고 들어와 값나가는 그림들을 가져갔네"
"탈지구 기원자","4.0","117","0","고정된 카메라, 흘러간 세월. 
고요한 화면, 뜨겁게 북받히는 감정. 

사랑과 이별, 생과 죽음의 필연성.
그 가운데서 그저 잠잠히 유영할 수 밖에 없는 인간."
"이의현","5.0","101","0","추하게 늙지 않을 권리는 나에게 없는가. 가장 아름다울 때 나의 삶을 끝낼 권리는 없는가. 내가 더 이상 인간이 아니라면, 나를 죽이는 것은 살인인가. 고통, 연민, 죽음에 관한 치밀한 묘사."
"𝚂𝚎𝚗𝚍𝚘𝚑𝟽𝟿𝟸𝟹","4.0","90","0","함께 늙어가는 우아한 노부부의 적나라한 현실. 역시 미하엘 하네케답다. 지혜와 연륜의 노년도 젊은 시절의 총기와 건강을 송두리째 앗아가는 시간 앞에선 비참할 뿐이다."
"김혜리 평론가 봇","4.0","86","0","집에 관한 가장 슬픈 영화"
"무비라이프","4.5","72","0","사랑의 總天然色 . 
남자가 여자를 사랑하지 않는다고 그 누구도 말하지 못한다. 그 사랑이 어떤 색인지 그 누구도 말하지 못하지만, 우리는 사랑이라 부른다"
"이근혜","4.5","68","2","씬과 씬 사이가 고요로 묶여있다. 그 고요는 사랑의 깊이를 말해준다. 비참한 모습인 채로 사랑받는 것의 고통, 사랑한다면 언젠가는 맞을 상대방의 죽음. 영화가 아니라, 현실이다."
"Camellia","4.0","64","1","철썩, 꿀꺽. 그 소리가 귓가에 엉겨 잠이 안 왔어. 별뿐이라 캄캄한 밤. 밤새 눈을 질끈 감고 별 닮은 꽃의 소리를 떠올렸지. 바스락. 바스락. 그 건조한 소릴 듣고 또 들으니 그만 울어야지 싶더라. 내겐 이 영화에 대해 물은 사람이 아직 없거든."
"김형태","4.0","63","0","눈물을 강요하지않아서 좋다 대사 없이 조용한 시퀀스들이 좋다"
"서영욱","3.5","61","0","이별할 준비 같은 건 애초에 없다.."
"Cinephile","4.0","60","0","영화가 부여한 보호자로서의 우위를 거부하고, 동등한 지위의 연인이 되어 카메라 밖 세계로 나가버린다. 사랑의 관념을 선언하고 무대를 치워버리는 태도가 한편으론 과하게 미학적인 영화"
"EK","5.0","56","0","무미건조하고 느린, 간만의 외출은 장례식, 간만에 찾아온 손님은 노골적인 무료함에 몸부림치다 심심치 않은 위로의 말만 전하고 도망친, 우리의 미래이면서도 제일 무관심한 그들의 삶."
