iter	RMSE
0	42.73743064
1	39.53277662
2	36.55233974
3	33.95004922
4	31.56404881
5	29.37406489
6	27.44394774
7	25.67694633
8	24.04870953
9	22.65355405
10	21.41574831
11	20.21182429
12	19.21433494
13	18.32713822
14	17.43749218
15	16.65067945
16	15.96804489
17	15.37476915
18	14.80056148
19	14.29643226
20	13.73161147
21	13.33364953
22	12.94833463
23	12.60139246
24	12.28348774
25	11.87650056
26	11.59212399
27	11.28050366
28	10.99008453
29	10.75365659
30	10.55836133
31	10.37287149
32	10.19434818
33	10.05470088
34	9.890662262
35	9.691926569
36	9.481268727
37	9.372939722
38	9.234141059
39	9.158457187
40	9.015668419
41	8.945152498
42	8.85959787
43	8.76112908
44	8.609851914
45	8.531399269
46	8.444162544
47	8.382907758
48	8.327244842
49	8.229308648
50	8.109729519
51	8.04745976
52	7.970551938
53	7.929197728
54	7.849816005
55	7.800916417
56	7.758502042
57	7.687441234
58	7.62631419
59	7.574634543
60	7.505271943
61	7.443133809
62	7.38951285
63	7.328508731
64	7.281481108
65	7.234439464
66	7.129570335
67	7.100967976
68	7.063079905
69	6.945035501
70	6.897993485
71	6.870198211
72	6.835509691
73	6.774002671
74	6.735368414
75	6.652521851
76	6.610206253
77	6.589182242
78	6.489831877
79	6.456920872
80	6.408573261
81	6.369537143
82	6.340711212
83	6.31684906
84	6.280987227
85	6.235091118
86	6.173812883
87	6.139101241
88	6.12075378
89	6.096906045
90	6.069497201
91	6.048040121
92	6.025876292
93	5.988570509
94	5.9621181
95	5.908367288
96	5.884400382
97	5.848796179
98	5.820779908
99	5.793021888
