iter	Passed	Remaining
0	184	18290
1	206	10105
2	222	7184
3	235	5661
4	250	4768
5	266	4168
6	279	3717
7	293	3378
8	307	3109
9	322	2900
10	336	2722
11	352	2583
12	367	2458
13	381	2343
14	396	2245
15	410	2157
16	425	2075
17	440	2007
18	455	1941
19	468	1874
20	483	1817
21	497	1762
22	511	1712
23	524	1660
24	537	1613
25	552	1571
26	567	1533
27	579	1490
28	592	1451
29	606	1415
30	621	1382
31	635	1349
32	650	1320
33	663	1287
34	677	1258
35	690	1228
36	704	1198
37	718	1171
38	731	1143
39	745	1118
40	759	1093
41	773	1067
42	786	1042
43	801	1019
44	813	994
45	828	972
46	842	950
47	855	926
48	868	903
49	881	881
50	895	860
51	909	839
52	922	818
53	936	797
54	952	779
55	966	759
56	980	739
57	995	720
58	1010	702
59	1026	684
60	1040	665
61	1054	646
62	1068	627
63	1082	609
64	1096	590
65	1111	572
66	1124	554
67	1140	536
68	1154	518
69	1169	501
70	1183	483
71	1197	465
72	1211	448
73	1224	430
74	1238	412
75	1253	395
76	1266	378
77	1279	361
78	1293	343
79	1306	326
80	1319	309
81	1333	292
82	1348	276
83	1362	259
84	1375	242
85	1389	226
86	1404	209
87	1417	193
88	1432	177
89	1445	160
90	1459	144
91	1473	128
92	1486	111
93	1501	95
94	1515	79
95	1530	63
96	1544	47
97	1559	31
98	1574	15
99	1587	0
