word,score
조국 아들,10
2020학년도,9
서울시교육청,9
유치원 3법,8
촉법소년,7
서울교육청,7
경기도교육청,6
경희사이버대학교,6
사립대 등록금,5
교육부 촉법소년,5
등록금 인상,5
사립유치원,5
의견서 제출,5
충남교육청,5
정부에 의견서,5
정시 경쟁률,5
어린이집 원장,4
조지워싱턴대,4
자유학년제,4
열려라 공부,4
2021학년도,4
교육부,4
등록금,4
서울교육청 조국,3
서울시교육청 조국,3
충남도교육청,3
중1 자유학년제,3
2020학년도 정시모집,3
금지 신입생,3
촉법소년 연령,3
원장 자격,3
고교학점제,3
장학금,3
유권자 14만명,3
고교생 유권자,3
전북 대학,3
겨울방학,3
3법 통과,3
한국당,3
인권위 어린이집,3
재수정규반,3
신입생,3
편입생 모집,3
자사고,3
정부에,3
유치원,3
2020년,3
교육부 종합감사,2
조원태 한진,2
한국사능력검정시험,2
아산교육지원청,2
변호사시험 석차,2
메가스터디 기숙학원,2
마지막 졸업식,2
교육부장관 표창,2
동국제강,2
자유학년제 전면,2
블랙독 서현진,2
기초학력 진단,2
영남이공대학교,2
대구보건대,2
이재정 교육감,2
조원태,2
공부법,2
자유학기제,2
7등급은 용접,2
망언 류석춘,2
조금 먼저,2
전국 16개,2
정답 공개,2
인증기관 선정,2
교사들 집유,2
기간제 교사,2
유권자 14만여명,2
학교폭력,2
출제 정답,2
석차 공개하라,2
초등학교,2
서초 메가스터디,2
사법연수원,2
교사 경력,2
열매 김인숙,2
신규 검사장,2
신입생 모집,2
서울사이버대,2
기초학력,2
역경의 열매,2
정시모집,2
7등급은,2
교육감,2
고3 유권자,2
이선중,2
변호사,2
등록금 동결,2
사관학교,2
2020 신년사,2
법무부,2
정시모집 경쟁률,2
학부모 98,2
2020 대입,2
공모,2
진중권의 돌직구,1
2021학년도 대입,1
고교학점제 연구학교,1
촉법소년 만13세로,1
전북지역 대학들,1
법무부 변호사시험,1
희망을만드는법 김수정,1
소년판 삼청교육대,1
선거교육 공동추진단,1
제4차 학교폭력,1
동국제강 17년째,1
경희사이버대학교 오는,1
교육기부 진로체험,1
진로체험 인증기관,1
초등 입학생,1
조희연 서울시교육감,1
시민정보화 교육,1
과학교실 진행,1
농업인실용교육,1
스스로 부모학교,1
