username,date,rating,review,likes,dislikes
sean****,2021.01.08. 17:21,8,전쟁 범죄자들은 끝까지 찾아서 단죄 해야한다,23,2
7upk****,2020.06.28. 21:27,9,우리나라도 이렇게 반민족주의자들에게 집요하게 복수를 했으면 좋겠다.,22,8
mixe****,2020.09.09. 19:15,10,잔잔하게 기억에 남는 영화,9,2
kang****,2022.12.15. 21:07,7,"우리는 과거를 잊지만 과거는 우리를 잊지 않는다, 복수는 나의것? 나는 복수의 것..",5,1
zxc1****,2023.01.11. 21:06,7,"한국 리메이크 영화인 “리멤버”보다 훨씬 완성도가 높은 원작이다. 범죄를 저지른 인물을 차근차근 쫓아가는 과정은 흥미롭고, 결말에서 보여주는 반전은 놀라울 정도로 신선해서 인상적이다.",4,1
susu****,2023.02.13. 21:10,10,도대체 이 영화는 어디서 볼 수 있는 건가요?,5,2
ylah****,2020.08.20. 19:26,9,강렬한 후반부 결말이 인상적,3,1
oris****,2022.11.08. 23:33,8,간결한 소품인데 꽤나 인상적이다. 특히 반전이 나올때 전혀 예측하지 못했다.,2,1
kyys****,2024.09.04. 10:26,7,재있게 봤어요. 마지막즈음 ...혹시나했는데역시나더군요,0,0
duck****,2024.08.13. 15:11,8,마지막 반전이 일품이네요. 한국판 리메이크가 아쉬운 영화였어요. 강렬한 반전에 와우!!,0,0
kim1****,2024.05.14. 04:09,10,상처는 아물지만 흉터는 오래간다.,0,0
vm4e****,2023.02.28. 21:26,8,짧지만 강렬했던 한방이 기억에 남는..,0,0
adiv****,2023.01.06. 10:25,7,마지막 반전과 함께 깔끔한 마무리,0,0
baks****,2023.02.06. 01:41,7,패망한 나치 제3제국의 망령의 부활?대일본제국을 연상시킴.스스로 독립하지 못하고 남들이 안겨준 자유와평화를 누리고 살면서 반민족주의자들을 어떻게 처단하고 살래?입털기신공의 소유자들,0,1
wsco****,2022.12.18. 04:31,10,이렇게 끝나다니 너무 강렬하네여,0,1
area****,2022.11.02. 05:41,7,기억을 잃는다고 해서 사람의 본성이 변하지는 않는다는 점을 감안하면 마지막 반전이 조금 억지스럽긴 하다.,0,2
made****,2022.12.14. 09:11,2,자기 자신과의 싸움.,0,3
jiho****,2020.12.26. 06:12,2,정보 없음,1,11
java****,2021.01.11. 00:14,8,"정부가 반일선동을 하고 있다.. 국제법상 우리가 아직도 어거지를 부리고 있다.., 라는 진영논리에 눈이 먼 언제까지 과거에 살래식의 일본 극우 논리가 더 득세하는 안타까운 현실...",12,32
