,epoch,step,train_loss,eval_loss,eval_accuracy
1,1.0,767,,0.7107031941413879,0.7123064384678076
4,2.0,1534,,0.6987268924713135,0.7105134474327628
6,3.0,2301,,0.6747401356697083,0.7253463732681337
9,4.0,3068,,0.800331711769104,0.6960065199674002
11,5.0,3835,,1.0006638765335083,0.7158924205378973
14,6.0,4602,,1.0851080417633057,0.6945395273023635
16,7.0,5369,,1.2244406938552856,0.6947025264873675
19,8.0,6136,,1.3757933378219604,0.7054604726976366
21,9.0,6903,,1.6358799934387207,0.7057864710676447
24,10.0,7670,,1.7131245136260986,0.7105134474327628
