category,word,score
2020.0,전달,819
2020.0,지원,746
2020.0,코로나19,680
2020.0,캠페인,477
2020.0,기부,474
2020.0,코로나,338
2020.0,진행,332
2020.0,수상,293
2020.0,극복,281
2020.0,사랑의,273
2020.0,선정,249
2020.0,활동,214
2020.0,후원,180
2020.0,온라인,169
2020.0,성금,168
2020.0,나눔,167
2020.0,마스크,167
2020.0,임직원,166
2020.0,삼성전자,165
2020.0,연속,164
2020.0,대한민국,156
2020.0,프로젝트,150
2020.0,아동,149
2020.0,언택트,149
2020.0,모집,149
2020.0,비대면,149
2020.0,체결,146
2020.0,현대차,146
2020.0,청소년,143
2020.0,봉사활동,136
2020.0,장학금,131
2020.0,신한카드,130
2020.0,대학생,127
2020.0,글로벌,126
2020.0,2020,124
2020.0,기부금,124
2020.0,대상,112
2020.0,기탁,112
2020.0,실시,105
2020.0,지역,105
2020.0,기증,105
2020.0,기업,104
2020.0,사회공헌,95
2020.0,친환경,95
2020.0,헌혈,94
2020.0,현대차그룹,93
2020.0,소상공인,93
2020.0,삼성,91
2020.0,한국타이어,90
2020.0,동참,84
2020.0,전국,83
2020.0,연말,81
2020.0,어린이,79
2020.0,프로그램,79
2020.0,저소득,79
2020.0,기아차,79
2020.0,후원금,77
2020.0,스타트업,77
2020.0,실천,76
2020.0,전개,75
2020.0,발간,75
2020.0,가치,74
2020.0,챌린지,74
2020.0,한화그룹,73
2020.0,행사,72
2020.0,하이트진로,71
2020.0,국내,67
2020.0,lg화학,67
2020.0,나선다,67
2020.0,확대,67
2020.0,신한은행,67
2020.0,디지털,67
2020.0,오비맥주,66
2020.0,장애인,66
2020.0,2020년,65
2020.0,조성,65
2020.0,봉사단,65
2020.0,브랜드,65
2020.0,추진,64
2020.0,사업,63
2020.0,활성화,62
2020.0,현대엔지니어링,61
2020.0,확산,61
2020.0,부산,61
2020.0,일자리,61
2020.0,창출,60
2020.0,저소득층,60
2020.0,착한,59
2020.0,청년,58
2020.0,1억원,58
2020.0,장관상,58
2020.0,참여,58
2020.0,클린리더스,57
2020.0,공모,56
2020.0,사장,56
2020.0,강화,54
2020.0,공모전,54
2020.0,카카오,53
2020.0,sk하이닉스,53
2020.0,지원사업,53
2020.0,지속가능경영보고서,52
2020.0,봉사,52
2020.0,운영,52
2020.0,교육,52
2020.0,lg전자,51
2020.0,상당,51
2020.0,출시,51
2020.0,돕는다,50
2020.0,물품,50
2020.0,홈앤쇼핑,49
2020.0,태광그룹,49
2020.0,에쓰오일,49
2020.0,오픈,49
2020.0,한화,49
2020.0,시상식,48
2020.0,만들기,48
2020.0,지속가능경영,47
2020.0,경영,47
2020.0,출범,47
2020.0,선물,46
2020.0,표창,46
2020.0,nh농협은행,45
2020.0,spc그룹,45
2020.0,베트남,45
2020.0,행복,45
2020.0,지난해,44
2020.0,하이투자증권,44
2020.0,보건복지부,44
2020.0,제공,43
2020.0,인정기업,43
2020.0,릴레이,42
2020.0,돌파,42
2020.0,포토,41
2020.0,현대모비스,41
2020.0,펼쳐,41
2020.0,손잡고,41
2020.0,집중호우,41
2020.0,kt스카이라이프,41
2020.0,kb국민은행,41
2020.0,독거노인,41
