category,word,score
2020.0,지원,283.0
2020.0,전달,251.0
2020.0,사회공헌,249.0
2020.0,기부,249.0
2020.0,코로나19,209.0
2020.0,캠페인,162.0
2020.0,수상,151.0
2020.0,진행,145.0
2020.0,2020,141.0
2020.0,극복,124.0
2020.0,개최,122.0
2020.0,코로나,121.0
2020.0,나눔,118.0
2020.0,사랑의,110.0
2020.0,선정,104.0
2020.0,성금,101.0
2020.0,후원,99.0
2020.0,실시,92.0
2020.0,활동,90.0
2020.0,대상,90.0
2020.0,아동,80.0
2020.0,기업,78.0
2020.0,체결,77.0
2020.0,취약계층,75.0
2020.0,마스크,71.0
2020.0,모집,69.0
2020.0,회장,69.0
2020.0,온라인,68.0
2020.0,연속,67.0
2020.0,기탁,67.0
2020.0,협약,67.0
2020.0,사회적,67.0
2020.0,언택트,64.0
2020.0,임직원,63.0
2020.0,비대면,62.0
2020.0,대한민국,62.0
2020.0,업무협약,62.0
2020.0,삼성전자,60.0
2020.0,기부금,60.0
2020.0,동참,59.0
2020.0,지역,59.0
2020.0,현대차,58.0
2020.0,청소년,57.0
2020.0,어린이,57.0
2020.0,프로젝트,56.0
2020.0,헌혈,56.0
2020.0,봉사활동,55.0
2020.0,삼성,54.0
2020.0,가치,54.0
2020.0,대학생,53.0
2020.0,장학금,53.0
2020.0,사회공헌활동,53.0
2020.0,기증,53.0
2020.0,글로벌,53.0
2020.0,실천,50.0
2020.0,표창,50.0
2020.0,신한카드,49.0
2020.0,참여,48.0
2020.0,대표,48.0
2020.0,상당,48.0
2020.0,사업,48.0
2020.0,교육,46.0
2020.0,행사,46.0
2020.0,피해,46.0
2020.0,소외계층,45.0
2020.0,추진,45.0
2020.0,전개,44.0
2020.0,2020년,44.0
2020.0,기아차,42.0
2020.0,발간,41.0
2020.0,앞장,41.0
2020.0,조성,41.0
2020.0,나서,40.0
2020.0,공모,40.0
2020.0,전국,39.0
2020.0,연말,39.0
2020.0,친환경,39.0
2020.0,창출,39.0
2020.0,소상공인,38.0
2020.0,취약계층에,38.0
2020.0,지역사회공헌,37.0
2020.0,출시,37.0
2020.0,운영,37.0
2020.0,kt,37.0
2020.0,후원금,37.0
2020.0,확대,37.0
2020.0,착한,37.0
2020.0,사장,36.0
2020.0,현대차그룹,36.0
2020.0,프로그램,36.0
2020.0,릴레이,36.0
2020.0,포토,36.0
2020.0,물품,35.0
2020.0,한국타이어,35.0
2020.0,1위,35.0
2020.0,경영,35.0
2020.0,따뜻한,35.0
2020.0,펼쳐,35.0
2020.0,1억원,35.0
2020.0,오픈,35.0
2020.0,이웃사랑,34.0
2020.0,저소득,34.0
2020.0,지역사회,34.0
2020.0,브랜드,34.0
2020.0,국내,34.0
2020.0,esg,33.0
2020.0,나선다,33.0
2020.0,mou,33.0
2020.0,챌린지,33.0
2020.0,스타트업,32.0
2020.0,lg화학,32.0
2020.0,최초,32.0
2020.0,부산,32.0
2020.0,강화,31.0
2020.0,디지털,31.0
2020.0,한화그룹,31.0
2020.0,장애인,31.0
2020.0,제공,31.0
2020.0,일자리,31.0
2020.0,노사,31.0
2020.0,봉사,30.0
2020.0,사회,30.0
2020.0,확산,30.0
2020.0,하이트진로,30.0
2020.0,롯데,30.0
2020.0,청년,30.0
2020.0,선물,29.0
2020.0,예방,29.0
2020.0,부문,29.0
2020.0,활성화,29.0
2020.0,오비맥주,29.0
2020.0,시대,28.0
2020.0,spc그룹,28.0
2020.0,창립,28.0
2020.0,봉사단,28.0
2020.0,신한은행,28.0
2020.0,올해,28.0
2020.0,대구,27.0
2020.0,출범,27.0
2020.0,한화,27.0
2020.0,차량,27.0
2020.0,장관상,27.0
2020.0,저소득층,27.0
2020.0,맞손,26.0
2020.0,현대엔지니어링,26.0
2020.0,공모전,26.0
2020.0,희망,26.0
2020.0,미래,26.0
2020.0,지속가능경영보고서,25.0
2020.0,시작,25.0
2020.0,sk,25.0
2020.0,상생,25.0
2020.0,눈길,25.0
2020.0,에쓰오일,25.0
2020.0,제작,25.0
2020.0,세계,25.0
2020.0,금융,24.0
2020.0,카카오,24.0
2020.0,사회적가치,24.0
2020.0,홈앤쇼핑,24.0
2020.0,lg전자,24.0
2020.0,돌파,24.0
2020.0,동행,24.0
2020.0,육성,24.0
2020.0,기금,24.0
2020.0,sk하이닉스,24.0
2020.0,넷마블문화재단,24.0
2020.0,클린리더스,24.0
2020.0,롯데건설,23.0
2020.0,태광그룹,23.0
2020.0,성료,23.0
2020.0,돕는다,23.0
2020.0,csr,23.0
2020.0,위기,23.0
2020.0,지원사업,23.0
2020.0,인정기업,23.0
2020.0,시상식,23.0
2020.0,베트남,23.0
2020.0,여성,23.0
2020.0,공동,23.0
2020.0,이웃에,22.0
2020.0,발표,22.0
2020.0,응원,22.0
2020.0,공개,22.0
2020.0,2억원,22.0
2020.0,쾌척,22.0
2020.0,hug,22.0
2020.0,nh농협은행,21.0
2020.0,행복,21.0
2020.0,인재,21.0
2020.0,만들기,21.0
2020.0,개선,21.0
2020.0,책임,21.0
2020.0,지속가능경영,21.0
2020.0,이웃돕기,21.0
2020.0,서울시,21.0
2020.0,ktg,21.0
2020.0,도시락,21.0
2020.0,코리아,21.0
2020.0,효성,21.0
2020.0,돕기,20.0
2020.0,가장,20.0
2020.0,맞이,20.0
2020.0,장관,20.0
2020.0,하이투자증권,20.0
2020.0,다양한,20.0
2020.0,지난해,20.0
2020.0,환경,20.0
2020.0,지속,20.0
2020.0,포스코,20.0
2020.0,롯데하이마트,20.0
2020.0,어르신,20.0
2020.0,호반그룹,20.0
2020.0,규모,20.0
2020.0,독거노인,20.0
2020.0,추석,20.0
2020.0,대응,19.0
2020.0,1억,19.0
2020.0,kcc,19.0
2020.0,이벤트,19.0
2020.0,연탄,19.0
2020.0,아동에,19.0
2020.0,보건복지부,19.0
2020.0,서울,19.0
2020.0,스타벅스,19.0
2020.0,10억원,19.0
2020.0,서포터즈,19.0
2020.0,멘토링,19.0
2020.0,5000만원,19.0
2020.0,최우수,19.0
2020.0,사회공헌도,19.0
2020.0,kt스카이라이프,19.0
2020.0,손잡고,19.0
2020.0,최대,19.0
2020.0,어워드,19.0
2020.0,감사패,19.0
2020.0,최태원,19.0
2020.0,개관,18.0
2020.0,문화,18.0
2020.0,현대모비스,18.0
2020.0,ict,18.0
2020.0,협력,18.0
2020.0,아름다운,18.0
2020.0,집중호우,18.0
2020.0,성과,18.0
2020.0,현대위아,18.0
2020.0,lh,18.0
2020.0,kb국민은행,18.0
2020.0,도서관,18.0
2020.0,온정,18.0
2020.0,급여,18.0
2020.0,전통시장,18.0
2020.0,무료,18.0
2020.0,우리은행,18.0
2020.0,넷마블,18.0
2020.0,3억원,18.0
2020.0,행복얼라이언스,18.0
2020.0,3년,17.0
2020.0,신한금융희망재단,17.0
2020.0,재단,17.0
2020.0,사회공헌대상,17.0
2020.0,기여,17.0
2020.0,소외,17.0
2020.0,받아,17.0
2020.0,신중년,17.0
2020.0,그룹,17.0
2020.0,김장김치,17.0
2020.0,어려운,17.0
2020.0,하나금융,17.0
2020.0,제주,17.0
2020.0,함께하는,17.0
2020.0,존경받는,17.0
2020.0,업계,17.0
2020.0,구축,17.0
2020.0,투자,17.0
2020.0,실현,17.0
2020.0,인천,17.0
2020.0,정몽구,17.0
2020.0,수해,17.0
2020.0,돕는,17.0
2020.0,김치,17.0
2020.0,온택트,17.0
2020.0,판매,17.0
2020.0,적극,17.0
2020.0,유튜브,16.0
2020.0,한전,16.0
2020.0,해외,16.0
2020.0,소외계층에,16.0
2020.0,지원금,16.0
2020.0,모아,16.0
2020.0,자립,16.0
2020.0,코로나19로,16.0
2020.0,한수원,16.0
2020.0,사회공헌위원회,16.0
2020.0,공식,16.0
2020.0,겨울캠프,16.0
2020.0,추석맞이,16.0
2020.0,신한금융,16.0
2020.0,기념,16.0
2020.0,sbi저축은행,16.0
2020.0,가정,16.0
2020.0,kb국민카드,16.0
2020.0,양성,16.0
2020.0,최고,16.0
2020.0,농산물,16.0
2020.0,맞춤형,16.0
2020.0,서비스,16.0
2020.0,포스트,16.0
2020.0,우수기업,16.0
2020.0,발굴,16.0
2020.0,이재용,15.0
