,source,target,weight,Category
0,artificial,intelligence,2,medical
1,intelligence,help,1,medical
2,intelligence,potential,1,medical
3,help,identify,1,medical
4,help,researchers,1,medical
5,help,determine,1,medical
6,help,teams,1,medical
7,help,stop,1,medical
8,help,mitigate,1,medical
9,help,control,1,medical
10,help,resources,1,medical
11,help,older,1,medical
12,help,achieve,1,medical
13,help,reach,1,medical
14,help,fill,1,medical
15,help,reduce,1,medical
16,help,standardize,1,medical
17,help,suffering,1,medical
18,help,address,1,medical
19,identify,elder,11,medical
20,identify,intervene,1,medical
21,identify,types,1,medical
22,identify,abuse,1,medical
23,identify,prevent,1,medical
24,identify,potential,2,medical
25,identify,predisposing,1,medical
26,identify,predictors,1,medical
27,identify,systematic,1,medical
28,identify,respond,1,medical
29,identify,prevalence,1,medical
30,identify,help,1,medical
31,identify,categorize,2,medical
32,identify,independent,1,medical
33,identify,ea,1,medical
34,identify,important,1,medical
35,identify,factors,2,medical
36,identify,cases,1,medical
37,identify,suspected,1,medical
38,identify,patterns,1,medical
39,identify,ultimately,1,medical
40,identify,common,1,medical
41,identify,describe,1,medical
42,identify,themes,1,medical
43,identify,manage,1,medical
44,identify,address,1,medical
45,identify,details,1,medical
46,identify,health,1,medical
47,identify,demographic,1,medical
48,identify,cause,1,medical
49,identify,physical,1,medical
50,elder,abuse,370,medical
51,elder,mistreatment,71,medical
52,elder,protection,6,medical
53,elder,patients,1,medical
54,elder,physical,4,medical
55,elder,people,1,medical
56,elder,victim,1,medical
57,elder,neglect,12,medical
58,elder,elderly,1,medical
59,elder,trauma,1,medical
60,elder,persons,1,medical
61,elder,abuseneglect,1,medical
62,elder,psychological,2,medical
63,elder,caregiver,1,medical
64,elder,2,1,medical
65,elder,harm,1,medical
66,elder,illiterate,1,medical
67,elder,maltreatment,7,medical
68,elder,adult,1,medical
69,elder,financial,4,medical
70,elder,abuseneglectfinancial,1,medical
71,elder,exploitation,1,medical
72,abuse,neglect,120,medical
73,abuse,initiate,4,medical
74,abuse,development,1,medical
75,abuse,identification,5,medical
76,abuse,physical,5,medical
77,abuse,understanding,1,medical
78,abuse,differential,1,medical
79,abuse,older,13,medical
80,abuse,significantly,1,medical
81,abuse,program,1,medical
82,abuse,59,2,medical
83,abuse,25,1,medical
84,abuse,2,1,medical
85,abuse,seventyfive,1,medical
86,abuse,shelter,1,medical
87,abuse,recognized,1,medical
88,abuse,442,1,medical
89,abuse,252,1,medical
90,abuse,112,1,medical
91,abuse,83,1,medical
92,abuse,responsible,1,medical
93,abuse,african,2,medical
94,abuse,range,2,medical
95,abuse,characteristics,4,medical
96,abuse,resource,1,medical
97,abuse,identifying,2,medical
98,abuse,reported,5,medical
99,abuse,ncea,1,medical
100,abuse,alleged,1,medical
101,abuse,subtypes,1,medical
102,abuse,1939,1,medical
103,abuse,financial,5,medical
