category,word,score
health/care,abuse elder,271
health/care,abuse neglect,121
health/care,abuse psychological,28
health/care,abuse physical,23
health/care,abuse sexual,20
health/care,abuse financial,18
health/care,abuse elderly,18
health/care,abuse risk,15
health/care,abuse d,14
health/care,abuse types,14
health/care,abuse associated,13
health/care,abuse screening,12
health/care,abuse depression,11
health/care,abuse older,11
health/care,abuse nursing,9
health/care,abuse form,8
health/care,abuse andor,7
health/care,abuse emotional,7
health/care,abuse cases,6
health/care,abuse victims,6
health/care,abuse past,6
health/care,abuse overall,6
health/care,abuse reported,6
health/care,abuse child,6
health/care,abuse experience,5
health/care,abuse stafftoresident,5
health/care,abuse victimization,5
health/care,abuse residential,5
health/care,abuse study,5
health/care,abuse forms,5
health/care,abuse relationship,5
health/care,abuse experiences,5
health/care,abuse type,5
health/care,abuse common,5
health/care,abuse prevalence,5
health/care,abuse history,5
health/care,abuse family,5
health/care,abuse lifetime,5
health/care,abuse dementia,5
health/care,abuse r,5
health/care,abuse violence,4
health/care,abuse verbal,4
health/care,abuse hospitalized,4
health/care,abuse caring,4
health/care,abuse substance,4
health/care,abuse significant,4
health/care,abuse results,4
health/care,abuse questionnaire,4
health/care,abuse important,4
health/care,abuse general,4
health/care,abuse reduction,4
health/care,abuse experienced,3
health/care,abuse genderbased,3
health/care,abuse aor,3
health/care,abuse addressing,3
health/care,abuse decision,3
health/care,abuse neglected,3
health/care,abuse ea,3
health/care,abuse prevent,3
health/care,abuse country,3
health/care,abuse domestic,3
health/care,abuse communitydwelling,3
health/care,abuse different,3
health/care,abuse 19,3
health/care,abuse economic,3
health/care,abuse rs,3
health/care,abuse case,2
health/care,abuse caregivers,2
health/care,abuse vulnerable,2
health/care,abuse nh,2
health/care,abuse resident,2
health/care,abuse substantiation,2
health/care,abuse developing,2
health/care,abuse exposed,2
health/care,abuse veterans,2
health/care,abuse need,2
health/care,abuse observed,2
health/care,abuse rate,2
health/care,abuse preventing,2
health/care,abuse american,2
health/care,abuse determination,2
health/care,abuse perceived,2
health/care,abuse examine,2
health/care,abuse health,2
health/care,abuse total,2
health/care,abuse vulnerability,2
health/care,abuse sociodemographic,2
health/care,abuse phenomenon,2
health/care,abuse included,2
health/care,abuse individual,2
health/care,abuse found,2
health/care,abuse childhood,2
health/care,abuse estimates,2
health/care,abuse similar,2
health/care,abuse potential,2
health/care,abuse addressed,2
health/care,abuse dmistreated,2
health/care,abuse 24,2
health/care,abuse caregiving,2
health/care,abuse conceptualization,2
health/care,elder abuse,277
health/care,elder ly,55
health/care,elder mistreatment,49
health/care,elder s,34
health/care,elder prevalence,19
health/care,elder neglect,16
health/care,elder study,8
health/care,elder risk,8
health/care,elder victims,8
health/care,elder hospitalized,6
health/care,elder cases,5
health/care,elder types,5
health/care,elder domestic,5
health/care,elder maltreatment,5
health/care,elder experiences,5
health/care,elder chinese,5
health/care,elder perceptions,4
health/care,elder residenttoresident,4
health/care,elder predictors,4
health/care,elder prevention,4
health/care,elder reported,4
health/care,elder address,4
health/care,elder fatal,3
health/care,elder associated,3
health/care,elder identification,3
health/care,elder caregivers,3
health/care,elder perception,3
health/care,elder violence,3
health/care,elder characteristics,3
health/care,elder depression,3
health/care,elder screening,3
health/care,elder experienced,3
health/care,elder factors,3
health/care,elder form,3
health/care,elder rates,3
health/care,elder assessment,2
health/care,elder implicated,2
health/care,elder occurrence,2
health/care,elder death,2
health/care,elder dependence,2
health/care,elder significant,2
health/care,elder subtypes,2
health/care,elder nepal,2
health/care,elder associations,2
health/care,elder type,2
health/care,elder welfare,2
health/care,elder encountered,2
health/care,elder ipv,2
health/care,elder high,2
health/care,elder reportable,2
health/care,elder conscientiousness,2
health/care,elder protection,2
health/care,elder forms,2
health/care,elder validity,2
health/care,elder studies,2
health/care,elder stress,2
health/care,elder underreporting,2
health/care,elder awareness,2
health/care,elder related,2
health/care,elder concept,2
health/care,elder population,2
health/care,elder dwelling,2
health/care,elder literature,2
health/care,elder tool,2
health/care,elder malaysian,2
health/care,elder structures,2
health/care,elder relationship,2
health/care,elder experiencing,2
health/care,elder respect,2
health/care,elder traits,2
health/care,elder care,2
health/care,elder prevent,2
health/care,elder definitions,2
health/care,elder identify,2
health/care,elder analysis,2
health/care,elder knowledge,2
health/care,elder support,2
health/care,elder encounter,2
health/care,elder measure,2
health/care,elder identifying,2
health/care,elder allowed,1
health/care,elder selfreported,1
health/care,elder causes,1
health/care,elder health,1
health/care,elder setting,1
health/care,elder deficiencies,1
health/care,elder linked,1
health/care,elder pakistanis,1
health/care,elder safety,1
health/care,elder ea,1
health/care,elder pus,1
health/care,elder constitutes,1
health/care,elder students,1
health/care,elder questionnaire,1
health/care,elder primary,1
health/care,elder society,1
health/care,elder consider,1
health/care,elder 136,1
health/care,elder measurement,1
health/care,elder definition,1
health/care,older adults,109
health/care,older people,52
health/care,older neglect,21
health/care,older chinese,13
health/care,older patients,11
health/care,older abuse,11
health/care,older care,10
health/care,older communitydwelling,9
health/care,older persons,9
health/care,older sv,8
health/care,older women,8
health/care,older peoples,7
health/care,older study,5
health/care,older adult,4
