"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 30","678.19","662.68","679.68","661.92","644.55M","1.83%"
"2024- 12- 27","665.97","674.30","677.50","661.24","814.13M","-1.43%"
"2024- 12- 26","675.64","684.21","684.36","674.81","829.29M","-0.66%"
"2024- 12- 24","680.11","683.02","685.87","679.23","645.10M","0.13%"
"2024- 12- 23","679.24","674.26","683.16","671.09","657.71M","1.64%"
"2024- 12- 20","668.31","684.79","685.10","667.00","870.06M","-2.35%"
"2024- 12- 19","684.36","682.53","688.29","679.85","761.65M","-1.89%"
"2024- 12- 18","697.57","694.94","699.18","690.40","858.88M","0.45%"
"2024- 12- 17","694.47","699.52","699.52","691.58","981.79M","-0.58%"
"2024- 12- 16","698.53","699.81","701.67","695.67","1.00B","0.69%"
"2024- 12- 13","693.73","684.25","695.76","683.30","901.95M","1.52%"
"2024- 12- 12","683.35","680.97","687.00","674.31","1.04B","1.10%"
"2024- 12- 11","675.92","661.71","677.55","661.71","971.32M","2.17%"
"2024- 12- 10","661.59","635.94","661.60","635.94","917.26M","5.52%"
"2024- 12- 09","627.01","649.35","649.35","627.01","890.86M","-5.19%"
"2024- 12- 06","661.33","670.70","671.34","644.39","899.22M","-1.43%"
"2024- 12- 05","670.94","679.79","680.02","669.27","746.44M","-0.92%"
"2024- 12- 04","677.15","677.59","687.94","671.60","912.11M","-1.98%"
"2024- 12- 03","690.80","678.98","692.81","678.98","834.91M","2.21%"
"2024- 12- 02","675.84","684.15","687.70","675.78","735.01M","-0.35%"
"2024- 11- 29","678.19","694.24","694.24","677.08","888.67M","-2.33%"
"2024- 11- 28","694.39","694.96","697.91","691.61","927.24M","0.35%"
"2024- 11- 27","692.00","693.80","696.15","686.37","942.78M","-0.17%"
"2024- 11- 26","693.15","697.59","699.70","689.53","835.55M","-0.53%"
"2024- 11- 25","696.83","683.37","698.51","683.37","784.51M","2.93%"
"2024- 11- 22","677.01","682.37","689.99","676.06","849.33M","-0.54%"
"2024- 11- 21","680.67","683.10","685.91","672.83","1.02B","-0.33%"
"2024- 11- 20","682.91","689.03","691.00","682.03","934.12M","-0.47%"
"2024- 11- 19","686.12","690.45","691.13","682.50","894.68M","-0.50%"
"2024- 11- 18","689.55","683.53","697.45","681.00","875.26M","0.60%"
"2024- 11- 15","685.42","675.64","688.91","668.38","895.15M","0.57%"
"2024- 11- 14","681.56","694.16","702.08","681.30","819.60M","-1.17%"
"2024- 11- 13","689.65","708.52","712.83","689.64","866.79M","-2.94%"
"2024- 11- 12","710.52","728.72","729.07","707.96","896.08M","-2.51%"
"2024- 11- 11","728.84","744.86","745.42","727.04","836.84M","-1.96%"
"2024- 11- 08","743.38","739.91","746.89","739.66","766.83M","1.34%"
"2024- 11- 07","733.52","743.47","743.47","727.10","812.89M","-1.32%"
"2024- 11- 06","743.31","757.23","761.01","737.77","1.09B","-1.13%"
"2024- 11- 05","751.81","752.17","756.60","750.17","935.20M","-0.30%"
"2024- 11- 04","754.08","730.50","755.00","728.11","765.67M","3.43%"
"2024- 11- 01","729.05","735.67","736.26","729.05","747.07M","-1.89%"
"2024- 10- 31","743.06","734.25","743.22","728.34","792.64M","0.66%"
"2024- 10- 30","738.19","743.53","746.23","738.13","841.96M","-0.80%"
"2024- 10- 29","744.18","740.05","744.18","733.28","789.98M","0.50%"
"2024- 10- 28","740.48","729.75","740.67","729.75","644.67M","1.80%"
"2024- 10- 25","727.41","739.05","739.62","725.27","764.95M","-0.98%"
"2024- 10- 24","734.59","742.70","742.70","734.26","856.79M","-1.42%"
"2024- 10- 23","745.19","740.93","748.33","729.28","1.10B","0.93%"
"2024- 10- 22","738.34","758.72","758.72","738.33","1.08B","-2.84%"
"2024- 10- 21","759.95","754.35","761.62","749.64","825.15M","0.89%"
"2024- 10- 18","753.22","765.71","765.71","749.53","898.08M","-1.55%"
"2024- 10- 17","765.06","768.15","769.69","763.21","918.80M","-0.10%"
"2024- 10- 16","765.79","769.19","769.69","764.97","874.30M","-1.04%"
"2024- 10- 15","773.81","773.37","777.00","768.13","971.99M","0.46%"
"2024- 10- 14","770.26","770.85","771.75","765.27","787.26M","-0.09%"
"2024- 10- 11","770.98","779.00","781.12","769.68","921.39M","-0.58%"
"2024- 10- 10","775.48","781.91","784.03","772.70","747.79M","-0.35%"
"2024- 10- 08","778.24","776.37","782.85","776.20","1.00B","-0.35%"
"2024- 10- 07","781.01","774.77","781.56","771.11","822.06M","1.56%"
"2024- 10- 04","768.98","763.73","775.05","763.20","892.00M","0.90%"
"2024- 10- 02","762.13","757.30","769.69","754.38","1.04B","-0.23%"
"2024- 09- 30","763.88","777.06","777.20","762.67","961.43M","-1.37%"
"2024- 09- 27","774.49","777.72","780.91","773.36","985.78M","-0.60%"
"2024- 09- 26","779.18","764.33","779.18","764.15","1.07B","2.62%"
"2024- 09- 25","759.30","769.87","771.77","758.02","1.24B","-1.05%"
"2024- 09- 24","767.35","757.37","767.37","757.23","908.83M","1.62%"
"2024- 09- 23","755.12","749.24","757.85","747.83","723.26M","0.91%"
"2024- 09- 20","748.33","746.13","750.75","745.32","864.23M","1.19%"
"2024- 09- 19","739.51","738.41","740.31","729.93","1.10B","0.86%"
"2024- 09- 13","733.20","733.36","734.35","726.37","1.02B","0.30%"
"2024- 09- 12","731.03","719.29","733.81","719.29","870.76M","3.05%"
"2024- 09- 11","709.42","709.50","718.65","706.93","1.05B","0.46%"
"2024- 09- 10","706.20","717.97","719.40","706.12","910.27M","-1.16%"
"2024- 09- 09","714.46","696.25","716.11","693.86","784.08M","1.11%"
"2024- 09- 06","706.59","725.88","726.48","705.67","861.74M","-2.58%"
"2024- 09- 05","725.28","736.96","740.23","718.25","950.49M","-0.88%"
"2024- 09- 04","731.75","738.59","741.52","729.32","1.01B","-3.76%"
"2024- 09- 03","760.37","769.68","773.15","760.07","849.51M","-1.15%"
"2024- 09- 02","769.21","769.85","770.01","764.15","742.71M","0.20%"
"2024- 08- 30","767.66","758.19","768.31","757.87","823.30M","1.54%"
"2024- 08- 29","756.04","756.33","758.99","754.00","837.87M","-0.85%"
"2024- 08- 28","762.50","766.32","767.28","761.06","868.58M","-0.32%"
"2024- 08- 27","764.95","765.10","767.37","757.08","833.34M","-0.24%"
"2024- 08- 26","766.79","776.94","777.91","764.46","828.77M","-0.84%"
"2024- 08- 23","773.26","765.49","774.20","764.83","904.33M","-0.03%"
"2024- 08- 22","773.47","782.59","783.89","768.48","950.99M","-0.82%"
"2024- 08- 21","779.87","783.98","784.92","775.30","1.07B","-0.96%"
"2024- 08- 20","787.44","783.73","787.95","783.35","997.06M","1.28%"
"2024- 08- 19","777.47","787.32","788.79","776.71","1.14B","-1.13%"
"2024- 08- 16","786.33","787.34","788.86","783.88","1.08B","1.22%"
"2024- 08- 14","776.83","775.11","778.66","774.17","1.11B","1.56%"
"2024- 08- 13","764.86","771.98","773.90","757.19","1.17B","-1.02%"
"2024- 08- 12","772.72","767.21","775.31","767.21","885.11M","1.08%"
"2024- 08- 09","764.43","759.91","768.21","759.91","843.85M","2.57%"
"2024- 08- 08","745.28","738.29","751.51","732.74","1.01B","-0.44%"
"2024- 08- 07","748.54","731.82","754.41","731.44","947.16M","2.14%"
"2024- 08- 06","732.87","709.04","738.77","707.72","1.08B","6.02%"
"2024- 08- 05","691.28","765.57","765.57","672.57","1.17B","-11.30%"
"2024- 08- 02","779.33","799.45","799.97","778.39","845.79M","-4.20%"
"2024- 08- 01","813.53","807.52","815.28","807.50","644.08M","1.29%"
"2024- 07- 31","803.15","802.00","804.17","795.18","798.87M","-0.08%"
"2024- 07- 30","803.78","805.17","807.38","800.36","842.01M","-0.52%"
"2024- 07- 29","807.99","800.64","808.73","800.39","652.99M","1.31%"
"2024- 07- 26","797.56","799.97","802.06","795.02","777.35M","0.03%"
"2024- 07- 25","797.29","802.28","803.55","794.23","1.03B","-2.08%"
"2024- 07- 24","814.25","809.45","819.81","807.55","837.08M","0.26%"
"2024- 07- 23","812.12","816.30","821.93","808.79","939.60M","0.27%"
"2024- 07- 22","809.96","827.98","828.09","806.79","906.83M","-2.26%"
"2024- 07- 19","828.72","820.29","828.82","819.13","871.20M","0.76%"
"2024- 07- 18","822.48","820.14","824.96","812.90","869.76M","-0.84%"
"2024- 07- 17","829.41","841.28","843.10","829.09","828.95M","-1.21%"
"2024- 07- 16","839.61","850.96","851.20","837.29","874.49M","-1.56%"
"2024- 07- 15","852.88","852.62","852.93","847.68","785.85M","0.30%"
"2024- 07- 12","850.37","848.04","855.03","845.03","764.43M","-0.24%"
"2024- 07- 11","852.42","861.73","862.61","851.72","835.02M","-0.71%"
"2024- 07- 10","858.55","859.01","860.82","854.60","896.44M","-0.22%"
"2024- 07- 09","860.42","860.18","864.11","857.60","1.05B","0.13%"
"2024- 07- 08","859.27","848.59","859.27","848.59","742.51M","1.39%"
"2024- 07- 05","847.49","842.50","849.25","841.98","780.46M","0.79%"
"2024- 07- 04","840.81","838.90","844.10","838.90","744.76M","0.56%"
"2024- 07- 03","836.10","832.98","838.89","829.50","788.69M","0.75%"
"2024- 07- 02","829.91","846.86","847.39","828.49","710.21M","-2.04%"
"2024- 07- 01","847.15","840.59","847.97","840.40","620.76M","0.80%"
"2024- 06- 28","840.44","840.11","842.36","838.29","706.93M","0.21%"
"2024- 06- 27","838.65","841.12","844.62","837.80","814.04M","-0.41%"
"2024- 06- 26","842.12","845.91","846.76","839.34","704.56M","0.02%"
"2024- 06- 25","841.99","839.50","844.54","836.12","663.21M","0.06%"
"2024- 06- 24","841.52","852.27","852.48","841.43","670.00M","-1.31%"
"2024- 06- 21","852.67","853.48","856.02","848.50","772.54M","-0.56%"
"2024- 06- 20","857.51","861.44","864.70","854.94","637.74M","-0.43%"
"2024- 06- 19","861.17","860.66","866.21","856.16","1.03B","0.26%"
"2024- 06- 18","858.95","863.32","864.81","855.35","1.04B","0.00%"
"2024- 06- 17","858.96","860.13","864.10","857.11","820.23M","-0.37%"
"2024- 06- 14","862.19","872.69","873.37","859.69","975.48M","-1.05%"
"2024- 06- 13","871.33","879.52","879.52","871.12","928.80M","0.08%"
"2024- 06- 12","870.67","871.36","876.45","867.32","1.22B","0.27%"
"2024- 06- 11","868.36","866.88","872.36","865.91","1.04B","0.42%"
"2024- 06- 10","864.71","862.21","867.60","860.90","907.18M","-0.17%"
"2024- 06- 07","866.18","856.17","866.48","855.06","848.54M","1.81%"
"2024- 06- 05","850.75","849.33","852.18","844.13","904.88M","0.58%"
"2024- 06- 04","845.84","844.62","851.49","841.81","911.01M","0.13%"
"2024- 06- 03","844.72","840.33","847.07","839.58","976.80M","0.56%"
"2024- 05- 31","839.98","835.01","840.02","829.81","1.45B","0.96%"
"2024- 05- 30","831.99","835.63","840.74","831.02","1.41B","-0.77%"
"2024- 05- 29","838.45","849.60","849.93","838.08","1.38B","-1.48%"
"2024- 05- 28","851.01","847.46","852.42","846.90","1.15B","0.36%"
"2024- 05- 27","847.99","843.76","848.13","836.65","981.44M","1.02%"
"2024- 05- 24","839.41","840.70","845.48","836.95","816.03M","-0.85%"
"2024- 05- 23","846.58","846.50","849.32","839.16","1.01B","0.10%"
"2024- 05- 22","845.72","850.40","850.59","844.97","914.52M","-0.09%"
"2024- 05- 21","846.51","849.32","849.32","843.62","1.07B","-0.07%"
"2024- 05- 20","847.08","856.22","857.51","843.22","1.02B","-0.93%"
"2024- 05- 17","855.06","869.06","869.60","854.47","938.50M","-1.76%"
"2024- 05- 16","870.37","872.31","874.86","868.51","956.09M","0.95%"
"2024- 05- 14","862.15","857.44","865.43","856.88","978.60M","0.90%"
"2024- 05- 13","854.43","866.67","867.08","852.75","907.15M","-1.13%"
"2024- 05- 10","864.16","873.56","875.21","864.03","961.25M","-0.69%"
"2024- 05- 09","870.15","871.17","873.53","869.00","1.02B","-0.26%"
"2024- 05- 08","872.42","870.11","873.65","862.81","967.42M","0.13%"
"2024- 05- 07","871.26","874.69","876.94","869.75","802.23M","0.66%"
"2024- 05- 03","865.59","872.27","875.11","865.21","843.08M","-0.22%"
"2024- 05- 02","867.48","865.78","870.33","864.98","854.45M","-0.17%"
"2024- 04- 30","868.93","872.08","875.64","867.32","792.64M","-0.09%"
"2024- 04- 29","869.72","860.53","869.73","860.53","772.59M","1.51%"
"2024- 04- 26","856.82","860.00","862.80","852.80","704.66M","0.42%"
"2024- 04- 25","853.26","855.78","865.15","853.13","811.57M","-1.04%"
"2024- 04- 24","862.23","856.37","863.12","855.79","957.92M","1.99%"
"2024- 04- 23","845.44","848.88","853.62","844.50","886.59M","-0.04%"
"2024- 04- 22","845.82","844.95","854.16","840.29","898.76M","0.46%"
"2024- 04- 19","841.91","849.99","850.07","824.99","1.10B","-1.61%"
"2024- 04- 18","855.65","833.38","856.05","833.38","956.76M","2.72%"
"2024- 04- 17","833.03","839.30","845.45","833.03","930.98M","0.03%"
"2024- 04- 16","832.81","845.54","848.24","829.76","931.17M","-2.30%"
"2024- 04- 15","852.42","850.21","854.51","842.84","837.14M","-0.94%"
"2024- 04- 12","860.47","863.16","867.01","858.24","740.52M","0.28%"
"2024- 04- 11","858.10","850.80","860.83","847.54","661.66M","-0.14%"
"2024- 04- 09","859.33","864.00","871.18","856.49","976.47M","-0.14%"
"2024- 04- 08","860.57","873.76","873.76","859.09","1.06B","-1.34%"
"2024- 04- 05","872.29","872.47","879.34","867.45","1.08B","-1.20%"
"2024- 04- 04","882.90","885.53","889.70","878.12","979.42M","0.33%"
"2024- 04- 03","879.96","883.22","883.95","874.77","994.52M","-1.30%"
"2024- 04- 02","891.59","912.07","913.79","888.88","1.04B","-2.29%"
"2024- 04- 01","912.45","909.62","920.05","907.48","914.27M","0.77%"
"2024- 03- 29","905.50","912.31","914.25","903.61","946.87M","-0.50%"
"2024- 03- 28","910.05","912.33","914.38","908.98","1.10B","-0.13%"
"2024- 03- 27","911.25","914.33","918.49","905.26","1.14B","-0.53%"
"2024- 03- 26","916.09","915.49","922.57","910.86","1.04B","0.26%"
"2024- 03- 25","913.69","906.45","916.01","905.70","961.28M","1.07%"
"2024- 03- 22","903.98","902.70","905.64","900.84","1.08B","-0.03%"
"2024- 03- 21","904.29","900.46","906.26","899.24","1.07B","1.44%"
"2024- 03- 20","891.45","894.34","896.44","890.00","1.05B","-0.05%"
"2024- 03- 19","891.91","893.49","893.49","884.45","1.10B","-0.29%"
"2024- 03- 18","894.48","882.58","894.48","882.58","973.18M","1.59%"
"2024- 03- 15","880.46","882.67","884.60","875.87","1.11B","-0.80%"
"2024- 03- 14","887.52","889.53","892.31","881.95","1.07B","-0.27%"
"2024- 03- 13","889.93","892.41","894.39","881.33","1.21B","0.02%"
"2024- 03- 12","889.71","877.37","889.71","876.62","1.06B","1.57%"
"2024- 03- 11","875.93","870.41","875.93","868.48","1.08B","0.31%"
"2024- 03- 08","873.18","869.18","873.18","866.18","1.27B","1.14%"
"2024- 03- 07","863.37","874.30","874.53","860.01","1.14B","-0.84%"
"2024- 03- 06","870.67","861.67","872.06","859.71","1.11B","0.50%"
"2024- 03- 05","866.37","869.36","869.36","863.40","1.21B","-0.76%"
"2024- 03- 04","872.97","869.36","875.30","869.36","1.14B","1.16%"
"2024- 02- 29","862.96","862.55","865.88","858.30","1.37B","-0.05%"
"2024- 02- 28","863.39","859.78","868.71","858.56","1.10B","1.13%"
"2024- 02- 27","853.75","870.10","870.10","850.77","1.19B","-1.57%"
"2024- 02- 26","867.40","869.08","872.52","866.43","1.22B","-0.13%"
"2024- 02- 23","868.57","873.21","875.58","866.22","1.49B","-0.18%"
"2024- 02- 22","870.11","868.22","871.46","864.56","1.48B","0.70%"
"2024- 02- 21","864.07","861.58","872.38","860.91","1.73B","-0.24%"
"2024- 02- 20","866.17","858.08","866.17","854.58","1.39B","0.90%"
"2024- 02- 19","858.47","854.28","862.08","853.52","1.27B","0.10%"
"2024- 02- 16","857.60","863.69","864.24","854.72","1.34B","-0.19%"
"2024- 02- 15","859.21","860.13","861.37","852.79","1.22B","0.69%"
"2024- 02- 14","853.30","833.24","854.44","831.56","1.09B","0.96%"
"2024- 02- 13","845.15","831.14","846.58","830.66","896.29M","2.25%"
"2024- 02- 08","826.58","816.82","828.03","816.27","912.50M","1.81%"
"2024- 02- 07","811.92","811.51","820.06","809.18","827.98M","0.61%"
"2024- 02- 06","807.03","804.36","808.39","795.37","1.07B","-0.12%"
"2024- 02- 05","807.99","812.28","813.83","807.36","974.41M","-0.83%"
"2024- 02- 02","814.77","803.71","817.74","803.71","1.10B","2.01%"
"2024- 02- 01","798.73","796.26","800.91","786.28","1.12B","-0.06%"
"2024- 01- 31","799.24","813.80","818.90","799.24","1.14B","-2.40%"
"2024- 01- 30","818.86","826.00","828.54","811.57","1.10B","-0.03%"
