"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 31","1,476.78","1,472.08","1,479.69","1,469.84","","0.51%"
"2024- 12- 30","1,469.25","1,471.10","1,477.08","1,466.20","","-0.22%"
"2024- 12- 27","1,472.50","1,468.40","1,487.37","1,466.20","","0.37%"
"2024- 12- 26","1,467.08","1,457.21","1,471.27","1,456.63","","0.73%"
"2024- 12- 25","1,456.52","1,460.93","1,460.93","1,455.51","","-0.17%"
"2024- 12- 24","1,458.93","1,453.28","1,461.54","1,449.96","","0.53%"
"2024- 12- 23","1,451.28","1,446.05","1,455.75","1,445.51","","0.46%"
"2024- 12- 20","1,444.57","1,445.95","1,453.69","1,442.94","","0.00%"
"2024- 12- 19","1,444.52","1,454.68","1,454.90","1,442.69","","-0.56%"
"2024- 12- 18","1,452.70","1,439.24","1,456.84","1,434.27","","1.07%"
"2024- 12- 17","1,437.39","1,437.77","1,440.88","1,433.67","","0.04%"
"2024- 12- 16","1,436.81","1,433.10","1,440.47","1,428.10","","0.19%"
"2024- 12- 13","1,434.03","1,431.08","1,437.41","1,429.88","","0.23%"
"2024- 12- 12","1,430.67","1,429.81","1,435.36","1,427.68","","0.20%"
"2024- 12- 11","1,427.81","1,435.30","1,437.53","1,427.72","","-0.45%"
"2024- 12- 10","1,434.30","1,430.40","1,436.77","1,425.44","","0.41%"
"2024- 12- 09","1,428.40","1,424.95","1,439.36","1,424.64","","0.30%"
"2024- 12- 06","1,424.14","1,415.22","1,429.82","1,413.98","","0.77%"
"2024- 12- 05","1,413.28","1,413.19","1,419.83","1,411.21","","0.15%"
"2024- 12- 04","1,411.13","1,416.62","1,419.58","1,406.44","","-0.24%"
"2024- 12- 03","1,414.47","1,405.46","1,444.24","1,399.38","","0.75%"
"2024- 12- 02","1,403.96","1,395.95","1,408.05","1,395.52","","0.67%"
"2024- 11- 29","1,394.67","1,395.58","1,399.26","1,390.03","","0.07%"
"2024- 11- 28","1,393.73","1,392.04","1,398.02","1,389.98","","0.37%"
"2024- 11- 27","1,388.58","1,397.32","1,399.89","1,389.57","","-0.55%"
"2024- 11- 26","1,396.24","1,399.58","1,408.65","1,394.06","","-0.13%"
"2024- 11- 25","1,398.06","1,402.10","1,404.77","1,396.20","","-0.31%"
"2024- 11- 22","1,402.40","1,400.59","1,408.73","1,398.58","","0.23%"
"2024- 11- 21","1,399.15","1,400.02","1,402.90","1,395.02","","0.08%"
"2024- 11- 20","1,398.02","1,393.51","1,401.81","1,388.29","","0.41%"
"2024- 11- 19","1,392.32","1,391.96","1,397.39","1,388.58","","0.13%"
"2024- 11- 18","1,390.50","1,395.95","1,401.10","1,387.50","","-0.23%"
"2024- 11- 15","1,393.68","1,405.43","1,410.33","1,393.10","","-0.79%"
"2024- 11- 14","1,404.75","1,405.42","1,411.95","1,399.11","","0.05%"
"2024- 11- 13","1,404.09","1,408.00","1,411.59","1,395.68","","-0.12%"
"2024- 11- 12","1,405.80","1,400.89","1,410.34","1,398.24","","0.48%"
"2024- 11- 11","1,399.08","1,398.05","1,402.96","1,392.14","","0.20%"
"2024- 11- 08","1,396.23","1,383.06","1,400.73","1,381.87","","1.18%"
"2024- 11- 07","1,379.89","1,402.01","1,404.95","1,381.05","","-1.46%"
"2024- 11- 06","1,400.36","1,379.18","1,404.96","1,374.51","","1.71%"
"2024- 11- 05","1,376.88","1,374.44","1,382.00","1,373.46","","0.31%"
"2024- 11- 04","1,372.60","1,377.60","1,380.34","1,368.58","","-0.43%"
