username,date,rating,review,likes,dislikes
iml5****,2016.10.20. 21:07,9,보고 나니 연애가 아닌 사랑이 하고 싶어졌다.,"2,449",63
qlrx****,2016.11.01. 18:39,9,보고 남자친구랑헤어졌다,"2,383",260
soye****,2016.10.23. 12:33,9,약혼남이 불쌍하긴하네요,864,32
suah****,2016.11.01. 01:06,10,노아 같은 사람을 만날 수 있을거라고 나에게 헛된 희망을 심어줌...,859,34
kail****,2016.10.31. 22:27,8,자신은 특별할 것 없는 평범한 사람이지만 남들보다 잘 한 것이 있다면 한 여자를 평생 열렬히 사랑했다는 늙은 노아의 말이 이 영화에서 가장 멋진 대사가 아닐까 싶다.,777,18
skrd****,2016.10.19. 12:06,10,그냥 무조건한 세번봐야함,520,36
dina****,2016.10.19. 14:21,8,첫사랑은 잊을 수 없는 사랑인걸까...우리는 왜 첫사랑을 잊지못하는가를 알려주는 영화,500,35
thth****,2020.12.26. 21:19,8,그렇게 치고 박고 싸우면서도 그럼에도 사랑한다고 그래도 사랑할 거라고 말하는 남자 주인공의 말에 이런게 사랑이구나 라고 느꼈다.,467,16
love****,2016.10.19. 13:31,10,제가 제일 좋아하는 영화입니다. 영화관에서 보게되어 기뻐요ㅠㅠ,338,17
happ****,2016.10.20. 21:19,9,남자친구가 너무 울어서 귀여웠어요,396,121
daeu****,2016.10.19. 12:37,10,다시봐도 굿!!!나도 이런사랑 해봤으면...,235,17
1034****,2017.03.22. 11:23,3,론의 입장에서 생각하게된다,235,39
hmh8****,2017.04.06. 20:14,10,젊은날의순수한사랑이 긴인생의 힘으로 나타나는영화,130,7
eypa****,2020.11.16. 23:38,10,"초반에는 연애하고 싶고, 후반에는 사랑하고 싶은 영화",126,4
grac****,2017.03.04. 19:51,10,레이첼맥아담스는 언제봐도 사랑스러워,110,5
izis****,2016.11.01. 00:29,10,"옛날 영화가 재상영되었다고 하는데, 너무 감동적이었습니다 :) 썸이 난무하는 요즘, 예전과 같은.. 이런 절절한 사랑이 있을까 하는 생각이 들었습니다.",118,13
dlth****,2020.12.04. 15:13,10,"어디가서 다시는 만나지 못할 제게 특별한 사람을 이 영화를 함께 보고 만나게 되었습니다. 특별할 것 없는 이야기인 것 같은데 왜인지 가슴이 뜨거워지고 벅찬 영화였습니다. 나이가 들어서도 지금처럼 열렬히 은은하게 오랫동안 사랑할 수 있기를, 사랑하는 사람을 어렵게 찾았고 만나게 되었듯이 오늘이 마지막 날...",108,7
zzzz****,2016.11.25. 21:24,9,학생때봤을땐 그 둘만의사랑만보였지만이젠 그외의 상처받는사람들까지 보이네요그래도 정말좋은 영화!,110,9
mimi****,2017.01.25. 06:42,8,라면먹고갈래...들에게는보여주기싫은영화,102,5
tpdh****,2020.11.29. 17:37,7,레이첼 맥아담스가 너무 이뻤다.,98,7
miu5****,2016.11.05. 21:53,10,세번째보는 영화임에도 감동은 여전했고 물질주의에 빠진 이시대에 사는 우리가 잃은 많은것들에 대한 향수를 불러일으키는  시간이었음,106,17
khs1****,2016.10.23. 21:32,10,보고나서 바로 다시보고싶은 영화,95,10
seoj****,2020.11.12. 13:12,9,노아는 진국인 남자이긴하나  약혼자입장에선 억장와르륵..,75,3
a010****,2016.10.24. 00:15,10,지금까지 본 영화중에 최고로 감동적인영화. 그리고 아쉬울 장면이 없는 영화. 다시 꼭 사랑하는 사람이랑 보고싶은 영화,81,10
slek****,2020.11.18. 21:20,8,어떻게 보면 불륜미화영화라고 볼 수 있지만 재밌게 봤음,85,16
rydu****,2016.10.20. 12:37,10,하나 하나 명장면과 명대사로 가득한 깊은 곳 까지 여운을 남기고 끝나버린 사랑스러운 영화.,88,19
tjda****,2020.12.12. 19:02,10,나의 인생영화 ㅠㅠ 저런사랑이 하고싶습니다..!,70,3
euns****,2021.11.30. 16:40,10,인생영화에요 썸타면 ㄱ,84,18
whql****,2016.11.08. 16:14,10,레이첼 맥아담스 핵존예,64,2
mkmk****,2016.10.24. 12:56,10,지고지순의 끝 이런 사랑이 정말로 있다면 좋겠다,70,8
fly_****,2017.02.13. 22:17,8,"영화 같은 결말, 현실은 다르다",67,7
48hy****,2016.10.22. 01:10,8,절절한 사랑 이야기 평생 한 사람만 사랑한다는 건 참 대단하면서 아름답고 멋지다!,63,6
kimh****,2016.10.31. 09:41,10,최고의 명작입니다. 영화가 너무 아릅답고 보는 내내 마음이 뭉클했습니다. 감정선이 너무 예쁜 영화입니다.,56,5
near****,2016.10.20. 21:16,10,"다시봐도 여운이 많이 남는, 남주의 대사, 여주의 표정이 좋은 로맨스 영화",59,11
abcd****,2016.10.19. 14:12,9,가을에 딱 어울리는 영화다. 감미롭고 감성이 풍부해지는 느낌이랄까...,53,8
yeda****,2016.10.20. 20:36,9,영화속 주인공들이 부럽네요,49,5
llll****,2016.12.29. 17:53,8,어느 누군가에겐 명작이라해서 추천받아 재개봉으로 본것인데 한편으론 부러우면서 약혼자입장서 보면 속터지는 영화ㅠㅜ,44,1
dein****,2020.11.22. 01:08,10,사귈때 처음보고 헤어지고 또 보니 눈물이 안멈추는 영화,46,3
mudo****,2020.12.25. 21:52,10,멜로영화의 정석이라 할수있는 영화,51,8
geee****,2016.10.22. 02:13,10,눈물흘리고왓어요 로맨스로는 최고!,48,7
kilo****,2020.12.05. 18:55,10,인생 최고의 영화... 평점이 무의미,43,3
apfl****,2020.11.05. 00:55,10,앨리 약혼남 불쌍...여주 얼굴 보는 맛이있고딱 잔잔하게 차분하게 볼 수 있었어요음 저는 여주 어머니가 인상깊네요나도 이런 사랑 하고싶다,43,3
hota****,2016.10.31. 01:09,9,레이첼맥아담스가 너무 사랑스럽게 연기를 잘했다. 다시봐도 감동적이다,38,0
hse0****,2016.11.02. 22:48,10,재개봉은 이유가 있어서 합니다.,38,2
jins****,2017.03.19. 18:45,10,다시 봐도 멋진 노아 그리고 사랑스러운 앨리,37,4
hpss****,2017.04.16. 16:43,10,이걸 왜 이제야봤는가.,38,5
7917****,2020.12.01. 16:20,10,고등학교때 10번을 넘게봤던 영화인데 영화관에서 여자친구랑 볼수있어서 너무좋았는데 그때 그시절 느꼈던 감정보다 지금 옆에 있는 여자친구와 보는 그감정은 정말 아름다웠습니다 이영화정말 인생최고의 영화입니다,44,11
good****,2020.11.29. 18:31,10,언제 봐도 좋은 영화...,28,3
jae4****,2016.10.24. 13:25,10,집에서 Tv로 보고 감동적이어서 집사람과 극장에서 다시 보앗네요.눈물이 주룩  ...로멘스 영화를 좋아하시면 강추,30,6
psn9****,2016.10.20. 12:55,10,오랜만에 스크린으로 보니 정말 즐거웠습니다ㅎㅎ재밌었어요,25,2
blue****,2020.11.20. 11:06,10,앨리의 웃음이 너무 순수하게 행복해보여서 다시 찾게되는 영화,25,3
ly11****,2020.11.29. 01:36,10,이건 뭐 말이 필요없는 죽기전 꼭 봐야할 영화중 하나죠극장에서 본건 오늘이 처음인데 늘 다시 봐도 좋네요다들 코로나 조심하세요,28,6
lyl6****,2021.02.26. 19:05,10,아름다운 영상이 좋아요,23,2
arro****,2020.11.26. 08:38,10,스토리도 최고지만초반에는 앨리의 연기에빠져있었고부모님의 눈빛과 연기시네마 의 큰 스크린에서는 모든게 담겨보이는 영화였다.약혼자도 얼마나 억울했을까 하지만 그녀를 보내주었다나이들수록 보이는게 많아져 6번째 보는 어제 밤이 가장인상깊고 재밌었다.노아가 죽기전 퇴원하자마자 입떨며 앨리에게 다...,24,3
hbsz****,2016.10.20. 10:35,10,볼때마다 새로운 영화언제봐도 아름다운 사랑이야기,27,6
rhok****,2016.10.26. 22:20,10,너무좋아요 진짜 사랑하고싶어졌어요,23,3
