"writer","date","comment"
"da**undworks","2023.06.04","마지막 영화 평생 잊지 못할 극장"
"lo**isweety","2017.12.31","이런 남자 어딨을까여 ㅋㅋ엔딩이 진짜 기억에 남아요 ㅎ"
"조쑤우","2017.12.18","이런 사랑을 만나고 싶다"
"Moonlucky","2017.12.15","로맨틱코미디의 교과서"
"나나나","2017.12.15","분명 전에 봤었는데 기억이 잘 안 날 때에는 재개봉 감사합니다하고 꼭 봅니다. 후회없습니다ㅎㅎ"
"낭쟈플","2017.10.30","재상영작인데 후기가 좋아서 봤어요 :)"
"고마워♡","2017.10.19","ㅋㅋㅋㅋ
너무 재미나게봤어요"
"돈조","2017.10.04","로코 중 엄청 재밌게봤당"
"알큐리","2016.02.18","잊혀지는 사랑의 아픔."
"김승환신유리","2014.12.26","기억을 잃는 여자곁에서 같은일을 해내는 남자의 모습이 진지함과 코믹스러움이 묻어나는 영화"
