"writer","date","comment"
"범이종이","2024.08.16","재밌게 봤습니다..."
"ip**kjung","2022.04.22","눙물이난다ㅜ슬펐어요"
"뎡긔","2022.04.08","재미있었음. 볼만함. 감동적임"
"no1jomc","2020.02.25","가슴 두근거리는 펑펑 울게한 멋진영화"
"mi7979","2019.10.19","오래되도 기억되는 영화중에 하나"
"엄지척이제훈","2019.10.10","오래도록 남을 영화!!"
"은화사랑","2019.02.12","나이도 얼마되지 않는데 저런병이.
ㅠㅠ 넘 슬퍼요.
누굴 기억하지 못한다는게"
"용준이랑","2018.12.28","손예진배우가 너무 예쁜 영화였어요"
"mi**umi79","2018.12.13","다시보고싶은 영화
그치만 치매는 무서움"
"as**13sa0","2018.11.06","좋았어요 재미있었어요"
"왕바바","2018.10.31","내가 제일 좋아하는 한국 멜로 영화"
"하나씩♡","2018.10.25","오그라드는데 누가 멜로중제일좋아한다고해서봤음 괜찮네요 뻔한데도"
"re**rnto85","2018.10.22","추억의 영화. 다시 봐도 울음이.."
"yh**uj","2018.10.09","오래만에 재관람 역시나 좋네요."
"겐시로","2018.10.07","(Tonight's Art Movie 시즌4)내 머리 속의 지우개 감동적임"
"21**imin","2018.08.19","이영화부터 앱이생겼었나?"
"축복사랑은혜","2018.08.14","내용생각 안나고 손예진 오줌싼거만 생각남"
"밍크쭈돌이","2018.06.18","지루하고 배우도 별로임"
"서준사랑포에버","2017.08.06","슬프지만 아름답다. 신파에도 감동을 받을수 있다는 거."
"당진사랑","2017.05.06","감동깊게 본 영화네요^^"
"여름향기","2017.01.05","역시 손예진의 매력 연기 쩐다...그 소주 마시면 나랑 사귀는 거다!"
"fm**n74","2016.09.30","손예진... 이뿨요."
"보는게 조아","2016.08.19","정우성님과  손혜진님의 
애틋한 사랑이 너무 이뻣어요"
"하하헤헤호호","2016.07.12","우리나라 최고의 로맨스영화 중 하나"
"ㄴNㄱ켄신","2016.06.08","그냥 손예진이 이뻤다ㅋㅋㅋ내용은 흔한 신파"
"영화광","2016.03.19","알츠하이머에 걸린 아내와 남편의 지고지순한 사랑"
"ca**3563","2016.03.18","배우분들의 연기 좋았어요^^"
"itosii꼬마","2016.03.04","진실된사랑.영원한사랑.영화에만존재하는걸까"
"na**e203","2016.03.01","마지막 대사만 아니면 완벽했을 영화"
"Elly_12","2016.02.28","울고 또 울고..   
내사랑하는 내사람이
나를 그리고 모두를 추억들이
하나씩 지워진다면.."
"당근멍근","2016.02.21","기억이 안나요 너무 오래되서 ㅋㅋ"
"al**sia7223","2016.02.20","너무 슬프고 아름다운영화"
"hyunyoung","2016.02.19","이런 멜로 또 안나오나요?"
"09**kiss","2016.02.18","진짜 사랑이야기♡ 슬프지만 너무 예쁜 영화 잘 봤어요~"
"twossun7782","2016.02.18","ㅠㅠ..나도 이런사랑하고픔.."
"dm**l0822","2016.02.18","너무 울면서봐서 정신이없네요"
"쉼표하나♥","2016.02.18","지금이순간!사랑하세요♡"
"고질라","2016.02.18","이거마시면 나랑사귀는거다"
"수암선생","2016.02.09","그때 그시절 추억의 영화"
"tj**sdl95","2015.11.26","이거 마시면 나랑 사귀는거다"
"MYM0","2015.11.07","대사 , 완성도는 명작이다. 확실한 웰메이드 멜로느낌!"
"두둠두","2015.11.06","지금봐도 재밌네요!!"
"네원","2015.11.02","무슨말이 필요한가, 손예진의 미모를 큰 스크린으로 볼 수 있는데"
"pratt_","2015.11.02","기억 속에서 사라져 가는 그 슬픔을 표현한 아름다운 멜로다."
"JI ONE","2015.11.01","9년이 지나도 마음 속의 아련함이 그대로 전해지던 영화!"
"su**n9191","2015.10.31","명작!! 완전 울다 나왔네요..내 생애 최고의 영화!!재개봉 감사해요!!>_<"
"le**nd7","2015.10.31","멜로영화중에 단연최고네요. 슬픈 멜로영화 잘봤습니다."
"th**s5797","2015.10.31","다시봐도 슬프고 마음이 아려오는 영화..."
"자모카아몬드","2015.10.31","휴지 꼭 챙겨서 봐야하는 영화..ㅠ"
"sundae","2015.10.31","영화보다 더 강렬했던 배경음악"
"지금 이순간 세미로부터","2015.10.31","이 영화가 진짜 사랑 영화 
한국 멜로의 수작 
이재한 감독의 발견 
정우성의 자연스러운 연기 
정우성 손예진의 꽃다운 리즈 시절이 
필름에 고스란히 가득히 채웠다
그때는 몰랐던 진짜 사랑이란 걸 알게됐다."
"이클립","2015.10.30","내기준 멜로 탑5중 하나. 한번쯤은 꿈꾸는 철수같은 남자와의 로맨스를 보여줌. 물론 우린 수진이가 아니지만. 대리만족과 감동의 콜라보."
"sealny","2015.09.30","감동적인 이야기 구성과 감성을 움직이는 
앤딩 장면이 찡했다"
"붉은혜성0079","2015.08.03","기억에 오랫동안 남을 감동..."
"ti**nic0415","2015.01.15","진짜 최고.. 제가 가장 좋아하는 멜로 영화에요 봐도 봐도 질리지 않고.. 뭔가 가을만 되면 생각나는 영화"
"od**116","2014.11.17","신파영화지만 재밌었어"
"산타림","2014.09.22","삶과 가족의 소중함을 알려준 영화.. 손예진과 정우성의 슬프고도 아름다운 사랑이야기."
"sj**lqkqhsi","2014.08.19","시간이 지나도 오래 생각나는 영화"
"cn**mfkgod","2014.03.31","갓만에제대로된멜로본듯!"
"Mrs.Kang","2014.03.19","최루성 짙은 사랑이야기!
시간이 이렇게 지나서 작성하는 평점이어도 후하게 줄 수는 없지만 두사람의 눈빛연기는 최고!!!"
"어이~~브라더~~","2014.03.05","오우~~~~손예진,정우성
이거마시면 나랑 사귀는거다"
"롱롱","2014.03.01","철수야 나도 좀사랑해주면안되겠니?"
"go**sh","2014.02.27","손예진 정우성 조합이 너무좋았고 
연기도 기대이상이고 
스토리도 너무 슬펐다 
특히 .. 제목을 참 잘지은듯"
"아이마르군","2012.12.14","이 영화보고 건축가의 길로 오게되었다.. 벌써 10년이 다되가는군.."
"ky**ph","2011.10.21","많이 슬펐던 걸로 기억됨"
