,epoch,step,train_loss,eval_loss,eval_accuracy
0,0.9973935708079931,287,,0.4557766020298004,0.8026944806605824
2,1.997393570807993,574,,0.4073946475982666,0.8126901347240331
3,2.997393570807993,861,,0.43859079480171204,0.8279009126466753
5,3.997393570807993,1148,,0.5779085755348206,0.8218166014776185
6,4.9973935708079935,1435,,0.5976530909538269,0.8152976966536288
8,5.9973935708079935,1722,,0.9301091432571411,0.8213820078226858
10,6.9973935708079935,2009,,0.7711781859397888,0.823554976097349
11,7.9973935708079935,2296,,0.8840541839599609,0.8296392872664059
13,8.997393570807994,2583,,1.0060771703720093,0.8265971316818774
14,9.997393570807994,2870,,1.0966989994049072,0.8261625380269448
