,word,weight
0,연기가 좋았어요,117
1,연기가 좋았습니다,89
2,연기가 좋아요,43
3,연기가 진짜,17
4,연기가 좋은,16
5,연기가 작품,15
6,연기가 영화를,12
7,연기가 연기가,11
8,연기가 많이,11
9,연기가 역시,9
10,연기가 다시,9
11,연기가 연기는,8
12,연기가 최고,8
13,연기가 연기,7
14,연기가 모든,6
15,연기가 내가,6
16,연기가 영화가,6
17,연기가 눈이,6
18,연기가 가장,6
19,연기가 여운이,6
20,연기가 보는내내,5
21,연기가 생각이,5
22,연기가 감동적인,5
23,연기가 마음이,5
24,연기가 가슴이,5
25,연기가 안소니,5
26,연기가 가슴,5
27,연기가 슬픈,5
28,연기가 영화입니다,5
29,연기가 많은,5
30,연기가 보면,4
31,연기가 마지막,4
32,연기가 스토리,4
33,연기가 연기도,4
34,연기가 잔잔한,4
35,연기가 감동을,4
36,연기가 오랜만에,4
37,연기가 서현진,4
38,연기가 감동,3
39,연기가 감동적입니다,3
40,연기가 배우의,3
41,연기가 보세요,3
42,연기가 가족이,3
43,연기가 보면서,3
44,연기가 알츠하이머,3
45,연기가 스토리가,3
46,연기가 카시오페아,3
47,연기가 슬프지만,2
48,연기가 가족,2
49,연기가 사랑을,2
50,연기가 영화는,2
51,연기가 나를,2
52,연기가 소중함을,2
53,연기가 나는,2
54,연기가 기억,2
55,연기가 생각하게,2
56,연기가 한번,2
57,연기가 눈물,2
58,연기가 만드는,2
59,연기가 보기,2
60,연기가 현실적인,2
61,연기가 최고의,2
62,연기가 슬프고,2
63,연기가 그럼에도,2
64,연기가 드라마,2
65,연기가 가족의,2
66,연기가 사랑에,2
67,연기가 무어,2
68,연기가 볼만한,2
69,연기가 사랑,2
70,연기가 반전,2
71,연기가 잘봤습니다,2
72,연기가 감동이,2
73,연기가 슬퍼요,2
74,연기가 말이,2
75,연기가 이야기,2
76,연기가 슬프네요,2
77,연기가 배우들,1
78,연기가 영화네요,1
79,연기가 감독의,1
80,연기가 슬프다,1
81,연기가 사랑하는,1
82,연기가 사랑스럽다,1
83,연기가 봐도,1
84,연기가 반전이,1
85,연기가 연기력이,1
86,연기가 영화에요,1
87,연기가 과거와,1
88,연기가 마지막에,1
89,연기가 홉킨스의,1
90,연기가 딸에,1
91,연기가 보았습니다,1
92,연기가 완전,1
93,연기가 엄마,1
94,연기가 재미있게,1
95,연기가 영화다,1
96,연기가 남는,1
97,연기가 부모님,1
98,연기가 부모님이,1
99,연기가 어려운,1
100,연기가 놀란,1
101,연기가 사랑의,1
102,연기가 아름다운,1
103,연기가 기억이,1
104,연기가 다시한번,1
105,연기가 엄마랑,1
106,연기가 기억을,1
107,연기가 앨리스,1
108,연기가 무어의,1
109,연기가 아름답고,1
110,연기가 추천합니다,1
111,연기가 하게,1
112,연기가 펑펑,1
113,연기가 감동도,1
114,연기가 감동과,1
115,연기가 할아버지,1
116,연기가 배우들의,1
117,연기가 잘봤어요,1
118,연기가 누구에게나,1
119,연기가 영화관에서,1
120,재미있게 보았습니다,52
121,재미있게 잘봤습니다,33
122,재미있게 관람했습니다,26
123,재미있게 잘봤어요,9
124,재미있게 좋은,4
125,재미있게 여운이,3
126,재미있게 영화를,2
127,재미있게 감사합니다,2
128,재미있게 좋았어요,2
129,재미있게 재미있게,2
130,재미있게 놀란,2
131,재미있게 가족의,2
132,재미있게 가슴,2
133,재미있게 배우들,2
134,재미있게 엄마,1
135,재미있게 보세요,1
136,재미있게 감동적이네요,1
137,재미있게 울었다,1
138,재미있게 영화가,1
139,재미있게 마지막에,1
140,재미있게 간만에,1
141,재미있게 연기도,1
142,재미있게 딸에,1
143,재미있게 많은,1
144,재미있게 가장,1
145,재미있게 담담하게,1
146,재미있게 영화네요,1
147,재미있게 영화는,1
148,재미있게 모든,1
149,재미있게 슬프다,1
150,재미있게 생각하게,1
151,재미있게 보기,1
152,재미있게 연기,1
153,재미있게 영화입니다,1
154,재미있게 가족,1
155,재미있게 반전이,1
156,재미있게 부모님,1
157,재미있게 완전,1
158,재미있게 감동,1
159,재미있게 스토리,1
160,재미있게 진짜,1
161,재미있게 눈물,1
162,재미있게 역시,1
163,영화입니다 추천합니다,9
164,영화입니다 많이,5
165,영화입니다 영화관에서,5
166,영화입니다 보세요,5
167,영화입니다 영화입니다,4
168,영화입니다 영화를,3
169,영화입니다 가슴이,3
170,영화입니다 마지막,3
171,영화입니다 연기,3
172,영화입니다 누구에게나,3
173,영화입니다 배우들의,2
174,영화입니다 가족의,2
175,영화입니다 다시,2
176,영화입니다 사랑이,2
177,영화입니다 안소니,2
178,영화입니다 영화가,2
179,영화입니다 생각을,2
180,영화입니다 보면,2
181,영화입니다 역시,2
182,영화입니다 집중해서,2
183,영화입니다 연기가,2
184,영화입니다 여운이,2
185,영화입니다 가족,2
186,영화입니다 마음이,2
187,영화입니다 감동,2
188,영화입니다 봐도,2
189,영화입니다 연기도,2
190,영화입니다 눈물,1
191,영화입니다 한번,1
192,영화입니다 영화네요,1
193,영화입니다 가장,1
194,영화입니다 슬프고,1
195,영화입니다 부모님이,1
196,영화입니다 연기력이,1
197,영화입니다 최고의,1
198,영화입니다 잔잔하고,1
199,영화입니다 할아버지,1
200,영화입니다 재밌어요,1
201,영화입니다 놀란의,1
202,영화입니다 감독의,1
203,영화입니다 재미있어요,1
204,영화입니다 인생영화,1
205,영화입니다 연기는,1
206,영화입니다 줄리안,1
207,영화입니다 슬퍼요,1
208,영화입니다 사랑,1
209,영화입니다 잘봤어요,1
210,영화입니다 드라마,1
211,영화입니다 스토리,1
212,영화입니다 가족과,1
213,영화입니다 작품,1
214,영화입니다 오랜만에,1
215,영화입니다 잔잔한,1
216,영화입니다 재미있게,1
217,영화입니다 슬프네요,1
218,영화입니다 좋았습니다,1
219,영화입니다 반전이,1
220,영화입니다 가족이,1
221,영화입니다 최고,1
222,영화입니다 감사합니다,1
223,영화입니다 모든,1
224,영화입니다 보았습니다,1
225,영화입니다 어려운,1
226,영화입니다 펑펑,1
227,아름다운 사랑,48
228,아름다운 아름다운,44
229,아름다운 이야기,28
230,아름다운 사랑을,18
231,아름다운 사랑이,13
232,아름다운 영화가,11
233,아름다운 영화입니다,11
234,아름다운 영화는,10
235,아름다운 드라마,8
236,아름다운 보면,8
237,아름다운 가장,8
238,아름다운 인생,8
239,아름다운 마음이,8
240,아름다운 작품,8
241,아름다운 로맨스,7
242,아름다운 사랑은,7
243,아름다운 기억을,7
244,아름다운 내가,7
245,아름다운 스토리,7
246,아름다운 마지막,7
247,아름다운 앨리스,7
248,아름다운 나를,6
249,아름다운 나는,6
250,아름다운 연기,6
251,아름다운 영화를,5
252,아름다운 나도,5
253,아름다운 기억은,5
254,아름다운 모든,5
255,아름다운 기억,5
256,아름다운 사랑하는,5
257,아름다운 눈이,4
258,아름다운 많은,4
259,아름다운 감동을,4
260,아름다운 어려운,4
261,아름다운 배우의,4
262,아름다운 아름답고,4
263,아름다운 다시,4
264,아름다운 사랑의,4
265,아름다운 진정한,4
266,아름다운 레이첼,4
267,아름다운 세상에서,4
268,아름다운 눈물,4
269,아름다운 가족,4
270,아름다운 가족의,3
271,아름다운 많이,3
272,아름다운 좋은,3
273,아름다운 영화다,3
274,아름다운 슬픈,3
275,아름다운 진짜,3
276,아름다운 엄마,3
277,아름다운 가슴,3
278,아름다운 좋아요,3
279,아름다운 영화에요,3
280,아름다운 감독의,3
281,아름다운 아름답다,3
282,아름다운 반전이,3
283,아름다운 생각하게,2
284,아름다운 기억의,2
285,아름다운 연기는,2
286,아름다운 배우들의,2
287,아름다운 그럼에도,2
288,아름다운 명작,2
289,아름다운 최고의,2
290,아름다운 그대,2
291,아름다운 만드는,2
292,아름다운 생각이,2
293,아름다운 감동적인,2
294,아름다운 영화네요,2
295,아름다운 꿈에,2
296,아름다운 반전,2
297,아름다운 보면서,2
298,아름다운 연기도,2
299,아름다운 연기가,2
300,아름다운 감동,2
301,아름다운 줄리안무어의,2
302,아름다운 좋았어요,2
303,아름다운 기억이,2
304,아름다운 슬프지만,1
305,아름다운 한번,1
306,아름다운 사랑스럽다,1
307,아름다운 보기,1
308,아름다운 생각나는,1
309,아름다운 배우들,1
310,아름다운 봐도,1
311,아름다운 잔잔하게,1
312,아름다운 인생영화,1
313,아름다운 엄마랑,1
314,아름다운 보는내내,1
315,아름다운 사랑에,1
316,아름다운 생각보다,1
317,아름다운 영화관에서,1
318,아름다운 재밌게,1
319,아름다운 다시봐도,1
320,아름다운 잘봤습니다,1
321,아름다운 감사합니다,1
322,아름다운 감동과,1
323,아름다운 남는,1
324,아름다운 부모님과,1
325,아름다운 미래,1
326,아름다운 가족과,1
327,아름다운 슬프고,1
328,아름다운 무어의,1
329,아름다운 여운이,1
330,아름다운 줄리안,1
331,아름다운 역시,1
332,아름다운 말이,1
333,아름다운 슬픔,1
334,아름다운 알츠하이머,1
335,아름다운 슬프다,1
336,아름다운 보았습니다,1
337,아름다운 좋았습니다,1
338,아름다운 울었다,1
339,아름다운 스토리가,1
340,아름다운 가족영화,1
341,아름다운 감동이,1
342,아름다운 현실적인,1
343,감동적인 영화입니다,28
344,감동적인 영화에요,13
345,감동적인 이야기,13
346,감동적인 영화를,9
347,감동적인 영화네요,8
348,감동적인 연기,7
349,감동적인 스토리,6
350,감동적인 연기가,5
351,감동적인 사랑,5
352,감동적인 다시,4
353,감동적인 영화는,4
354,감동적인 반전,4
355,감동적인 영화가,4
356,감동적인 가족,4
357,감동적인 좋았어요,4
358,감동적인 가족영화,3
359,감동적인 진짜,3
