word,score
연기가_배우들의,200
연기가_좋았어요,96
연기가_배우들,85
연기가_좋았습니다,76
연기가_배우의,71
연기가_무어의,67
연기가_좋았다,56
연기가_홉킨스의,38
연기가_좋아요,34
연기가_배우분들,33
연기가_좋았고,33
연기가_좋다,24
연기가_좋아서,20
연기가_배우님의,19
연기가_배우분들의,19
연기가_좋네요,18
연기가_돋보이는,18
연기가_줄리안무어의,18
연기가_배우,17
연기가_아주,17
연기가_배우님,15
연기가_서현진의,14
연기가_다,14
연기가_진짜,14
연기가_주인공의,14
연기가_배우님들,11
연기가_홉킨스,11
연기가_빛을,11
연기가_훌륭한,11
연기가_인상,10
연기가_안소니의,10
연기가_연출과,10
연기가_넘,9
연기가_안소니홉킨스의,9
연기가_인상적입니다,9
연기가_서현진,9
연기가_일품,8
연기가_최고,8
연기가_인상적인,8
연기가_좋았던,8
연기가_역시,8
연기가_무어,8
연기가_아닌,8
연기가_주연배우들의,8
연기가_매우,8
연기가_돋보인,7
연기가_잔잔한,7
연기가_영화의,7
연기가_인상적,7
연기가_영화를,7
연기가_제일,7
연기가_특히,7
연기가_좋았음,7
연기가_아니라,7
연기가_좋은,7
연기가_배우님들의,7
연기가_압권,7
연기가_줄리안무어,6
연기가_서현진님의,6
연기가_너무나,6
연기가_돋보였던,6
연기가_훌륭합니다,5
연기가_인상깊었습니다,5
연기가_두배우의,5
연기가_가슴에,5
연기가_그녀의,5
연기가_다들,5
연기가_다한,5
연기가_뛰어난,5
연기가_인상적이었어요,5
연기가_분의,5
연기가_좋고,5
연기가_좋습니다,5
연기가_너무너무,5
연기가_인상깊어요,5
연기가_다했다,5
연기가_훌륭해서,5
연기가_더욱,5
연기가_모든,5
연기가_가슴을,5
연기가_자연스러운,5
연기가_잊혀지지,4
연기가_손예진의,4
연기가_훌륭했다,4
연기가_리얼해서,4
연기가_최고였습니다,4
연기가_최고였어요,4
연기가_주연배우의,4
연기가_항상,4
연기가_아깝다,4
연기가_굿,4
연기가_인상적이었습니다,4
연기가_눈빛,4
연기가_마음에,4
연기가_최고입니다,4
연기가_현실적인,4
연기가_마음을,4
연기가_단연,4
연기가_주인공들의,3
연기가_느껴지는,3
재미있게_보았습니다,52
재미있게_잘봤습니다,33
재미있게_관람했습니다,26
재미있게_잘봤어요,9
재미있게_봤다,9
재미있게_봤네요,9
재미있게_보았네요,8
재미있게_나름,7
재미있게_관람했어요,6
재미있게_생각보다,5
재미있게_보고왔어요,5
재미있게_보고나왔습니다,5
재미있게_봤음,4
재미있게_엄마랑,4
재미있게_볼,4
재미있게_좋은,4
재미있게_왔습니다,3
재미있게_넘,3
재미있게_주말에,3
재미있게_봤는데,3
재미있게_본,3
재미있게_봤지만,3
재미있게_관람하였습니다,3
재미있게_너무나,3
재미있게_어이가리,3
재미있게_몰입해서,3
재미있게_좋아요,3
재미있게_보았어요,2
재미있게_감동,2
재미있게_왔어요,2
재미있게_본다면,2
재미있게_감상했습니다,2
재미있게_보셨다고,2
재미있게_잘보았습니다,2
재미있게_좋았어요,2
재미있게_진짜,2
재미있게_완전,2
재미있게_너무너무너무,2
재미있게_소설을,2
재미있게_너무너무,2
재미있게_봄,2
재미있게_난,2
재미있게_있고,2
재미있게_감사합니다,2
재미있게_딸에,2
재미있게_보았다,2
재미있게_그럭저럭,2
재미있게_나왔어요,2
재미있게_나름대로,2
재미있게_아주,2
재미있게_영화지만,2
재미있게_배우들,2
재미있게_갑니다,2
재미있게_저는,2
재미있게_보있습니다,1
재미있게_봐서,1
재미있게_있지만,1
재미있게_가족,1
재미있게_관람했어여,1
재미있게_굉장히,1
재미있게_잘보고갑니다,1
재미있게_반전,1
재미있게_봣어요추천드려요,1
재미있게_탄탄하고,1
재미있게_보다가도,1
재미있게_없었지만,1
재미있게_보고나옴,1
재미있게_즐겁고,1
재미있게_감동적으로,1
재미있게_것보다,1
재미있게_저미더라구요,1
재미있게_볼수있던,1
재미있게_어머니와,1
재미있게_관람하였네요,1
재미있게_드라마,1
재미있게_만든,1
재미있게_하네요,1
재미있게_눈물나게,1
재미있게_한번더,1
재미있게_올,1
재미있게_않는편인데,1
재미있게_봤던,1
재미있게_잔잔하고,1
재미있게_봤어요외할머니,1
재미있게_잘봤습니다이런장르의,1
재미있게_울기도,1
재미있게_하나하나까지,1
재미있게_즐겁게,1
재미있게_잘보고,1
재미있게_웃으며,1
재미있게_괸람했습니다,1
재미있게_보았는데,1
재미있게_감사해요,1
재미있게_있습니다,1
재미있게_봤고,1
재미있게_생각하고,1
재미있게_친구랑,1
재미있게_좋았고,1
재미있게_펑펑울면서,1
재미있게_연애결혼에,1
영화입니다_좋은,44
영화입니다_감동적인,28
영화입니다_최고의,14
영화입니다_아름다운,11
영화입니다_따뜻한,11
영화입니다_만드는,9
영화입니다_따뜻해지는,9
영화입니다_볼만한,8
영화입니다_만족스러운,8
영화입니다_되는,8
영화입니다_꼭,7
영화입니다_추천합니다,6
영화입니다_주는,6
영화입니다_남는,6
영화입니다_생각하게,5
영화입니다_준,5
영화입니다_같은,5
영화입니다_만든,5
영화입니다_본,5
영화입니다_인생,5
영화입니다_슬픈,4
영화입니다_어려운,4
영화입니다_나는,4
영화입니다_된,4
영화입니다_괜찮은,4
영화입니다_느껴지는,3
영화입니다_많은,3
영화입니다_좋을,3
영화입니다_할,3
영화입니다_느낄,3
영화입니다_먹먹해지는,3
영화입니다_좋아하는,3
영화입니다_영화관에서,3
영화입니다_해준,3
영화입니다_다룬,3
영화입니다_생각하게되는,3
영화입니다_놀란,3
영화입니다_멋진,3
영화입니다_고마운,3
영화입니다_없는,3
영화입니다_해주는,3
영화입니다_감동이,3
영화입니다_어울리는,3
영화입니다_감동,2
영화입니다_뭉클해지는,2
영화입니다_깊은,2
영화입니다_잔잔한,2
영화입니다_감동있는,2
영화입니다_좋았던,2
영화입니다_역시,2
영화입니다_보셔야,2
영화입니다_보고싶은,2
영화입니다_봣으면,2
영화입니다_강추,2
영화입니다_있었던,2
영화입니다_아픈,2
영화입니다_재밌는,2
영화입니다_자체인,2
영화입니다_영화를,2
영화입니다_다시,2
영화입니다_가슴이,2
영화입니다_가족에,2
영화입니다_볼수있는,2
영화입니다_가족의,2
영화입니다_잘만든,2
영화입니다_알츠하이머가,2
영화입니다_재미있는,2
영화입니다_싶은,2
영화입니다_추천하는,2
영화입니다_생각하게하는,2
영화입니다_드는,2
영화입니다_생각나는,2
영화입니다_배우들의,2
영화입니다_놀라운,2
영화입니다_극장에서도,1
영화입니다_최소한,1
영화입니다_좋아하신,1
영화입니다_따듯한,1
영화입니다_나름,1
영화입니다_눈물나는,1
영화입니다_연설문정말,1
영화입니다_장수상회,1
영화입니다_딱인,1
영화입니다_최고,1
영화입니다_생각나게,1
영화입니다_그린,1
영화입니다_받았던,1
영화입니다_어머니와같이,1
영화입니다_찐사랑,1
영화입니다_들게끔,1
영화입니다_느낌의,1
영화입니다_로맨스,1
영화입니다_조용하게,1
영화입니다_딸과,1
영화입니다_가슴뭉클해지는,1
영화입니다_느낄수잇는,1
영화입니다_모두의,1
영화입니다_남기는,1
영화입니다_짠한,1
영화입니다_감동적이고좋은,1
아름다운_가장,70
아름다운_사랑,39
아름다운_이야기,27
아름다운_부시게,25
아름다운_시,19
아름다운_시를,19
아름다운_슬프고,18
아름다운_사랑을,13
아름다운_슬프지만,12
아름다운_영화입니다,11
아름다운_사랑이야기,11
아름다운_것은,10
아름다운_것을,10
아름다운_시가,10
아름다운_이토록,10
아름다운_사랑이,9
아름다운_이별,9
아름다운_것이,9
아름다운_슬프고도,8
아름다운_삶을,8
아름다운_사랑은,7
아름다운_너무나,7
아름다운_삶의,7
아름다운_것만,7
아름다운_사람이,6
아름다운_너무나도,6
아름다운_시는,6
아름다운_것들을,6
아름다운_앨리스,6
아름다운_영화였습니다,6
아름다운_건,5
아름다운_감동적이고,5
