word,score
기억 을,57
기억 속에,29
기억 속에서,24
기억 은,21
기억 단기,18
기억 이,17
기억 하고,16
기억 하지,15
기억 의,15
기억 에,14
기억 내,14
기억 못하는,13
기억 속,12
기억 속에서도,10
기억 상실증,8
기억 이란,8
기억 과,7
기억 하는,7
기억 상실증을,7
기억 하기,6
기억 울었던,6
기억 나의,6
기억 나는,6
기억 속의,6
기억 사랑,6
기억 왜곡된,6
기억 행복했던,5
기억 상실,5
기억 내일의,5
기억 들을,5
기억 내가,5
기억 속을,5
기억 우리의,5
기억 인간의,5
기억 잃어가는,5
기억 과거의,5
기억 으로,5
기억 나를,4
기억 하나도,4
기억 할,4
기억 그의,4
기억 자신의,4
기억 잊혀져가는,4
기억 사라져가는,4
기억 모든,4
기억 좋은,4
기억 이라는,4
기억 사람의,3
기억 해,3
기억 한다,3
기억 사람을,3
기억 위에,3
기억 자신이,3
기억 안에서,3
기억 잃고,3
기억 처절한,3
기억 않고,3
기억 날,3
기억 될,3
기억 조작된,3
기억 사랑의,3
기억 당신이,3
기억 아름다운,3
기억 해낸다,3
기억 하게,3
기억 우리는,3
기억 못해도,3
기억 나지,3
기억 앨리가,3
기억 위해,3
기억 누군가의,3
기억 vs,3
기억 소중한,3
기억 사라지는,3
기억 흐린,3
기억 없는,3
기억 추억,3
기억 인간은,3
기억 뿐,2
기억 해줄,2
기억 돌아온,2
기억 도,2
기억 상실증이,2
기억 지금을,2
기억 추적,2
기억 이후의,2
기억 흐릿한,2
기억 않는,2
기억 들이,2
기억 퍼즐,2
기억 영원히,2
기억 또는,2
기억 력,2
기억 난다,2
기억 속에는,2
기억 만든,2
기억 하나둘,2
기억 잃은,2
기억 만,2
기억 했던,2
연기 배우들의,52
연기 무어의,39
연기 배우들,38
연기 최고,37
연기 홉킨스의,35
연기 연출,34
연기 좋았어요,31
연기 가,28
연기 배우,27
연기 배우님,25
연기 서현진,24
연기 진짜,23
연기 좋은,23
연기 좋았습니다,22
연기 를,22
연기 최고의,22
연기 좋아요,21
연기 무어,21
연기 홉킨스,20
연기 도,18
연기 배우의,16
연기 역시,14
연기 덕분에,13
연기 훌륭한,12
연기 에,11
연기 굿,11
연기 배우분들,11
연기 짱,11
연기 스토리,10
연기 좋다,10
연기 다,10
연기 줄리안무어,10
연기 잘하는,10
연기 다들,10
연기 좋네요,9
연기 그녀의,9
연기 치매,9
연기 대박,9
연기 좋고,9
연기 완벽한,8
연기 잘함,8
연기 빛나는,8
연기 배우님의,8
연기 잘한다,7
연기 는,7
연기 그의,7
연기 줄리안무어의,7
연기 서현진님,7
연기 인생,7
연기 잘하시는,7
연기 대단한,7
연기 잘하시네요,6
연기 넘,6
연기 좋았고,6
연기 안소니,6
연기 음악,6
연기 덕에,6
연기 잘하시고,6
연기 명품,6
연기 좋았음,6
연기 실감나는,6
연기 하네요,6
연기 엄청난,6
연기 섬세한,6
연기 신들린,6
연기 좋았다,6
연기 할아버지,6
연기 와,6
연기 안소니홉킨스의,6
연기 하나만으로도,5
연기 스토리와,5
연기 안성기,5
연기 잘하세요,5
연기 어색한,5
연기 아름다운,5
연기 명,5
연기 미쳤다,5
연기 잘하네요,5
연기 연출과,5
연기 자연스러운,5
연기 손예진,5
연기 않은,5
연기 최고다,5
연기 뛰어난,5
연기 한,4
연기 서현진씨,4
연기 력,4
연기 배우분들의,4
연기 멋진,4
연기 눈물,4
연기 하시는,4
연기 잘해서,4
연기 하나로,4
연기 배우님들,4
연기 좋음,4
연기 압권,4
연기 놀라운,4
연기 잘봤습니다,4
연기 앙상블,4
연기 남주혁,4
사람 은,19
사람 이,19
사람 사랑하는,13
사람 을,10
사람 들이,9
사람 과,8
사람 들은,8
사람 아는,7
사람 날아오를,6
사람 해주는,6
사람 싶은,6
사람 들,6
사람 의,6
사람 주는,5
사람 들의,5
사람 아름다운,5
사람 에게,5
사람 없는,5
사람 본,5
사람 사랑,5
사람 심덕출,5
사람 이다,5
사람 사는,4
사람 마음을,4
사람 순수한,4
사람 같은,4
사람 주변,4
사람 채워줄,4
사람 도,3
사람 할,3
사람 이게,3
사람 멋진,3
사람 냄새가,3
사람 내가,3
사람 만들어주는,3
사람 준,3
사람 아니에요,3
사람 해준,3
사람 소중한,3
사람 외로웠던,3
사람 사는게,2
사람 많은,2
사람 한다,2
사람 걸린,2
사람 펑펑,2
사람 생각하는,2
사람 들이다,2
사람 중에,2
사람 싶던,2
사람 이었다면,2
사람 나는,2
사람 잃은,2
사람 앓는,2
사람 자체를,2
사람 가진,2
사람 난,2
사람 나쁜,2
사람 없게,2
사람 함께할,2
사람 모든,2
사람 했다,2
사람 함께하는,2
사람 잊는,2
사람 가게,2
사람 이름,2
사람 이라면,2
사람 다,2
사람 중,2
사람 예쁜,2
사람 영화가,2
사람 노아만큼이나,2
사람 좋은,2
사람 소름돋게,2
사람 단,2
사람 에게는,2
사람 만이,2
사람 사라지는,2
사람 않는다,2
사람 없고,2
사람 가족,2
사람 정도로,2
사람 사랑과,2
사람 한테,2
사람 내,2
사람 믿을,2
사람 인,2
사람 아닌데,1
사람 누구도,1
사람 됨,1
사람 쓰는,1
사람 늙어가는,1
사람 볼라니까,1
사람 나를,1
사람 이야,1
사람 언제든,1
사람 못잊을,1
사람 말을,1
사람 세상이,1
사람 전부였다는,1
사람 둘이,1
마지막 장면이,31
마지막 장면에서,23
마지막 반전이,22
마지막 장면은,21
마지막 장면,20
마지막 반전,20
마지막 반전에,12
마지막 영혼의,12
마지막 숨을,11
마지막 대사,11
마지막 장면의,10
마지막 순간까지,10
마지막 에,9
마지막 으로,9
마지막 안소니의,9
마지막 엔딩,8
마지막 대사가,8
마지막 그녀의,8
마지막 앨리스의,8
마지막 장면을,7
마지막 영화의,7
마지막 반전은,7
마지막 인생의,7
마지막 장면에,7
마지막 대사는,7
마지막 나의,6
마지막 맨,6
마지막 편의점,6
마지막 반전을,6
마지막 삶의,6
마지막 특히,6
마지막 회,6
마지막 10분이,6
마지막 드라마,6
마지막 결말이,5
마지막 날,5
마지막 나레이션이,5
마지막 진짜,5
마지막 10분,5
마지막 로맨스,5
마지막 사랑,5
마지막 10분을,5
마지막 한다,4
마지막 사랑을,4
마지막 시는,4
마지막 그의,4
마지막 나일,4
마지막 순간,4
마지막 기억을,4
마지막 사랑이,4
마지막 지문,4
마지막 사랑의,4
마지막 잎새를,4
마지막 노년의,4
마지막 엔딩에서,4
마지막 남은,4
마지막 있었지만,4
마지막 선생님의,4
마지막 장면과,4
마지막 그들의,4
마지막 엔딩이,4
마지막 김혜자,4
마지막 장면에서는,4
마지막 반전까지,4
마지막 씬,3
마지막 장면만,3
마지막 감동,3
마지막 있을까,3
마지막 있었던,3
마지막 부분이,3
마지막 자신이,3
마지막 5분을,3
마지막 했는데,3
마지막 미자의,3
마지막 순간까지도,3
마지막 부분은,3
마지막 시를,3
마지막 반전도,3
마지막 은,3
마지막 부분,3
마지막 미자가,3
마지막 엔딩까지,3
마지막 인생,3
마지막 화의,3
마지막 쯤,3
마지막 부분의,3
마지막 반전과,3
마지막 있었다,3
마지막 시,3
마지막 순간에,3
마지막 시퀀스에,3
마지막 장면에선,3
마지막 연기와,3
마지막 생의,3
마지막 혜자의,3
마지막 기억의,3
마지막 이,3
마지막 내,3
마지막 여행,3
마지막 시퀀스는,3
치매 환자의,65
치매 를,34
치매 걸린,25
치매 노인의,23
치매 환자,22
치매 환자가,22
치매 에,20
치매 는,15
치매 알츠하이머,14
치매 체험,13
치매 노인,12
치매 환자를,11
치매 라는,11
치매 초로기,9
치매 환자와,9
치매 연기,8
치매 진짜,8
치매 간접,8
치매 무서운,7
치매 무섭다,7
치매 걸리면,6
치매 관련,6
치매 의,6
치매 당사자의,5
치매 로,5
치매 가족이,5
치매 노인을,5
치매 영화는,5
치매 시점,4
치매 전지적,4
치매 내가,4
치매 모든,4
치매 질병,3
치매 환자들은,3
치매 가,3
치매 연기가,3
치매 환자에게,3
치매 홉킨스의,3
치매 라고,3
치매 안소니,3
치매 환자에,3
치매 아닐까,3
치매 서현진,3
치매 전문,3
치매 슬프네요,3
치매 병,3
치매 이야기,3
치매 란,3
치매 없는,3
치매 사랑,3
치매 환자들의,3
치매 노인이,3
치매 와,3
치매 많은,2
치매 나이듦,2
치매 실제,2
치매 스릴러,2
치매 환자로,2
치매 관객을,2
치매 엄마,2
치매 알츠하이머는,2
치매 앓는,2
치매 두렵다,2
치매 치료제가,2
치매 봤다,2
치매 완벽한,2
치매 드러난다,2
치매 영화였어요,2
치매 가족을,2
치매 아버지가,2
치매 나,2
치매 되는,2
치매 함,2
치매 아니라,2
치매 그려낸,2
치매 인구가,2
치매 나이들어,2
치매 영화에서,2
치매 걸리지,2
치매 증상을,2
치매 부부가,2
치매 작품은,2
치매 나도,2
치매 어디있나요,2
치매 영화가,2
치매 연기에,2
치매 할머니의,2
치매 슬프다,2
치매 않는다,2
치매 소재,2
치매 고령화,2
치매 노아가,2
치매 가족,2
치매 간접경험,2
치매 연기와,2
치매 환자로서,2
치매 아버지를,2
치매 사람들이,2
치매 1인칭,2
치매 등을,2
가슴 아픈,43
가슴 따뜻한,37
가슴 찡한,24
가슴 따뜻해지는,24
가슴 먹먹한,18
가슴 속에,17
가슴 한켠이,14
가슴 뛰었는지,12
가슴 뭉클한,11
가슴 아프고,11
가슴 아프다,10
가슴 먹먹해지는,9
가슴 아프게,9
가슴 절절한,8
가슴 아프지만,8
가슴 찡하게,7
가슴 이,7
가슴 뭉클하게,6
가슴 내내,6
가슴 노랫소리에,6
가슴 속,6
가슴 오랜만에,5
가슴 뭉클하고,5
가슴 아플,5
가슴 먹먹하고,5
가슴 누구나,5
가슴 내,5
가슴 소리에,4
가슴 한편이,4
가슴 이토록,4
가슴 아린,4
가슴 진짜,4
가슴 깊이,3
가슴 설렌다,3
가슴 진한,3
가슴 따듯해지는,3
가슴 생각하면,3
가슴 너무나,3
가슴 뭉클,3
가슴 아팠다,3
가슴 아픕니다,3
가슴 저리게,3
가슴 먹먹하게,3
가슴 자식이란건,3
가슴 보는내내,3
가슴 켠에,3
가슴 봤는데,3
가슴 따뜻하고,3
가슴 있기에,2
가슴 안고,2
가슴 찢어지게,2
가슴 잔잔하고,2
가슴 부모,2
가슴 훈훈한,2
가슴 넘,2
가슴 사람,2
가슴 뻔하지만,2
가슴 나의,2
가슴 연기,2
가슴 좋았고,2
가슴 한구석에,2
가슴 생각하게,2
가슴 아픈데,2
가슴 아프네요,2
가슴 아름답고,2
가슴 한켠에,2
가슴 아닌,2
가슴 찡하네요,2
가슴 저릿한,2
가슴 있지만,2
가슴 저린,2
가슴 찡했어요,2
가슴 벅차게,2
가슴 아직도,2
가슴 찡하게하는,2
가슴 다시봐도,2
가슴 너무나도,2
가슴 뜨거워지는,2
가슴 켠이,2
가슴 속의,2
가슴 사랑에,2
가슴 가장,2
가슴 따순,2
가슴 한켠을,2
가슴 노래소리에,2
가슴 벅찬,2
가슴 슬프고,2
가슴 풋풋하고,2
가슴 으로,2
가슴 울리는,2
가슴 본,2
가슴 따뜻했습니다,2
가슴 시리게,2
가슴 먹먹하다,2
가슴 저미는,2
가슴 더더욱,2
가슴 없이,2
가슴 속에서,2
가슴 모습이,2
가슴 아파요,2
반전 마지막,20
반전 못한,14
반전 감동,13
반전 이,13
반전 의,13
반전 최고의,10
반전 나름,9
반전 아닌,8
반전 에,7
반전 스토리,7
반전 못했던,7
반전 뻔한,7
반전 슬펐어요,5
반전 감동적인,5
반전 나름의,5
반전 했던,4
반전 이후에,4
반전 끝에,4
반전 예상되는,4
반전 을,4
반전 의외의,4
반전 대박,4
반전 완전,4
반전 알았는데,4
반전 흔한,4
반전 충격적인,3
반전 도,3
반전 뜬금없는,3
반전 막판,3
반전 눈물,3
반전 예상치못한,3
반전 진짜,3
반전 슬픔,3
