word,score
다시,438
내가,434
연기가,422
진짜,418
좋았어요,387
좋은,377
연기,375
영화를,339
많이,337
사랑,321
역시,317
아름다운,306
없는,298
눈물,288
재미있게,285
가장,273
마지막,270
영화가,270
나는,270
감동,268
이야기,266
영화는,251
마음이,250
재밌게,242
사랑을,241
기억을,235
모든,230
나를,224
배우들의,222
잘봤습니다,222
놀란,221
나도,220
좋았습니다,218
같은,216
봐도,216
반전이,215
최고의,204
가슴이,200
슬픈,199
사랑이,198
봤는데,192
잔잔한,191
반전,189
나의,189
연기는,187
감동적인,187
오랜만에,187
생각이,185
좋아요,185
보면,185
많은,183
영화입니다,180
되는,180
안소니,180
영화네요,179
가족의,178
슬프고,175
기억이,174
사랑은,173
있을까,173
펑펑,173
가슴,171
아닌,169
최고,169
내내,167
좋았다,166
따뜻한,166
드라마,164
계속,164
딸에,161
시를,158
생각하게,158
감동이,156
않은,155
영화의,154
뻔한,153
대해,152
스토리,152
작품,151
치매,151
것이,150
엄마,150
만드는,149
로맨스,148
줄리안,148
기억,147
기억의,146
것을,145
사랑하는,143
기억은,142
울었다,141
슬프다,139
눈이,139
것은,138
지금,137
다시봐도,137
여운이,136
한번,136
싶은,135
보면서,135
영화였어요,134
않는,133
아니라,133
마지막에,133
사랑의,131
삶을,131
좋다,131
싶다,129
눈물을,127
메멘토,126
생각을,126
배우의,124
끝까지,124
감동적이고,124
재밌어요,124
명작,123
너무나,122
사람이,122
위해,122
느낌,120
부모님,119
레이첼,119
연기에,116
마음,116
인생,116
사랑에,115
만든,115
감독의,115
그렇게,115
한다,114
연기도,114
놀란의,114
감동을,112
영화였습니다,111
가족,111
보기,110
무어의,110
이해가,109
주는,107
같아요,107
알츠하이머,106
않고,106
감사합니다,106
잔잔하게,106
뭔가,105
없이,104
생각보다,104
이게,104
삶의,104
연출,103
말이,103
기억에,102
배우들,101
마음을,100
연기를,100
슬픔,100
시간이,98
있고,98
위한,98
홉킨스의,97
남는,97
슬퍼요,96
크리스토퍼,96
추천합니다,96
완전,96
서현진,96
보니,96
아주,96
울고,95
제일,95
처음,95
엄마가,94
엄마랑,94
배우,93
있을,93
재미있어요,91
엄청,91
근데,91
우리의,91
인생영화,91
잘봤어요,91
어려운,91
앨리스,91
보았습니다,91
스토리가,90
좋네요,90
된다,90
못한,89
보세요,89
영화관에서,88
그럼에도,87
내용이,86
배우들의 연기가,86
있어서,85
누구나,85
아름답다,85
가족이,85
영화다,85
노년의,84
줄리안 무어의,84
다시 봐도,83
우리는,83
밖에,83
보는내내,83
순간,83
부모님과,83
보다가,82
치매에,82
자신을,82
알고,81
카시오페아,81
그녀의,81
잔잔하고,80
시는,80
사람을,80
이거,79
현실적인,79
항상,79
하게,79
있지만,79
매일,78
연출이,78
않는다,78
이건,78
소중함을,78
느껴지는,78
시가,77
영화였다,77
새로운,77
시간을,77
손예진,77
안소니 홉킨스의,77
나름,77
것이다,77
느낄,76
담담하게,76
인생을,76
아니다,76
재밌었어요,76
울었어요,76
이야기를,76
love,76
있다는,76
사람,75
엄마의,75
할아버지,74
가는,74
보다,74
자신의,74
슬프네요,74
인생의,73
더욱,73
감독,73
무서운,72
보여주는,72
연기력,72
속에서,72
있었다,72
좋고,71
아름답고,71
홉킨스,71
봤다,71
치매를,71
있어,71
영화에요,71
인간의,70
사람은,70
진정한,70
그의,70
언제나,70
잃어가는,70
모습이,69
보게,69
사람의,69
봐야,69
점점,68
치매는,68
완벽한,68
마음에,68
좋아하는,68
느끼게,68
이야기가,68
부시게,67
삶이,67
나이가,67
다시한번,67
반전에,67
극장에서,67
생각,67
이제,67
수도,66
따뜻해지는,66
있다면,66
누구에게나,66
슬펐어요,66
간만에,65
그대로,65
할머니,65
노트북,65
믿고,65
제대로,65
연기력이,64
눈이 부시게,64
아닐까,64
부모님이,64
이해하기,64
했는데,64
영화에,64
내용,64
볼만한,63
영화로,63
별로,63
힘든,63
우리가,63
없었다,63
것도,63
무어,63
않을,62
연기와,62
장면이,62
해주는,62
훌륭한,62
놀란은,62
세상에서,62
반전을,62
했다,62
주인공의,61
이창동,61
합니다,61
시간의,61
아픈,61
살짝,61
소중한,61
그게,61
저렇게,61
너무나도,61
나오는,61
재밌고,60
그녀는,60
당신은,60
나에게,60
있게,60
모르겠다,60
봐서,59
감동과,59
감정을,59
아직,59
좋았고,59
모습을,59
봤네요,59
정도로,59
가족을,59
슬펐다,59
아름답게,59
가족과,59
기억과,59
부모님께,59
깊은,58
그들의,58
그대,58
사랑스러운,58
의미를,58
가족영화,58
사람들이,57
장면,57
아직도,57
현실,57
멋진,57
매우,57
괜찮은,57
생각나는,57
결말이,57
슬프지만,56
너무너무,56
살아가는,56
걸린,56
반전도,56
충분히,56
그럭저럭,56
세상,56
어쩌면,56
사실,56
않았다,56
속에,55
집중해서,55
저런,55
울면서,55
영원한,55
안소니 홉킨스,55
평생,55
현실을,55
처음부터,55
하네요,54
일이,54
좋았음,54
영원히,54
좋았던,54
크리스토퍼 놀란,54
못하는,54
슬퍼서,54
딸의,53
젊은,53
라이언,53
있습니다,53
모두가,53
통해,53
감동도,53
않다,53
같아,53
솔직히,53
앨리스의,53
평범한,53
알았는데,53
갑자기,53
있었던,52
했지만,52
느낌이,52
한국,52
누가,52
연기가 좋았어요,52
처음으로,52
전개,52
특히,52
다들,52
결말,52
이해,52
이걸,51
수가,51
놀라운,51
어렵다,51
이미,51
사는,51
인생은,51
멜로,51
다시 한번,51
조금은,51
서로,51
명작은,51
볼때마다,51
alice,51
많은 생각을,51
치매가,50
절대,50
입니다,50
전혀,50
삶은,50
관람했습니다,50
정우성,50
사랑하고,50
것에,50
추천,50
울었네요,50
감독이,50
파더,50
강추,50
연출과,49
나중에,49
배우님,49
삶에,49
기분,49
따뜻하고,49
휴지,49
기억하고,49
아버지,49
해도,49
시작,48
아름다움을,48
엄마와,48
감정이,48
요즘,48
중간에,48
좋은영화,48
했던,48
행복한,48
가슴을,48
없고,48
오늘을,48
무섭다,48
사랑해,48
자신이,48
마지막까지,47
good,47
되었다,47
대단한,47
맥아담스,47
첫사랑,47
않게,47
보여준,47
생각해보게,47
사랑스럽다,47
보며,47
세상에,47
아쉽다,47
가족에,46
되어,46
잊지,46
사랑이란,46
처음엔,46
그녀가,46
오늘,46
남자,46
뻔하지만,46
대박,46
사랑이야기,46
생각해,46
사랑할,46
생각을 하게,46
줄리안 무어,45
감동적이었어요,45
세상을,45
몰입해서,45
해서,45
알게,45
남는다,45
아프다,45
좋겠다,45
아쉬운,45
스토리는,45
눈을,45
봤던,45
감동은,45
공감이,44
감동의,44
당신을,44
재미,44
반전과,44
천천히,44
레이첼 맥아담스,44
해준,44
사람과,44
라는,44
이유가,44
모르고,44
가지고,44
