word,score
다시_봐도,201
다시_한번,168
다시_보니,79
다시_대해,72
다시_생각하게,54
다시_볼,50
다시_오랜만에,33
다시_극장에서,32
다시_본,29
다시_꼭,27
다시_영화를,24
다시_보면,21
다시_생각해보게,20
다시_봤는데,20
다시_영화관에서,19
다시_소중함을,19
다시_만나,18
다시_의미를,16
다시_보고싶은,16
다시_싶은,14
다시_보게,14
다시_가족을,13
다시_봐야,13
다시_지금,13
다시_사랑을,12
다시_봐야겠다,12
다시_나를,12
다시_돌아보게,11
다시_오면,11
다시_깨어나,10
다시_생각해,10
다시_사랑에,10
다시_나중에,10
다시_금,10
다시_촛불이,10
다시_봤다,9
다시_기억을,9
다시_인생을,9
다시_아침,8
다시_보니까,8
다시_보아도,8
다시_본다면,8
다시_봐야지,8
다시_것을,8
다시_처음부터,8
다시_싶네요,8
다시_명작은,7
다시_만나게,7
다시_봄,7
다시_생각을,7
다시_봐서,7
다시_만날,7
다시_영화는,7
다시_또,7
다시_재개봉으로,7
다시_역시,6
다시_흘러,6
다시_명작,6
다시_부모님을,6
다시_생각해볼,6
다시_삶을,6
다시_만난,6
다시_봐야겠어요,6
다시_몇번이고,5
다시_20년만에,5
다시_말해,5
다시_난,5
다시_후,5
다시_느끼게,5
다시_내가,5
다시_메멘토,5
다시_우리는,5
다시_명작을,5
다시_생각,5
다시_삶에,5
다시_사랑해,5
다시_생각하게되는,5
다시_봤지만,5
다시_만나고,5
다시_사랑할,5
다시_걸,5
다시_돌아,4
다시_할,4
다시_보러,4
다시_후에,4
다시_봤을,4
다시_처음으로,4
다시_싶다,4
다시_깨닫게,4
다시_거꾸로,4
다시_뒤,4
다시_못,4
다시_보는데,4
다시_시계를,4
다시_언제든,4
다시_그녀를,4
다시_알고,4
다시_봤는데도,4
다시_오랫만에,4
다시_생각해보니,4
내가_나를,50
내가_본,45
내가_나는,32
내가_젊은,31
내가_나일,28
내가_나로,27
내가_사랑하는,26
내가_영화를,25
내가_기억이고,24
내가_다,24
내가_좋아하는,23
내가_지금,23
내가_늙은,21
내가_가장,20
내가_아닌,17
내가_진짜,17
내가_사랑했는지,16
내가_아는,16
내가_간절히,15
내가_될,14
내가_뭘,13
내가_건,13
내가_가진,12
내가_생각하는,12
내가_나로서,12
내가_않기를,12
내가_기억을,12
내가_할,11
내가_애틋하거든,11
내가_하면,11
내가_기억하는,11
내가_원하는,11
내가_난,10
내가_들국화까지도,10
내가_것은,9
내가_살아보니까,9
내가_아직,9
내가_제일,9
내가_아니게,9
내가_애틋해,9
내가_니,9
내가_꿈꾸는,8
내가_기억하고,8
내가_누군지,8
내가_치매에,8
내가_내,8
내가_나도,8
내가_겪을,8
내가_봐도,7
내가_싶은,7
내가_돌아오도록,7
내가_이걸,7
내가_아니라,7
내가_나이가,6
내가_노아에게,6
내가_내내,6
내가_주인공이,6
내가_사는,6
내가_감히,6
내가_사라져도,6
내가_알츠하이머에,6
내가_앞으로,6
내가_당신을,6
내가_나일수,6
내가_나중에,6
내가_아니다,6
내가_있을까,6
내가_시를,6
내가_살아온,6
내가_생각한,6
내가_꿈을,6
내가_속,6
내가_쌓아온,6
내가_지금이,5
내가_있고,5
내가_버리면,5
내가_다시,5
내가_더이상,5
내가_보기엔,5
내가_된다,5
내가_널,5
내가_어쩌면,5
내가_나임을,5
내가_저런,5
내가_누구인지,5
내가_사라지는,5
내가_이래서,5
내가_울었다,5
내가_기억하지,4
내가_돼,4
내가_한다,4
내가_속에,4
내가_것이다,4
내가_만든,4
내가_봤다,4
내가_앨리스가,4
내가_없는,4
내가_만드는,4
내가_대신,4
내가_오늘,4
연기가_배우들의,200
연기가_좋았어요,96
연기가_배우들,85
연기가_좋았습니다,76
연기가_배우의,71
연기가_무어의,67
연기가_좋았다,56
연기가_홉킨스의,38
연기가_좋아요,34
연기가_배우분들,33
연기가_좋았고,33
연기가_좋다,24
연기가_좋아서,20
연기가_배우님의,19
연기가_배우분들의,19
연기가_좋네요,18
연기가_돋보이는,18
연기가_줄리안무어의,18
연기가_배우,17
연기가_아주,17
연기가_배우님,15
연기가_서현진의,14
연기가_다,14
연기가_진짜,14
연기가_주인공의,14
연기가_배우님들,11
연기가_홉킨스,11
연기가_빛을,11
연기가_훌륭한,11
연기가_인상,10
연기가_안소니의,10
연기가_연출과,10
연기가_넘,9
연기가_안소니홉킨스의,9
연기가_인상적입니다,9
연기가_서현진,9
연기가_일품,8
연기가_최고,8
연기가_인상적인,8
연기가_좋았던,8
연기가_역시,8
연기가_무어,8
연기가_아닌,8
연기가_주연배우들의,8
연기가_매우,8
연기가_돋보인,7
연기가_잔잔한,7
연기가_영화의,7
연기가_인상적,7
연기가_영화를,7
연기가_제일,7
연기가_특히,7
연기가_좋았음,7
연기가_아니라,7
연기가_좋은,7
연기가_배우님들의,7
연기가_압권,7
연기가_줄리안무어,6
연기가_서현진님의,6
연기가_너무나,6
연기가_돋보였던,6
연기가_훌륭합니다,5
연기가_인상깊었습니다,5
연기가_두배우의,5
연기가_가슴에,5
연기가_그녀의,5
연기가_다들,5
연기가_다한,5
연기가_뛰어난,5
연기가_인상적이었어요,5
연기가_분의,5
연기가_좋고,5
연기가_좋습니다,5
연기가_너무너무,5
연기가_인상깊어요,5
연기가_다했다,5
연기가_훌륭해서,5
연기가_더욱,5
