word(SoyNLP),score(SoyNLP),word(TF-IDF),score(TF-IDF),word(KeyBERT),score(KeyBERT)
기억_을,57.0,다시_봐도,201,재미있게_보았습니다,52.0
기억_속에,29.0,다시_한번,168,재미있게_잘봤습니다,33.0
기억_속에서,24.0,다시_보니,79,재미있게_관람했습니다,26.0
기억_은,21.0,다시_대해,72,재미있게_봤다,9.0
기억_단기,18.0,다시_생각하게,54,재미있게_봤네요,9.0
기억_이,17.0,다시_볼,50,재미있게_잘봤어요,9.0
기억_하고,16.0,다시_오랜만에,33,재미있게_보았네요,8.0
기억_의,15.0,다시_극장에서,32,재미있게_나름,7.0
기억_하지,15.0,다시_본,29,재미있게_관람했어요,6.0
기억_에,14.0,다시_꼭,27,재미있게_생각보다,5.0
기억_내,14.0,다시_영화를,24,재미있게_보고나왔습니다,5.0
기억_못하는,13.0,다시_보면,21,재미있게_보고왔어요,5.0
기억_속,12.0,다시_봤는데,20,재미있게_엄마랑,4.0
기억_속에서도,10.0,다시_생각해보게,20,재미있게_좋은,4.0
기억_이란,8.0,다시_소중함을,19,재미있게_볼,4.0
기억_상실증,8.0,다시_영화관에서,19,재미있게_봤음,4.0
기억_과,7.0,다시_만나,18,재미있게_너무나,3.0
기억_상실증을,7.0,다시_보고싶은,16,재미있게_넘,3.0
기억_하는,7.0,다시_의미를,16,재미있게_어이가리,3.0
기억_왜곡된,6.0,다시_보게,14,재미있게_주말에,3.0
기억_하기,6.0,다시_싶은,14,재미있게_좋아요,3.0
기억_속의,6.0,다시_봐야,13,재미있게_봤지만,3.0
기억_울었던,6.0,다시_가족을,13,재미있게_몰입해서,3.0
기억_나는,6.0,다시_지금,13,재미있게_봤는데,3.0
기억_나의,6.0,다시_나를,12,재미있게_왔습니다,3.0
기억_사랑,6.0,다시_봐야겠다,12,재미있게_관람하였습니다,3.0
기억_으로,5.0,다시_사랑을,12,재미있게_본,3.0
기억_행복했던,5.0,다시_돌아보게,11,재미있게_보셨다고,2.0
기억_과거의,5.0,다시_오면,11,재미있게_저는,2.0
기억_내가,5.0,다시_나중에,10,재미있게_봄,2.0
기억_상실,5.0,다시_촛불이,10,재미있게_왔어요,2.0
기억_들을,5.0,다시_생각해,10,재미있게_완전,2.0
기억_우리의,5.0,다시_사랑에,10,재미있게_감상했습니다,2.0
기억_인간의,5.0,다시_깨어나,10,재미있게_영화지만,2.0
기억_잃어가는,5.0,다시_금,10,재미있게_본다면,2.0
기억_내일의,5.0,다시_인생을,9,재미있게_나름대로,2.0
기억_속을,5.0,다시_기억을,9,재미있게_딸에,2.0
기억_모든,4.0,다시_봤다,9,재미있게_그럭저럭,2.0
기억_하나도,4.0,다시_처음부터,8,재미있게_있고,2.0
기억_잊혀져가는,4.0,다시_싶네요,8,재미있게_보았어요,2.0
기억_할,4.0,다시_아침,8,재미있게_진짜,2.0
기억_나를,4.0,다시_봐야지,8,재미있게_나왔어요,2.0
기억_자신의,4.0,다시_보니까,8,재미있게_잘보았습니다,2.0
기억_좋은,4.0,다시_보아도,8,재미있게_소설을,2.0
기억_사라져가는,4.0,다시_것을,8,재미있게_감동,2.0
기억_그의,4.0,다시_본다면,8,재미있게_너무너무,2.0
기억_이라는,4.0,다시_명작은,7,재미있게_난,2.0
기억_날,3.0,다시_만나게,7,재미있게_감사합니다,2.0
기억_위해,3.0,다시_재개봉으로,7,재미있게_너무너무너무,2.0
기억_사랑의,3.0,다시_봄,7,재미있게_아주,2.0
기억_우리는,3.0,다시_영화는,7,재미있게_좋았어요,2.0
기억_조작된,3.0,다시_또,7,재미있게_배우들,2.0
기억_소중한,3.0,다시_봐서,7,재미있게_보았다,2.0
기억_당신이,3.0,다시_만날,7,재미있게_갑니다,2.0
기억_흐린,3.0,다시_생각을,7,재미있게_그려낸,1.0
기억_앨리가,3.0,다시_만난,6,재미있게_테넷을,1.0
기억_누군가의,3.0,다시_생각해볼,6,재미있게_따뜻하고,1.0
기억_나지,3.0,다시_삶을,6,재미있게_운거같아요,1.0
기억_해,3.0,다시_봐야겠어요,6,재미있게_짜면서,1.0
기억_않고,3.0,다시_부모님을,6,재미있게_봤어요시간가는줄,1.0
기억_위에,3.0,다시_흘러,6,재미있게_가족들과,1.0
기억_사라지는,3.0,다시_명작,6,재미있게_웃고가려다가,1.0
기억_vs,3.0,다시_역시,6,재미있게_보다가도,1.0
기억_될,3.0,다시_메멘토,5,재미있게_봤는걸요,1.0
기억_사람을,3.0,다시_봤지만,5,재미있게_되고,1.0
기억_해낸다,3.0,다시_만나고,5,재미있게_드렸는데,1.0
기억_하게,3.0,다시_생각하게되는,5,재미있게_봤네요소소한,1.0
기억_잃고,3.0,다시_우리는,5,재미있게_울기도,1.0
기억_사람의,3.0,다시_후,5,재미있게_카시오페아,1.0
기억_안에서,3.0,다시_난,5,재미있게_감동적이고,1.0
기억_인간은,3.0,다시_명작을,5,재미있게_아닌데,1.0
기억_한다,3.0,다시_사랑할,5,재미있게_봤어요감동까지,1.0
기억_자신이,3.0,다시_사랑해,5,재미있게_공감가는부분도,1.0
기억_없는,3.0,다시_느끼게,5,재미있게_숨어있을줄이야어째든,1.0
기억_처절한,3.0,다시_몇번이고,5,재미있게_안간다그렇지만,1.0
기억_못해도,3.0,다시_걸,5,재미있게_그려지고,1.0
기억_아름다운,3.0,다시_20년만에,5,재미있게_가볍게,1.0
기억_추억,3.0,다시_내가,5,재미있게_없었지만,1.0
기억_돌아온,2.0,다시_생각,5,재미있게_있게,1.0
기억_혜자의,2.0,다시_삶에,5,재미있게_가슴,1.0
기억_해줄,2.0,다시_말해,5,재미있게_있네요,1.0
기억_했던,2.0,다시_할,4,재미있게_강추합니다,1.0
기억_추적,2.0,다시_언제든,4,재미있게_관람했답니다,1.0
기억_불행했던,2.0,다시_보고싶다,4,재미있게_잘보고,1.0
기억_지금을,2.0,다시_보면서,4,재미있게_즐기고,1.0
기억_또는,2.0,다시_봤을,4,재미있게_영화에요,1.0
기억_메모,2.0,다시_나타나서,4,재미있게_봤고,1.0
기억_내내,2.0,다시_놀란,4,재미있게_좋았습니다,1.0
기억_들로,2.0,다시_돌아,4,재미있게_슬펐습니다,1.0
기억_영원히,2.0,다시_번이고,4,재미있게_슬펐지만,1.0
기억_만든,2.0,다시_내,4,재미있게_봤어요박근형님,1.0
기억_잃은,2.0,다시_못,4,재미있게_가족과,1.0
기억_점점,2.0,다시_그녀를,4,재미있게_감동있고,1.0
기억_상실증에,2.0,다시_생각해보니,4,재미있게_생각하고,1.0
기억_이의,2.0,다시_보는데,4,재미있게_봤어요후회하지,1.0
기억_흐릿한,2.0,다시_후에,4,재미있게_읽었었는데,1.0
기억_이다,2.0,다시_오랫만에,4,재미있게_것보다,1.0
기억_이었다,2.0,다시_봤는데도,4,재미있게_펑펑울면서,1.0
기억_뒤섞인,2.0,다시_제대로,4,재미있게_보았슴다,1.0
기억_도,2.0,다시_앨리가,4,재미있게_보았읍니다,1.0
연기_배우들의,52.0,내가_나를,50,연기가_배우들의,200.0
연기_무어의,39.0,내가_본,45,연기가_좋았어요,96.0
연기_배우들,38.0,내가_나는,32,연기가_배우들,85.0
연기_최고,37.0,내가_젊은,31,연기가_좋았습니다,76.0
연기_홉킨스의,35.0,내가_나일,28,연기가_배우의,71.0
연기_연출,34.0,내가_나로,27,연기가_무어의,67.0
연기_좋았어요,31.0,내가_사랑하는,26,연기가_좋았다,56.0
연기_가,28.0,내가_영화를,25,연기가_홉킨스의,38.0
연기_배우,27.0,내가_기억이고,24,연기가_좋아요,34.0
연기_배우님,25.0,내가_다,24,연기가_배우분들,33.0
연기_서현진,24.0,내가_좋아하는,23,연기가_좋았고,33.0
연기_좋은,23.0,내가_지금,23,연기가_좋다,24.0
연기_진짜,23.0,내가_늙은,21,연기가_좋아서,20.0
