word,score
설경구,1281
연기,1205
연기가,1157
연기는,766
진짜,747
설경구의,740
역시,723
좋았어요,713
있는,620
배우들의,556
내가,555
다시,539
봤습니다,523
그냥,507
보고,494
영화를,492
좋은,481
많이,466
연기력,425
봤어요,421
마지막,414
영화가,410
하는,401
없는,400
보는,394
좋았습니다,393
영화는,386
눈물이,382
김남길,372
재밌게,371
배우들,363
재미있게,348
기억을,346
사랑,343
결말이,340
최고,339
연기도,338
스토리,337
가장,330
아름다운,327
대한,327
나는,325
생각보다,323
연기력이,316
눈물,309
원작을,302
반전,301
이야기,297
잘봤습니다,297
봤는데,295
설경구 연기,294
오랜만에,291
감동,289
좋아요,286
반전이,282
재밌어요,279
끝까지,279
모든,279
좋았다,277
같은,276
기억이,275
이렇게,273
마음이,273
연기에,271
나도,266
연기를,265
재밌었어요,260
사랑을,256
내내,251
없다,249
배우의,249
최고의,247
내용이,247
나를,245
스토리가,242
생각이,241
봐도,241
보면,238
계속,237
뭔가,237
느낌,235
놀란,232
영화네요,232
되는,232
영화의,231
영화입니다,231
배우,228
설현,227
마지막에,225
배우들의 연기가,224
만드는,221
연기력은,219
많은,219
슬픈,217
가슴이,214
이해가,213
사랑이,213
않은,213
나의,211
치매,205
완전,204
아닌,203
한번,201
기억,201
슬프고,199
잔잔한,198
나름,198
감동적인,197
하고,196
있을까,193
생각하게,193
영화였어요,192
뻔한,190
기억은,190
작품,189
가족의,188
안소니,187
김남길의,187
가슴,187
같아요,185
사랑은,184
것이,184
근데,183
아주,181
설경구씨,181
펑펑,180
기억의,180
드라마,176
것을,175
대해,174
따뜻한,173
대박,173
있고,173
좋네요,172
연출,172
좋다,171
것은,170
설경구의 연기가,169
영화였습니다,169
시를,169
않는,169
보면서,169
메멘토,169
좋고,168
알츠하이머,168
기억에,168
만든,166
설경구님,165
설경구 연기가,164
생각을,163
보는 내내,161
아니라,161
싶은,161
엄마,159
여운이,158
딸에,157
별로,157
로맨스,156
감동이,155
잘봤어요,155
스릴러,155
그렇게,155
보는내내,154
위해,154
사랑하는,154
싶다,152
지금,152
않고,152
줄리안,152
결말,151
연기력에,150
좋았고,150
원작이,149
반전에,148
스토리도,148
울었다,148
감독의,147
너무나,147
슬프다,147
없이,146
눈이,146
살짝,146
원작,146
책을,145
간만에,144
한다,144
말이,143
다시봐도,141
이게,141
보기,140
설경구 연기는,139
사랑의,139
삶을,139
사람이,138
엄청,138
연기가 좋았어요,137
남는,136
눈물을,136
재미있어요,135
설경구 김남길,134
명작,133
인생,132
재미있었어요,131
연기와,130
주는,130
못한,130
몰입도,130
마음,130
시간이,129
제일,129
보았습니다,128
