배우들의,카시오페아,감사합니다,영화네요,잘봤습니다,마지막에,홉킨스의,생각을,사랑이,재미있게,줄리안,오늘을,봐도,마음이,감동을,눈물,보았습니다,좋아요,드라마,기억은,추천합니다,살아가세요,생각하게,인생영화,홉킨스,좋은,보면,좋았습니다,나는,크리스토퍼,마지막,슬프고,엄마랑,가족의,내가,불과하다지만,아름다운,슬퍼요,재미있어요,영화관에서,오랜만에,부시게,연기,다시,슬프다,부모님과,눈이,배우들,반전이,펑펑,감동이,사랑을,사랑,잔잔하고,생각보다,영화를,영화입니다,딸에,그럼에도,영화가,레이첼,현실적인,안소니,아름답다,기억을,잔잔한,하게,보는내내,연기가,좋았어요,진짜,슬픈,연기는,감동적인,로맨스,부모님,놀란,잔잔하게,역시,명작,감동,소중함을,나도,감동적이고,사랑은,사랑하는,생각이,서현진,메멘토,재밌어요,가슴이,다시봐도,영화는,무어의,재밌게,맥아담스,반전
6,1,0,4,0,2,0,5,4,1,1,1,1,6,3,7,0,3,9,1,0,0,2,0,0,28,1,12,7,1,3,0,1,10,2,0,5,0,0,0,7,1,64,5,0,0,3,1,5,3,3,5,3,1,1,15,6,0,2,13,1,6,3,1,0,11,1,5,213,10,7,4,52,8,1,1,2,2,6,2,7,1,4,2,1,1,5,2,1,0,2,1,9,0,0,0,4
1,52,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0
0,0,10,2,17,0,0,1,1,2,0,1,0,3,1,1,3,2,6,0,0,0,0,0,0,34,0,2,0,0,2,0,0,0,1,0,1,0,2,0,3,2,5,2,0,0,1,0,0,0,1,2,1,0,0,12,2,0,0,3,0,1,0,0,0,0,0,0,1,3,2,1,1,0,0,3,1,0,0,1,1,1,0,0,1,0,3,1,0,0,2,0,1,0,3,1,0
4,0,2,2,1,0,1,5,0,2,0,0,2,10,7,4,1,2,0,0,3,0,17,0,0,36,7,6,5,0,3,3,3,4,1,0,3,1,0,0,3,0,1,16,1,3,0,0,2,6,9,3,1,0,1,3,2,0,0,1,0,0,0,0,3,4,11,0,1,1,3,11,1,8,1,2,3,2,4,0,2,7,2,2,0,1,16,2,0,0,11,4,2,1,1,0,2
0,4,17,1,52,1,0,1,0,33,0,0,1,2,0,0,0,6,0,1,2,0,1,1,1,7,0,4,0,0,2,0,2,1,0,0,1,1,3,0,4,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,3,5,1,1,0,1,1,0,0,2,1,1,2,1,0,0,0,0,1,1,5,2,1,2,1,0,22,0,0
2,0,0,0,1,2,0,2,0,2,1,0,0,5,4,11,0,0,2,1,0,0,2,1,1,3,3,2,5,0,5,2,1,1,5,0,4,3,0,1,0,1,2,7,0,1,1,3,11,9,4,4,2,3,2,8,0,0,1,0,2,2,2,0,12,1,1,0,3,3,16,5,1,2,1,2,3,3,0,3,7,1,6,1,3,2,6,0,0,1,9,0,5,0,2,0,5
0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,10,0,0,0,5,0,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,259,0,2,0,0,0,48,0,1,3,53,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,4,0,4,0,0,0,0
5,0,1,5,1,2,0,14,2,0,3,1,3,3,0,1,0,1,2,6,1,0,3,1,0,4,5,3,12,1,6,2,1,4,20,0,1,0,0,0,4,0,7,21,1,1,0,3,4,2,4,4,2,1,0,34,8,1,1,15,1,2,1,0,5,2,166,2,5,2,8,2,2,1,0,13,4,2,3,1,7,2,7,0,3,2,5,0,0,2,3,0,5,0,0,0,0
4,0,1,0,0,0,0,2,34,0,1,0,0,8,1,5,0,0,1,0,1,0,2,0,0,8,5,1,24,0,10,2,0,25,26,0,31,0,0,0,1,0,0,27,0,0,2,0,2,6,4,40,32,0,1,17,5,0,4,15,10,5,0,7,12,2,2,1,3,2,24,6,0,6,8,1,0,1,2,1,5,2,14,3,25,9,8,0,0,0,3,0,10,0,0,1,0
1,1,2,2,33,2,0,0,0,4,0,0,0,0,1,1,52,3,2,0,0,0,1,0,0,7,0,1,1,0,1,0,4,2,0,0,0,0,0,0,3,0,2,0,1,0,0,4,5,1,2,0,0,1,5,6,2,3,0,1,0,0,0,0,0,1,0,1,1,3,4,1,1,2,0,3,2,0,2,0,2,1,1,3,0,0,0,0,1,0,1,1,2,0,0,0,1
1,0,0,0,0,1,0,3,1,0,10,0,1,3,2,3,0,1,1,1,0,0,1,0,1,3,0,2,5,0,6,0,0,0,11,0,4,0,0,0,0,0,32,9,0,0,0,2,0,0,0,0,3,0,1,11,1,0,4,8,0,0,0,1,9,7,1,1,11,0,6,2,5,0,0,0,0,1,15,0,1,1,3,0,0,1,1,0,0,0,0,0,4,258,0,0,0
1,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,13,0,0,161,0,0,0,0,1,91,4,0,3,0,0,0,1,1,0,0,0,0,0,9,1,1,0,0,34,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,1,0,0,0,1,0,0,0,0,0,0
1,0,0,2,1,0,1,3,0,0,1,0,60,4,2,13,1,4,5,0,1,0,1,2,0,29,3,0,12,2,1,1,0,0,14,0,4,1,3,3,10,0,9,203,1,2,2,1,3,4,3,4,5,0,0,10,5,0,2,3,6,0,1,1,3,1,1,0,4,1,16,7,3,7,0,1,10,1,19,24,4,0,2,2,1,2,5,1,7,2,1,2,11,0,1,1,4
6,0,3,10,2,5,4,3,8,0,3,0,4,24,1,6,0,2,11,3,2,0,2,0,0,10,9,2,19,0,11,4,1,11,28,1,15,2,0,1,8,5,8,21,3,2,7,3,2,9,5,16,10,1,2,30,13,0,3,12,3,4,3,3,6,3,4,7,11,3,10,6,0,5,3,6,0,1,4,0,2,2,19,3,14,26,16,1,0,0,13,2,9,0,2,0,1
3,1,1,7,0,4,0,0,1,1,2,1,2,1,4,2,0,0,9,0,3,0,3,1,0,7,2,0,2,0,11,0,4,4,3,0,10,0,0,1,2,0,2,5,0,2,2,1,5,3,2,3,4,1,0,12,6,0,2,9,0,1,0,1,3,42,0,1,5,1,3,1,1,1,1,0,0,5,1,0,2,1,1,0,1,0,0,0,0,0,2,0,5,2,1,1,4
7,0,1,4,0,11,0,1,5,1,3,0,13,6,2,14,0,2,20,2,1,0,3,2,0,11,8,3,25,0,15,3,9,3,18,0,10,4,0,4,9,0,25,10,7,5,7,4,3,82,1,7,8,0,3,12,4,0,2,13,2,3,1,1,0,0,1,4,5,3,32,11,2,3,5,7,0,4,7,4,25,3,15,2,1,1,5,3,0,1,4,1,11,1,3,0,11
0,0,3,1,0,0,0,0,0,52,0,0,1,0,0,0,28,1,0,0,0,0,2,0,0,6,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,1,1,0,0,1,0,0,1,5,1,3,0,0,0,1,0,0,1,0,1,1,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,4,0,0
3,0,2,2,6,0,0,1,0,3,1,0,4,2,0,2,1,122,1,0,3,0,0,0,0,2,6,0,1,1,0,1,2,1,1,0,4,3,6,3,1,0,24,9,0,5,0,2,1,2,2,0,3,1,1,2,0,6,0,4,0,0,1,0,0,3,2,1,45,4,3,0,5,0,1,0,1,2,3,1,1,1,0,2,0,1,0,2,4,4,1,2,0,0,4,0,0
9,0,6,0,0,2,0,2,1,2,1,13,5,11,9,20,0,1,54,1,1,2,7,0,1,23,9,2,21,1,23,5,2,1,21,3,9,0,0,0,10,14,12,25,3,0,41,1,3,6,7,1,5,0,3,3,1,0,6,5,1,3,0,0,0,13,4,0,9,1,17,4,10,5,4,1,0,0,5,1,17,4,9,2,0,2,11,1,0,0,5,0,3,1,1,0,9
1,0,0,0,1,1,0,6,0,0,1,0,0,3,0,2,0,0,1,42,0,0,0,2,0,8,4,0,13,1,4,0,1,0,22,1,7,0,0,0,3,2,2,7,2,0,2,0,0,0,0,1,3,0,0,7,0,0,1,6,0,0,0,0,35,0,3,0,0,0,3,2,2,0,0,0,10,2,4,0,1,0,2,0,10,2,3,0,5,0,1,0,6,1,1,0,2
0,0,0,3,2,0,0,1,1,0,0,0,1,2,3,1,0,3,1,0,6,0,1,0,0,6,2,2,2,0,1,0,1,0,0,0,0,0,7,1,0,1,2,2,0,1,1,0,2,1,2,0,1,0,0,2,10,0,0,0,0,0,0,0,0,3,2,0,1,8,0,0,0,3,0,0,1,0,2,0,2,0,0,2,0,0,1,0,0,2,1,2,0,0,4,0,1
0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,17,1,2,0,3,2,1,1,0,1,2,3,3,2,0,7,0,1,0,10,0,0,14,2,0,10,1,10,3,3,15,20,0,5,1,0,0,1,0,5,91,0,4,0,2,1,1,3,6,3,2,0,12,12,3,0,12,0,1,4,0,4,9,3,2,7,5,6,1,0,1,0,5,2,2,3,1,1,5,8,1,2,5,3,0,0,0,2,1,7,1,1,0,2
