word,score
연기가 배우들의,200
연기가 좋았어요,96
연기가 배우들,85
연기가 좋았습니다,76
연기가 배우의,71
연기가 무어의,67
연기가 좋았다,56
연기가 홉킨스의,38
연기가 좋아요,34
연기가 좋았고,33
연기가 배우분들,33
연기가 좋다,24
연기가 좋아서,20
연기가 배우분들의,19
연기가 배우님의,19
연기가 줄리안무어의,18
연기가 좋네요,18
연기가 돋보이는,18
연기가 배우,17
연기가 아주,17
연기가 배우님,15
연기가 서현진의,14
연기가 다,14
연기가 진짜,14
연기가 주인공의,14
연기가 배우님들,11
연기가 홉킨스,11
연기가 빛을,11
연기가 훌륭한,11
연기가 인상,10
연기가 연출과,10
연기가 안소니의,10
연기가 넘,9
연기가 인상적입니다,9
연기가 서현진,9
연기가 안소니홉킨스의,9
연기가 매우,8
연기가 인상적인,8
연기가 아닌,8
연기가 역시,8
연기가 일품,8
연기가 최고,8
연기가 주연배우들의,8
연기가 좋았던,8
연기가 무어,8
연기가 영화를,7
연기가 돋보인,7
연기가 영화의,7
연기가 아니라,7
연기가 제일,7
연기가 압권,7
연기가 잔잔한,7
연기가 좋았음,7
연기가 좋은,7
연기가 인상적,7
연기가 특히,7
연기가 배우님들의,7
연기가 너무나,6
연기가 줄리안무어,6
연기가 돋보였던,6
연기가 서현진님의,6
연기가 인상깊었습니다,5
연기가 인상깊어요,5
연기가 더욱,5
연기가 훌륭해서,5
연기가 다했다,5
연기가 모든,5
연기가 가슴에,5
연기가 훌륭합니다,5
연기가 그녀의,5
연기가 다들,5
연기가 분의,5
연기가 자연스러운,5
연기가 너무너무,5
연기가 가슴을,5
연기가 두배우의,5
연기가 좋습니다,5
연기가 인상적이었어요,5
연기가 좋고,5
연기가 뛰어난,5
연기가 다한,5
연기가 최고입니다,4
연기가 인상적이었습니다,4
연기가 굿,4
연기가 리얼해서,4
연기가 주연배우의,4
연기가 최고였어요,4
연기가 마음을,4
연기가 마음에,4
연기가 손예진의,4
연기가 훌륭했다,4
연기가 잊혀지지,4
연기가 항상,4
연기가 최고였습니다,4
연기가 눈빛,4
연기가 단연,4
연기가 아깝다,4
연기가 현실적인,4
연기가 대단함,3
연기가 돋보이네요,3
재미있게 보았습니다,52
재미있게 잘봤습니다,33
재미있게 관람했습니다,26
재미있게 잘봤어요,9
재미있게 봤네요,9
재미있게 봤다,9
재미있게 보았네요,8
재미있게 나름,7
재미있게 관람했어요,6
재미있게 보고왔어요,5
재미있게 생각보다,5
재미있게 보고나왔습니다,5
재미있게 봤음,4
재미있게 볼,4
재미있게 엄마랑,4
재미있게 좋은,4
재미있게 몰입해서,3
재미있게 관람하였습니다,3
재미있게 어이가리,3
재미있게 좋아요,3
재미있게 본,3
재미있게 주말에,3
재미있게 왔습니다,3
재미있게 넘,3
재미있게 봤는데,3
재미있게 봤지만,3
재미있게 너무나,3
재미있게 잘보았습니다,2
재미있게 감상했습니다,2
재미있게 보셨다고,2
재미있게 난,2
재미있게 진짜,2
재미있게 있고,2
재미있게 좋았어요,2
재미있게 나름대로,2
재미있게 감동,2
재미있게 아주,2
재미있게 완전,2
재미있게 나왔어요,2
재미있게 갑니다,2
재미있게 보았어요,2
재미있게 딸에,2
재미있게 소설을,2
재미있게 너무너무,2
재미있게 보았다,2
재미있게 그럭저럭,2
재미있게 배우들,2
재미있게 왔어요,2
재미있게 감사합니다,2
재미있게 봄,2
재미있게 본다면,2
재미있게 너무너무너무,2
재미있게 영화지만,2
재미있게 저는,2
재미있게 웃으며,1
재미있게 볼수있는,1
재미있게 올,1
재미있게 아닌데,1
재미있게 짜면서,1
재미있게 감동적이고,1
재미있게 잘보고,1
재미있게 즐겁게,1
재미있게 흘리고,1
재미있게 봤어요박근형님,1
재미있게 웃기기도,1
재미있게 인상깊고,1
재미있게 기대하지않았는데,1
재미있게 부모님께서,1
재미있게 없었지만,1
재미있게 있게,1
재미있게 좋은영화,1
재미있게 살아야한다,1
재미있게 보세요,1
재미있게 카시오페아,1
재미있게 잼있게,1
재미있게 봤는데반전있는,1
재미있게 봤어요후회하지,1
재미있게 볼때는,1
재미있게 메멘토,1
재미있게 않는편인데,1
재미있게 반전이,1
재미있게 느껴졌지만,1
재미있게 잘봤습니다이런장르의,1
재미있게 영화에요,1
재미있게 봤습니다감동적이네요,1
재미있게 때론,1
재미있게 보셨다네요,1
재미있게 몰입하면서,1
재미있게 왔다,1
재미있게 모르고,1
재미있게 감동적이네요,1
재미있게 감사해요,1
재미있게 다시봐도,1
재미있게 가족,1
재미있게 만화로,1
재미있게 더파더,1
재미있게 있어서,1
재미있게 봤네요추천이요,1
재미있게 영화라니,1
재미있게 즐기고,1
영화입니다 좋은,44
영화입니다 감동적인,28
영화입니다 최고의,14
영화입니다 따뜻한,11
영화입니다 아름다운,11
영화입니다 따뜻해지는,9
영화입니다 만드는,9
영화입니다 볼만한,8
영화입니다 되는,8
영화입니다 만족스러운,8
영화입니다 꼭,7
영화입니다 남는,6
영화입니다 주는,6
영화입니다 추천합니다,6
영화입니다 만든,5
영화입니다 생각하게,5
영화입니다 인생,5
영화입니다 같은,5
영화입니다 준,5
영화입니다 본,5
영화입니다 나는,4
영화입니다 된,4
영화입니다 괜찮은,4
영화입니다 슬픈,4
영화입니다 어려운,4
영화입니다 어울리는,3
영화입니다 많은,3
영화입니다 할,3
영화입니다 멋진,3
영화입니다 느낄,3
영화입니다 먹먹해지는,3
영화입니다 해주는,3
영화입니다 좋을,3
영화입니다 생각하게되는,3
영화입니다 놀란,3
영화입니다 다룬,3
영화입니다 좋아하는,3
영화입니다 해준,3
영화입니다 영화관에서,3
영화입니다 없는,3
영화입니다 감동이,3
영화입니다 느껴지는,3
영화입니다 고마운,3
영화입니다 볼수있는,2
영화입니다 다시,2
영화입니다 보고싶은,2
영화입니다 깊은,2
영화입니다 감동,2
영화입니다 있었던,2
영화입니다 영화를,2
영화입니다 잘만든,2
영화입니다 자체인,2
영화입니다 생각나는,2
영화입니다 가족에,2
영화입니다 재미있는,2
영화입니다 역시,2
영화입니다 생각하게하는,2
영화입니다 싶은,2
영화입니다 잔잔한,2
영화입니다 감동있는,2
영화입니다 놀라운,2
영화입니다 아픈,2
영화입니다 강추,2
영화입니다 재밌는,2
영화입니다 배우들의,2
영화입니다 좋았던,2
영화입니다 가슴이,2
영화입니다 추천하는,2
영화입니다 뭉클해지는,2
영화입니다 보셔야,2
영화입니다 알츠하이머가,2
영화입니다 가족의,2
영화입니다 드는,2
영화입니다 봣으면,2
영화입니다 두려웠던,1
영화입니다 오랜만에,1
영화입니다 가슴뭉클해지는,1
영화입니다 받았던,1
영화입니다 사랑스러운,1
영화입니다 건강관리,1
영화입니다 이상의,1
영화입니다 사는,1
영화입니다 일깨워주는,1
영화입니다 펑펑,1
영화입니다 눈물이나는,1
영화입니다 긴여운이남는,1
영화입니다 개인적으론,1
영화입니다 생소한,1
영화입니다 않는,1
영화입니다 잔잔하고,1
영화입니다 슬퍼요,1
영화입니다 돌아보게,1
영화입니다 티슈,1
영화입니다 감동이었던,1
영화입니다 엄청,1
영화입니다 모두의,1
영화입니다 생각하면서,1
영화입니다 울던,1
영화입니다 스릴러,1
영화입니다 따듯해지는,1
아름다운 가장,70
아름다운 사랑,39
아름다운 이야기,27
아름다운 부시게,25
아름다운 시를,19
아름다운 시,19
아름다운 슬프고,18
아름다운 사랑을,13
아름다운 슬프지만,12
아름다운 사랑이야기,11
아름다운 영화입니다,11
아름다운 이토록,10
아름다운 시가,10
아름다운 것을,10
아름다운 것은,10
아름다운 이별,9
아름다운 사랑이,9
아름다운 것이,9
아름다운 삶을,8
아름다운 슬프고도,8
아름다운 사랑은,7
아름다운 너무나,7
아름다운 삶의,7
아름다운 것만,7
아름다운 시는,6
아름다운 영화였습니다,6
아름다운 너무나도,6
아름다운 앨리스,6
아름다운 사람이,6
아름다운 것들을,6
아름다운 건,5
