word,score
기억 을,57
기억 속에,29
기억 속에서,24
기억 은,21
기억 이,17
기억 하고,16
기억 하지,15
기억 의,15
기억 에,14
기억 못하는,13
기억 속,12
기억 속에서도,10
기억 단기,10
기억 상실증,8
기억 이란,8
기억 과,7
기억 하는,7
기억 내,7
기억 상실증을,7
기억 하기,6
기억 속의,6
기억 나는,5
기억 속을,5
기억 들을,5
기억 으로,5
기억 좋은,4
기억 이라는,4
기억 할,4
기억 모든,4
기억 왜곡된,4
기억 자신의,4
기억 추억,3
기억 해,3
기억 당신이,3
기억 안에서,3
기억 하게,3
기억 앨리가,3
기억 못해도,3
기억 위해,3
기억 잃고,3
기억 상실,3
기억 인간의,3
기억 될,3
기억 우리의,3
기억 나지,3
기억 사랑,3
기억 해낸다,3
기억 위에,3
기억 들이,2
기억 망각,2
기억 루시,2
기억 내가,2
기억 가족의,2
기억 3,2
기억 상실증에,2
기억 싶다,2
기억 남,2
기억 해줄,2
기억 없이,2
기억 중,2
기억 혜자의,2
기억 상실증이,2
기억 언저리에서,2
기억 것만,2
기억 사랑으로,2
기억 않은,2
기억 가족,2
기억 하나도,2
기억 잰키스를,2
기억 속에는,2
기억 없는,2
기억 나를,2
기억 불행했던,2
기억 하라,2
기억 뿐,2
기억 vs,2
기억 자신이,2
기억 기록은,2
기억 투쟁과,2
기억 력,2
기억 왜곡될,2
기억 도,2
기억 하나쯤은,2
기억 조작된,2
기억 만,2
기억 과거의,2
기억 흔들리는,2
기억 영화는,2
기억 들은,2
기억 이다,2
기억 상실증은,2
기억 시절의,2
기억 못,2
기억 꼭,2
기억 추적,2
기억 난다,2
기억 대로,2
기억 상실의,2
기억 어차피,2
기억 이었다,2
연기 최고,36
연기 좋았어요,30
연기 가,28
연기 좋았습니다,22
연기 를,22
연기 좋아요,21
연기 진짜,19
연기 도,18
연기 연출,13
연기 덕분에,13
연기 굿,11
연기 역시,11
연기 짱,11
연기 에,11
연기 잘하는,10
연기 좋다,9
연기 좋네요,9
연기 대박,9
연기 다,8
연기 잘함,8
연기 좋고,7
연기 는,7
연기 잘한다,7
연기 잘하시는,7
연기 덕에,6
연기 잘하시네요,6
연기 좋았고,6
연기 좋았다,6
연기 음악,6
연기 잘하시고,6
연기 스토리,6
연기 최고의,6
연기 와,6
연기 넘,6
연기 좋았음,5
연기 하네요,5
연기 잘하세요,5
연기 배우들의,5
연기 잘하네요,5
연기 하나만으로도,5
연기 미쳤다,5
연기 하나로,4
연기 좋은,4
연기 배우의,4
연기 잘해서,4
연기 한,4
연기 앙상블,4
연기 력,4
연기 압권,4
연기 치매,4
연기 잘해요,4
연기 최고다,4
연기 하시는,4
연기 좋음,4
연기 최고에요,3
연기 쵝오,3
연기 영화의,3
연기 잘하고,3
연기 짱입니다,3
연기 배우님의,3
연기 영화가,3
연기 잘합니다,3
연기 눈물,3
연기 속에서,3
연기 누가,3
연기 영상미,3
연기 잘봤습니다,3
연기 잘하는건,3
연기 면,3
연기 미쳤어요,3
연기 대박이네요,3
연기 연출의,3
연기 의,3
연기 다들,3
연기 명,3
연기 구멍,3
연기 홉킨스의,3
연기 감사합니다,3
연기 경연장,2
연기 라는,2
연기 펑펑,2
연기 배우님,2
연기 엄청,2
연기 최고였습니다,2
연기 감사해요,2
연기 드라마를,2
연기 였고,2
연기 미쳤어,2
연기 너무잘해요,2
연기 나도,2
연기 크으,2
연기 손예진,2
연기 너무잘함,2
연기 굿굿,2
연기 살살하세요,2
연기 자분들,2
연기 배우,2
연기 감히,2
연기 정우성,2
연기 좋습니다,2
사람 은,19
사람 이,19
사람 을,10
사람 들이,9
사람 과,8
사람 들은,8
사람 들,6
사람 의,6
사람 심덕출,5
사람 사랑하는,5
사람 들의,5
사람 싶은,5
사람 에게,5
사람 이다,5
사람 아는,5
사람 마음을,4
사람 사랑,4
사람 내가,3
사람 해주는,3
사람 본,3
사람 없는,3
사람 아니에요,3
사람 도,3
사람 주변,3
사람 이게,3
사람 순수한,3
사람 냄새가,3
사람 펑펑,2
사람 자체를,2
사람 사는,2
사람 중,2
사람 멋진,2
사람 많은,2
사람 사는게,2
사람 중에,2
사람 생각하는,2
사람 소름돋게,2
사람 해준,2
사람 영화가,2
사람 주는,2
사람 들이다,2
사람 이라면,2
사람 다,2
사람 내,2
사람 난,2
사람 했다,2
사람 한테,2
사람 않는다,2
사람 인,2
사람 이었다면,2
사람 노아만큼이나,2
사람 만이,2
사람 가게,2
사람 아름다운,2
사람 에게는,2
사람 없게,2
사람 함께할,2
사람 가진,2
사람 한다,2
사람 있지만,1
사람 자체로,1
사람 처음부터,1
사람 언제든,1
사람 환경은,1
사람 시인,1
사람 횡단보도에,1
사람 옆에서,1
사람 가슴을,1
사람 엄청,1
사람 여러,1
사람 답게,1
사람 여기는,1
사람 외엔,1
사람 우리들은,1
사람 만큼,1
사람 인생이라는,1
사람 볼,1
사람 남은,1
사람 루디,1
사람 미친,1
사람 입장의,1
사람 약혼까지,1
사람 어쩌면,1
사람 상황혼란의,1
사람 엄마,1
사람 경험했다,1
사람 준,1
사람 안울리게,1
사람 예쁜,1
사람 라이언,1
사람 이고,1
사람 것이다,1
사람 손자의,1
사람 뭘,1
사람 믿음을,1
사람 되는,1
사람 않았다,1
사람 그녀가,1
사람 몰입시킬,1
사람 잃어버린,1
마지막 장면이,31
마지막 장면에서,23
마지막 반전이,22
마지막 장면은,20
마지막 반전,20
마지막 장면,20
마지막 반전에,12
마지막 숨을,11
마지막 대사,11
마지막 장면의,10
마지막 순간까지,10
마지막 에,9
마지막 으로,9
마지막 엔딩,8
마지막 대사가,8
마지막 반전은,7
마지막 대사는,7
마지막 장면에,7
마지막 장면을,7
마지막 반전을,6
마지막 회,6
마지막 10분이,6
마지막 편의점,6
마지막 나의,5
마지막 날,5
마지막 10분,5
마지막 결말이,5
마지막 나레이션이,5
마지막 10분을,5
마지막 장면에서는,4
마지막 시는,4
마지막 잎새를,4
마지막 지문,4
마지막 반전까지,4
마지막 사랑이,4
마지막 사랑을,4
마지막 엔딩에서,4
마지막 기억을,4
마지막 순간,4
마지막 5분을,3
마지막 남은,3
마지막 화의,3
마지막 안소니의,3
마지막 로맨스,3
마지막 노년의,3
마지막 순간에,3
마지막 부분의,3
마지막 김혜자,3
마지막 미자의,3
마지막 은,3
마지막 여행,3
마지막 시퀀스에,3
마지막 순간까지도,3
마지막 엔딩까지,3
마지막 엔딩이,3
마지막 반전도,3
마지막 시퀀스는,3
마지막 부분,3
마지막 부분은,3
마지막 잎새가,3
마지막 모습이,3
마지막 사랑,3
마지막 장면에선,3
마지막 미자가,3
마지막 이,3
마지막 화,3
마지막 시를,3
마지막 장면만,3
마지막 부분이,3
마지막 반전과,3
마지막 사랑의,3
마지막 20분,2
마지막 안소니홉킨스의,2
마지막 반전의,2
마지막 지문으로,2
마지막 대사의,2
마지막 장면까지,2
마지막 씬에,2
마지막 부분에,2
마지막 시간일,2
마지막 연설이,2
마지막 모습을,2
마지막 시,2
마지막 혜자의,2
마지막 2화를,2
마지막 영화의,2
마지막 타투는,2
마지막 부분에서,2
마지막 20분의,2
마지막 엄마를,2
마지막 20분동안,2
마지막 나레이션은,2
마지막 인생,2
마지막 대사들이,2
마지막 자신이,2
마지막 씬,2
마지막 10분에서,2
마지막 나레이션을,2
마지막 장면과,2
마지막 회는,2
치매 환자의,65
치매 를,34
치매 걸린,25
치매 노인의,23
치매 환자가,22
치매 환자,22
치매 에,20
치매 는,15
치매 체험,13
치매 라는,11
치매 노인,11
치매 환자를,11
치매 알츠하이머,10
치매 환자와,9
치매 간접,8
치매 연기,6
치매 걸리면,6
치매 무섭다,6
치매 의,6
치매 관련,6
치매 당사자의,5
치매 로,5
치매 진짜,5
치매 노인을,5
치매 가족이,5
치매 라고,3
치매 내가,3
치매 환자에,3
치매 전문,3
치매 환자에게,3
치매 환자들의,3
치매 노인이,3
치매 연기가,3
치매 시점,3
치매 환자들은,3
치매 란,3
치매 가,3
치매 안소니,3
치매 영화는,3
치매 와,3
치매 등을,2
치매 스릴러,2
치매 엄마,2
치매 암,2
치매 환자로,2
치매 나,2
치매 영화에서,2
치매 영화다,2
치매 완벽한,2
치매 아버지를,2
치매 간접경험,2
치매 연기와,2
치매 영화가,2
치매 부부가,2
치매 노인들이,2
치매 가족을,2
치매 당사자,2
치매 환자로서,2
치매 할머니의,2
치매 치료제가,2
치매 슬프네요,2
치매 인구가,2
치매 아니라,2
치매 무서운,2
치매 그려낸,2
치매 이야기,2
치매 걸리지,2
치매 서현진,2
치매 진단을,2
치매 연기에,2
치매 모든,2
치매 증상을,2
치매 앓는,2
치매 사람들이,2
치매 알츠하이머는,2
치매 부부의,2
치매 중에서도,1
치매 미쳐버릴,1
치매 유학간딸도,1
치매 슬프다,1
치매 그랬듯,1
치매 힘드네요,1
치매 간병기,1
치매 의문을,1
치매 가족의,1
치매 부모님을,1
치매 남음,1
치매 가족들만,1
치매 아마도,1
치매 혼란스러움을,1
치매 증상,1
치매 연기해냄,1
치매 영원한,1
치매 가해자,1
치매 성매매,1
치매 걸린다는,1
치매 들어,1
치매 고통,1
치매 노인과,1
치매 어쩌면,1
가슴 아픈,43
가슴 따뜻한,36
가슴 찡한,24
가슴 따뜻해지는,24
가슴 속에,17
가슴 먹먹한,17
가슴 한켠이,14
가슴 뛰었는지,12
가슴 뭉클한,11
가슴 아프고,11
가슴 아프다,10
가슴 아프게,9
가슴 먹먹해지는,9
가슴 절절한,8
가슴 아프지만,8
가슴 이,7
가슴 찡하게,7
가슴 뭉클하게,6
가슴 속,6
가슴 아플,5
가슴 뭉클하고,5
가슴 먹먹하고,5
가슴 한편이,4
가슴 아린,4
가슴 뭉클,3
가슴 아팠다,3
가슴 켠에,3
가슴 깊이,3
가슴 진한,3
가슴 저리게,3
가슴 아픕니다,3
가슴 먹먹하게,3
가슴 따듯해지는,3
가슴 찡했어요,2
가슴 먹먹하다,2
가슴 찡하게하는,2
가슴 훈훈한,2
가슴 한켠을,2
가슴 으로,2
가슴 벅찬,2
가슴 아파요,2
가슴 켠이,2
가슴 따뜻하고,2
가슴 설렌다,2
가슴 벅차게,2
가슴 저린,2
가슴 아프네요,2
가슴 속의,2
가슴 울리는,2
가슴 따뜻했습니다,2
가슴 저릿한,2
가슴 아픈데,2
가슴 찡하네요,2
가슴 시리게,2
가슴 속에서,2
가슴 저미는,2
가슴 찢어지게,2
가슴 한구석에,2
가슴 한켠에,2
가슴 뜨거워지는,2
가슴 따뜻해지는영화,1
가슴 쿵쾅거리게,1
가슴 뭉클한영화,1
가슴 한구석이,1
가슴 먹먹해질정도로,1
가슴 에,1
가슴 절절하네요꼭,1
가슴 아팠음여운,1
가슴 찡,1
가슴 찡하네요좀,1
가슴 나의,1
가슴 한편에,1
가슴 오가는,1
가슴 먹먹해졌다,1
가슴 먹먹함에,1
가슴 아릴,1
가슴 울컥해서,1
가슴 쪽이,1
가슴 훈훈,1
가슴 어우러져서,1
가슴 촉촉히,1
가슴 생각나,1
가슴 뭉클해지는,1
가슴 소리에,1
가슴 먹먹했다,1
가슴 아직도,1
가슴 아프고요,1
가슴 아픈가,1
가슴 먹먹했던,1
가슴 시리도록돌아가신,1
가슴 아리지만,1
가슴 시린,1
가슴 아파서,1
가슴 아팠어요기억을,1
가슴 시림을,1
가슴 따뜻하게,1
가슴 절절,1
가슴 아리게,1
가슴 찔리는,1
가슴 뭉클하더라,1
반전 의,13
반전 이,13
반전 아닌,8
반전 감동,7
반전 에,7
반전 스토리,5
반전 슬펐어요,5
반전 이후에,4
반전 을,4
반전 가족의,3
반전 최고,3
반전 눈물,3
반전 진짜,3
반전 도,3
반전 배우들의,3
반전 있네요,3
반전 감동적인,2
반전 재밌게,2
반전 진한,2
반전 보려고,2
반전 오랜만에,2
반전 굿,2
반전 은,2
반전 근데,2
