word,score
다시,386
내가,383
연기가,380
진짜,367
좋았어요,360
좋은,336
연기,334
많이,298
영화를,297
사랑,287
역시,279
아름다운,275
재미있게,272
없는,258
눈물,248
감동,244
가장,241
마지막,240
나는,239
영화가,238
이야기,235
재밌게,226
영화는,221
마음이,219
사랑을,216
잘봤습니다,211
기억을,209
모든,205
좋았습니다,204
놀란,201
배우들의,199
나도,197
나를,195
봐도,195
같은,192
반전이,191
최고의,181
슬픈,179
가슴이,176
사랑이,175
잔잔한,175
좋아요,173
나의,172
반전,172
감동적인,168
봤는데,167
연기는,166
생각이,165
오랜만에,165
영화네요,165
많은,164
보면,163
안소니,161
되는,160
영화입니다,158
펑펑,157
가족의,157
슬프고,156
있을까,156
아닌,153
최고,153
기억이,152
사랑은,152
딸에,151
좋았다,150
가슴,150
내내,148
계속,147
따뜻한,145
드라마,144
시를,141
생각하게,141
감동이,139
영화의,138
대해,137
줄리안,136
작품,136
않은,135
뻔한,135
치매,134
것이,134
스토리,133
기억,133
엄마,132
만드는,132
로맨스,132
기억은,130
슬프다,130
것을,130
사랑하는,129
다시봐도,128
울었다,127
기억의,126
눈이,126
여운이,122
한번,122
것은,121
지금,120
메멘토,120
싶은,120
보면서,120
아니라,120
영화였어요,119
마지막에,119
감동적이고,117
좋다,117
사랑의,117
않는,117
삶을,115
싶다,114
재밌어요,114
눈물을,114
생각을,113
끝까지,112
명작,112
배우의,111
너무나,111
레이첼,109
사람이,107
부모님,107
위해,107
인생,106
느낌,104
사랑에,104
감독의,104
그렇게,103
연기에,103
영화였습니다,102
감동을,102
연기도,102
마음,102
무어의,101
만든,101
놀란의,100
한다,99
가족,98
잔잔하게,98
보기,96
주는,96
알츠하이머,96
이해가,96
같아요,95
슬픔,95
감사합니다,94
이게,94
생각보다,93
연출,92
뭔가,92
삶의,92
배우들,92
추천합니다,91
말이,91
않고,91
기억에,91
마음을,89
없이,89
완전,88
슬퍼요,88
남는,88
홉킨스의,88
크리스토퍼,88
위한,88
서현진,87
연기를,87
재미있어요,87
있고,87
보았습니다,87
인생영화,86
시간이,86
엄마랑,86
울고,86
아주,85
배우,85
엄마가,85
처음,84
제일,84
잘봤어요,84
보니,84
있을,83
어려운,83
보세요,83
우리의,82
근데,82
앨리스,81
좋네요,81
배우들의 연기가,81
엄청,80
스토리가,80
된다,80
카시오페아,80
그럼에도,80
내용이,79
가족이,79
아름답다,79
영화관에서,79
다시 봐도,77
못한,77
줄리안 무어의,77
영화다,76
누구나,76
보는내내,76
보다가,75
있어서,75
부모님과,75
우리는,75
순간,74
자신을,74
밖에,74
노년의,73
잔잔하고,73
치매에,73
알고,73
이거,73
사람을,72
하게,72
그녀의,72
재밌었어요,71
시가,71
현실적인,71
안소니 홉킨스의,71
연출이,70
시는,70
있지만,70
소중함을,70
슬프네요,70
손예진,69
않는다,69
love,69
것이다,69
매일,69
울었어요,69
새로운,69
나름,69
영화였다,69
느낄,69
이건,68
사람,68
느껴지는,68
담담하게,68
시간을,68
항상,68
인생을,68
이야기를,68
할아버지,67
아니다,67
보다,67
감독,66
더욱,66
좋고,66
있다는,66
인생의,65
엄마의,65
무서운,65
영화에요,65
자신의,65
있었다,65
가는,64
홉킨스,64
부시게,64
언제나,64
보여주는,64
치매를,64
연기력,63
모습이,63
속에서,63
있어,63
따뜻해지는,63
잃어가는,63
그의,62
진정한,62
아름답고,62
봤다,62
사람은,62
좋아하는,62
느끼게,62
슬펐어요,62
점점,62
치매는,61
인간의,61
다시한번,61
사람의,61
보게,61
삶이,61
눈이 부시게,61
봐야,60
이야기가,60
완벽한,60
마음에,60
노트북,60
극장에서,60
누구에게나,59
이제,59
제대로,59
반전에,59
생각,59
믿고,59
있다면,59
볼만한,59
나이가,59
수도,58
그대로,58
간만에,58
연기력이,58
힘든,58
할머니,58
내용,58
우리가,58
아닐까,58
연기와,57
영화로,57
세상에서,57
별로,57
것도,57
합니다,57
무어,57
해주는,56
훌륭한,56
당신은,56
놀란은,56
없었다,56
이해하기,56
영화에,56
너무나도,56
소중한,55
했는데,55
부모님이,55
모르겠다,55
장면이,55
아픈,55
재밌고,55
했다,55
이창동,55
반전을,55
저렇게,55
나오는,55
살짝,55
시간의,54
좋았고,54
않을,54
감동과,54
가족과,54
나에게,54
가족영화,54
주인공의,54
봐서,54
슬펐다,53
정도로,53
그게,53
감정을,53
부모님께,53
가족을,53
모습을,53
깊은,53
봤네요,53
아름답게,53
그대,53
있게,53
아직도,52
그녀는,52
사랑스러운,52
아직,52
기억과,52
현실,52
결말이,52
집중해서,51
매우,51
슬프지만,51
멋진,51
장면,51
사람들이,51
그럭저럭,51
생각나는,51
그들의,51
반전도,51
너무너무,51
의미를,51
괜찮은,51
않았다,50
처음부터,50
안소니 홉킨스,50
저런,50
어쩌면,50
좋았음,50
살아가는,50
걸린,50
크리스토퍼 놀란,50
세상,50
현실을,50
있습니다,50
연기가 좋았어요,50
충분히,50
사실,50
속에,49
울면서,49
일이,49
평생,49
알았는데,49
하네요,49
영원한,48
평범한,48
좋았던,48
어렵다,48
못하는,48
영원히,48
감동도,48
솔직히,48
이해,48
놀라운,48
딸의,48
입니다,47
있었던,47
같아,47
젊은,47
통해,47
많은 생각을,47
슬퍼서,47
파더,47
인생은,47
느낌이,47
처음으로,47
특히,47
앨리스의,47
사는,47
