,source,target,weight
0,artificial,intelligence,2
1,intelligence,help,1
2,intelligence,potential,1
3,help,identify,4
4,help,agencies,1
5,help,nurses,1
6,help,researchers,1
7,help,determine,1
8,help,teams,1
9,help,guide,1
10,help,stop,1
11,help,mitigate,1
12,help,control,1
13,help,advance,1
14,help,resources,1
15,help,appropriate,1
16,help,responses,1
17,help,barriers,1
18,help,received,1
19,help,abuse,1
20,help,recommendations,1
21,help,social,1
22,help,dependence,1
23,help,victims,1
24,help,older,2
25,help,detect,1
26,help,wanthelp,1
27,help,undependable,1
28,help,elder,2
29,help,cope,1
30,help,highlight,1
31,help,achieve,1
32,help,raise,1
33,help,enhance,1
34,help,currently,1
35,help,reach,1
36,help,prevention,1
37,help,target,1
38,help,fill,1
39,help,communities,1
40,help,investigate,1
41,help,healthcare,1
42,help,reduce,1
43,help,prevent,1
44,help,standardize,1
45,help,suffering,1
46,help,police,1
47,help,burnt,1
48,help,explain,1
49,help,informal,2
50,help,assistance,1
51,help,aps,2
52,help,663,1
53,help,address,1
54,help,maintain,1
55,help,access,1
56,help,clinicians,1
57,help,establish,1
58,identify,elder,16
59,identify,child,1
60,identify,lifetime,1
61,identify,victims,1
62,identify,studies,1
63,identify,intervene,1
64,identify,effective,2
65,identify,prevent,4
66,identify,factors,10
67,identify,preserved,1
68,identify,address,2
69,identify,inconsistent,1
70,identify,cases,4
71,identify,individual,1
72,identify,types,2
73,identify,abuse,3
74,identify,lessons,1
75,identify,dhrs,1
76,identify,report,4
77,identify,potential,3
78,identify,research,1
79,identify,facilitators,1
80,identify,different,1
81,identify,predisposing,1
82,identify,relevant,1
83,identify,key,1
84,identify,predictors,2
85,identify,older,1
86,identify,risk,4
87,identify,manage,5
88,identify,describe,3
89,identify,systematic,1
90,identify,respond,2
91,identify,approaches,1
92,identify,components,1
93,identify,perpetrators,1
94,identify,prevalence,3
95,identify,help,1
96,identify,categorize,2
97,identify,assist,1
98,identify,independent,1
99,identify,ea,1
100,identify,important,1
101,identify,delineate,1
102,identify,prevention,1
103,identify,ipv,1
104,identify,women,1
105,identify,eligible,1
106,identify,best,1
107,identify,common,2
108,identify,healthpromoting,1
109,identify,suspected,1
110,identify,patterns,1
111,identify,ultimately,1
112,identify,aspects,1
113,identify,profiles,2
114,identify,characterize,1
115,identify,qualitative,1
116,identify,forms,1
117,identify,ways,1
118,identify,debates,1
119,identify,adequately,1
120,identify,elders,1
121,identify,themes,2
122,identify,configural,1
123,identify,dif,1
124,identify,sample,1
125,identify,1,1
126,identify,relationship,1
127,identify,details,1
128,identify,health,1
129,identify,subpopulations,1
130,identify,salient,1
131,identify,practical,1
132,identify,candidate,1
133,identify,demographic,1
134,identify,cause,1
135,identify,physical,1
136,identify,changes,1
137,elder,abuse,1152
138,elder,mistreatment,223
139,elder,care,3
140,elder,maltreatment,23
141,elder,neglect,46
142,elder,protection,8
143,elder,abuseneglect,3
144,elder,children,1
145,elder,communities,1
146,elder,overmedication,3
147,elder,mediation,1
148,elder,abandonment,5
149,elder,patients,2
150,elder,physical,4
151,elder,assessment,2
152,elder,people,2
153,elder,polyvictimization,3
154,elder,financial,13
155,elder,victim,1
156,elder,justice,7
157,elder,respect,1
158,elder,sexual,5
159,elder,vulnerable,1
160,elder,child,1
161,elder,elderly,1
162,elder,trauma,1
163,elder,family,3
164,elder,demographics,1
165,elder,mistreatmentincrease,1
166,elder,persons,1
167,elder,psychological,2
168,elder,clients,1
169,elder,caregiver,1
170,elder,2,1
171,elder,harm,4
172,elder,illiterate,1
173,elder,victims,1
174,elder,needing,1
175,elder,deaths,1
176,elder,death,2
177,elder,adult,1
178,elder,victimization,2
179,elder,mistreatments,1
180,elder,immigrants,1
181,elder,line,1
182,elder,risk,1
183,elder,abuseneglectfinancial,1
184,elder,emotional,5
185,elder,perceptions,1
186,elder,mistreatmentexamining,1
187,elder,interviewing,1
188,elder,exploitation,1
189,elder,abuses,6
190,elder,hide,1
191,elder,facility,1
192,elder,provided,1
193,abuse,neglect,356
194,abuse,initiate,4
195,abuse,development,1
196,abuse,identification,6
197,abuse,intimate,4
198,abuse,emerged,2
199,abuse,challenges,1
200,abuse,risk,14
201,abuse,qualitative,4
202,abuse,institutional,4
203,abuse,community,6
204,abuse,institutions,2
205,abuse,past,9
206,abuse,additionally,1
207,abuse,estimates,2
208,abuse,subtypes,6
209,abuse,334,1
210,abuse,19,6
211,abuse,vital,1
212,abuse,physical,18
213,abuse,understanding,3
214,abuse,differential,1
215,abuse,older,61
216,abuse,experienced,7
217,abuse,knowledge,2
218,abuse,ea,10
219,abuse,outcomes,1
220,abuse,directed,1
221,abuse,promising,1
