category,word,score
health/care,elder abuse,8
health/care,chinese elderly,1
health/care,abuse elderly,1
health/care,elder mistreatment,1
health/care,communitydwelling older,1
health/care,communitydwelling chinese,1
health/care,abuse nursing,1
health/care,abuse screening,1
health/care,older patients,1
health/care,study chinese,1
health/care,abuse caregiving,1
health/care,abuse study,0
health/care,nursing homes,0
health/care,mistreatment elderly,0
health/care,abuse family,0
health/care,norwegian nursing,0
health/care,chinese older,0
health/care,older adults,0
health/care,psychometric properties,0
health/care,chinese population,0
health/care,lifetime abuse,0
health/care,older women,0
health/care,elderly abuse,0
health/care,abuse veterans,0
health/care,nepal elder,0
health/care,nursing practice,0
health/care,clinical practice,0
health/care,veterans health,0
health/care,elderly patients,0
health/care,abuse older,0
health/care,health research,0
health/care,healthcare professionals,0
health/care,genderbased abuse,0
health/care,thecovid19pandemicviolenceagainst elderly,0
health/care,australian coroners,0
health/care,structures elderly,0
health/care,interviews daughters,0
health/care,examining nurses,0
health/care,translated iranian,0
health/care,trauma social,0
health/care,abuse dependent,0
health/care,workers nurses,0
health/care,daughter motherdaughter,0
health/care,abuse ideas,0
health/care,attributes abuse,0
health/care,elder abuseneglect,0
health/care,nurses helping,0
health/care,investigated nurses,0
health/care,assault nurse,0
health/care,mistreatment reduction,0
health/care,referral nurses,0
health/care,study iranian,0
health/care,reduction pretestposttest,0
health/care,elderly people,0
health/care,assault women,0
health/care,canadian immigrant,0
health/care,psychometrics sample,0
health/care,elderly,0
health/care,dementia test,0
health/care,helpseeking chinese,0
health/care,abuse reduction,0
health/care,daughters coping,0
health/care,canadian population,0
health/care,neglectviolenceagainst elderly,0
health/care,dementia caregiver,0
health/care,screening referral,0
health/care,displaced women,0
health/care,dementia management,0
health/care,clinical care,0
health/care,adults dementia,0
health/care,mistreatment caregivers,0
health/care,daughters descriptions,0
health/care,dementia evaluate,0
health/care,dementia account,0
health/care,abuse daughters,0
health/care,dementia presentation,0
health/care,mistreatment decreased,0
health/care,older chineseamerican,0
health/care,alzheimer diagnosis,0
health/care,generally iranian,0
health/care,hemodialysis older,0
health/care,revenge daughters,0
health/care,medicolegal death,0
health/care,caregiver psychopathology,0
health/care,daughters strategies,0
health/care,development patientlevel,0
health/care,victimization survey,0
health/care,descriptions motherdaughter,0
health/care,residenttoresident elder,0
health/care,death investigation,0
health/care,nurse examinerforensic,0
health/care,mothers daughters,0
health/care,improvement study,0
health/care,chineseamerican adults,0
health/care,women ukraine,0
health/care,daughters framed,0
health/care,psychologicalviolenceagainst older,0
health/care,psychopathology frequently,0
health/care,forensic nurses,0
health/care,improving medicolegal,0
health/care,reduction carecase,0
health/care,iranian version,0
health/care,nurse examinersforensic,0
health/care,trafficking girls,0
health/care,psychological mistreatment,0
health/care,abuse intergenerational,0
health/care,visiting nursing,0
health/care,nurse hospitalbased,0
health/care,nurses interviewed,0
health/care,dementia intensive,0
health/care,traditional psychometrics,0
